approxkl,explained_variance,serial_timesteps,ep_reward_mean,policy_entropy,clipfrac,ep_len_mean,total_timesteps,n_updates,time_elapsed,fps,value_loss,policy_loss
0.005537228,-3.79400634765625,118784,0.0,1.1526923,0.06616211,98.32,118784,58,279.0712625980377,423,1.224162e-07,-0.0042335954
0.0065052686,-0.7989696264266968,120832,0.0,1.1449993,0.08164062,101.08,120832,59,283.9056088924408,405,5.7242982e-08,-0.00515509
0.005679813,-1.690887451171875,122880,0.0,1.1412404,0.0737793,99.42,122880,60,288.95602464675903,400,3.976583e-08,-0.007861788
0.007572959,-0.2038971185684204,124928,0.0,1.134151,0.09262695,105.19,124928,61,294.0670418739319,399,1.1225463e-05,-0.0071477867
0.0071610897,0.0012050271034240723,126976,0.0,1.1021663,0.080761716,112.08,126976,62,299.1991333961487,426,4.7731746e-06,-0.0072978176
0.0052326615,-1.0321717262268066,129024,0.0,1.0791229,0.05732422,118.98,129024,63,304.0064465999603,417,3.6790746e-06,-0.0067841085
0.005797909,-1.181549310684204,131072,0.0,1.0755098,0.0737793,125.65,131072,64,308.9160578250885,379,7.53334e-06,-0.0063108266
0.0053412034,-0.9162509441375732,133120,0.0,1.0717567,0.064208984,128.51,133120,65,314.3078486919403,404,2.8977606e-06,-0.0033380531
0.004052961,-0.41946542263031006,135168,0.0,1.0618911,0.039501954,128.26,135168,66,319.3666162490845,437,1.2204569e-05,-0.003001065
0.0053175865,0.03729778528213501,137216,0.0,1.0518806,0.0637207,127.21,137216,67,324.05135321617126,426,9.215214e-07,-0.006117707
0.005882601,-0.3796607255935669,139264,0.0,1.0492965,0.05732422,123.52,139264,68,328.85046339035034,384,8.647038e-06,-0.006072246
0.0046275677,0.31869882345199585,141312,0.0,1.0402645,0.05288086,124.21,141312,69,334.1759099960327,425,1.2456132e-05,-0.002324211
0.0044583017,0.06974238157272339,143360,0.0,1.0451193,0.054785155,122.5,143360,70,338.9873147010803,400,5.7550033e-06,-0.0018341476
0.0049341535,0.051133155822753906,145408,0.0,1.0532949,0.059423827,126.3,145408,71,344.10812997817993,420,3.8654903e-06,-0.002920061
0.0035507188,0.1706128716468811,147456,0.0,1.0484337,0.036572266,131.27,147456,72,348.97861671447754,443,7.4222175e-06,-0.002294845
0.004751342,-0.05088973045349121,149504,0.0,1.0464586,0.0578125,132.16,149504,73,353.59384417533875,417,1.2579178e-06,-0.0037850733
0.0043569626,-0.5037877559661865,151552,0.0,1.0497615,0.051660158,132.97,151552,74,358.49674105644226,367,1.7942344e-06,-0.0045990786
0.00534054,-1.015260934829712,153600,0.0,1.0440223,0.064892575,132.44,153600,75,364.0698549747467,416,7.552297e-06,-0.004661565
0.0074982615,-1.1504530906677246,155648,0.0,1.0275096,0.094335936,133.85,155648,76,368.99431133270264,408,5.093165e-06,-0.0072594755
0.0058128187,-0.17225348949432373,157696,0.0,1.0185933,0.07729492,136.84,157696,77,374.00472807884216,417,5.598212e-06,-0.0046949075
0.005240762,-0.6810909509658813,159744,0.0,1.0067296,0.066064455,143.26,159744,78,378.90688037872314,387,2.1580681e-05,-0.0065479176
0.004932403,-0.3859264850616455,161792,0.0,0.9867689,0.057666015,152.83,161792,79,384.1943438053131,414,1.0172763e-05,-0.0047253324
0.0044973493,-0.08939158916473389,163840,0.0,0.98057634,0.054638673,153.67,163840,80,389.13215684890747,413,1.1247523e-06,-0.0039401357
0.004914343,-0.17212963104248047,165888,0.0,0.9829049,0.057275392,154.81,165888,81,394.08946776390076,404,6.070769e-07,-0.0053672614
0.0061816107,-0.6314880847930908,167936,0.0,0.97464836,0.07324219,147.41,167936,82,399.14878964424133,416,8.046347e-06,-0.0049697217
0.00652329,0.40532124042510986,169984,0.0,0.97515976,0.08388672,141.69,169984,83,404.07201623916626,411,2.6137934e-06,-0.0050555947
0.0053651417,0.6377801597118378,172032,0.0,0.9923046,0.061035156,129.38,172032,84,409.047402381897,411,3.3874607e-05,-0.006160548
0.0060808444,0.16355812549591064,174080,0.0,0.98618555,0.072705075,114.6,174080,85,414.0290422439575,407,8.577516e-07,-0.0058486797
0.004623879,-0.31547367572784424,176128,0.0,0.982142,0.052783202,106.86,176128,86,419.0563633441925,425,9.258767e-07,-0.0028355976
0.0042937053,-1.327613353729248,178176,0.0,0.9848789,0.049804688,108.61,178176,87,423.8710913658142,410,7.969531e-07,-0.003635849
0.004598933,-0.5110601186752319,180224,0.0,0.97395766,0.04916992,111.86,180224,88,428.85760736465454,415,3.500294e-06,-0.003115908
0.0037074406,0.14829325675964355,182272,0.0,0.9824152,0.039013673,118.97,182272,89,433.7909343242645,401,3.0171536e-06,-0.0036165887
0.006523111,0.03709971904754639,184320,0.0,0.997709,0.081933595,124.1,184320,90,438.8888521194458,406,7.1189896e-07,-0.006646911
0.006276884,0.011213600635528564,186368,0.0,0.9978403,0.07900391,125.4,186368,91,443.92793464660645,400,4.4986704e-05,-0.0036938977
0.0043781223,-0.6658772230148315,188416,0.0,0.99986887,0.050878905,133.42,188416,92,449.0419981479645,412,1.1777822e-06,-0.0058145146
0.0044287345,-0.514595627784729,190464,0.0,1.0046856,0.05053711,137.07,190464,93,454.00371527671814,420,1.0157462e-06,-0.0049770833
0.0054655196,-0.14232265949249268,192512,0.0,0.99783313,0.064648435,141.79,192512,94,458.8716297149658,401,9.0404683e-07,-0.0045165336
0.0058657676,-0.5246180295944214,194560,0.0,1.0055785,0.07460938,143.48,194560,95,463.9743843078613,406,6.664504e-07,-0.0058035897
0.0054320185,-1.1037342548370361,196608,0.0,1.0051299,0.061328124,144.71,196608,96,469.0187270641327,427,7.571976e-07,-0.0043638647
0.006732554,-1.961411476135254,198656,0.0,0.9756009,0.07524414,149.58,198656,97,473.80962896347046,413,3.5150235e-06,-0.0065400056
