fps,value_loss,serial_timesteps,n_updates,policy_loss,clipfrac,total_timesteps,explained_variance,policy_entropy,time_elapsed,ep_reward_mean,approxkl,ep_len_mean
300,24.127296,120832,59,-0.0017821221,0.024951171,120832,0.9224859848618507,1.9153255,377.165167093277,314.02995398999997,0.002722568,334.96
300,24.507961,122880,60,-0.0042138845,0.048583984,122880,0.9418980814516544,1.9097182,383.9766888618469,317.99895270999997,0.004576315,339.03
303,23.0433,124928,61,0.0002933659,0.025488282,124928,0.937808133661747,1.9006212,390.78578519821167,326.01149108000004,0.0024661315,347.14
298,22.91614,126976,62,-0.000578868,0.019580077,126976,0.9184525087475777,1.9006971,397.5322458744049,333.51424549999996,0.0020990788,354.84
304,31.121374,129024,63,-0.0021076042,0.037841797,129024,0.5481063723564148,1.9150664,404.3901822566986,341.39246084,0.0032534327,363.06
301,28.194315,131072,64,-0.0011604829,0.016113281,131072,0.6366616189479828,1.9288766,411.1208050251007,352.85219194000007,0.0021527568,375.08
303,21.98694,133120,65,-0.0016775485,0.023242187,133120,0.9461159370839596,1.9262041,417.9074614048004,363.38449688000003,0.0023635826,386.27
307,28.846592,135168,66,-0.0009435218,0.013330078,135168,0.4945310950279236,1.9233162,424.6633152961731,374.23180024,0.0018112466,397.91
311,28.825333,137216,67,-0.0031554438,0.025927734,137216,0.23529577255249023,1.932826,431.33530950546265,385.37832298999984,0.002782765,409.74
305,25.444475,139264,68,-0.0029174027,0.021582032,139264,0.6823820471763611,1.9435141,437.9167068004608,400.61076949999995,0.0023214277,426.06
306,22.271172,141312,69,-0.0067083305,0.044433594,141312,0.5054457783699036,1.9625008,444.62904262542725,405.16764757000004,0.0039337957,431.06
304,17.566204,143360,70,-0.00026600613,0.019042969,143360,0.9382029063999653,1.9841629,451.3104727268219,427.45534946,0.0021878104,454.64
306,21.19619,145408,71,-0.0011047211,0.019873047,145408,0.7287770509719849,2.0023599,458.03894782066345,435.6466904,0.0019629248,463.4
310,28.720402,147456,72,-0.004741715,0.028222656,147456,0.45056235790252686,2.0230641,464.7145848274231,449.4396559300001,0.0027015933,478.16
299,22.919569,149504,73,-0.0011114257,0.016601562,149504,0.20099091529846191,2.0384927,471.3173680305481,454.88440304000005,0.0017220859,484.02
309,18.29322,151552,74,-0.00414931,0.03203125,151552,0.7586276531219482,2.0505497,478.16206097602844,469.78702324000005,0.0030022957,499.69
299,21.963337,153600,75,-0.0034687258,0.03745117,153600,0.7025789618492126,2.063081,484.7777531147003,487.38209671000004,0.003338911,518.41
304,16.380365,155648,76,-0.0010456886,0.04067383,155648,0.67458176612854,2.083074,491.6154375076294,499.69670193999997,0.003349812,531.52
301,22.874952,157696,77,-0.003921494,0.028222656,157696,0.5798186659812927,2.0982008,498.3366048336029,516.7360069599999,0.0025299923,549.68
302,13.801649,159744,78,-0.006914208,0.05673828,159744,0.9416749104857445,2.1181827,505.1292154788971,524.32036827,0.004553736,557.81
301,17.071554,161792,79,-0.0020692109,0.020458985,161792,0.8244905769824982,2.134241,511.9038393497467,544.9242517600001,0.0023477438,579.76
302,11.597918,163840,80,-0.0042953333,0.03959961,163840,0.9427670836448669,2.1310787,518.6897349357605,561.6045849499999,0.0034666397,597.77
301,11.957016,165888,81,-0.0049685976,0.072753906,165888,0.9430880509316921,2.1264355,525.4683020114899,574.8454422,0.00547546,612.44
303,20.153887,167936,82,-0.00050154014,0.022070313,167936,0.02570408582687378,2.131536,532.2666862010956,591.28756178,0.0023025558,629.52
300,17.335842,169984,83,-0.000497735,0.01928711,169984,0.4318251609802246,2.1361196,539.0205433368683,601.41928006,0.00229863,640.54
302,14.983648,172032,84,-0.005342998,0.058154296,172032,0.5768978297710419,2.144255,545.8387157917023,612.2817066700001,0.0048386706,652.29
303,13.797647,174080,85,-0.0027077263,0.019384766,174080,0.8674320429563522,2.1535833,552.6117739677429,637.44793813,0.0021411462,678.9
299,12.105127,176128,86,-0.0021696195,0.01875,176128,0.9332324638962746,2.1502738,559.3569684028625,647.33137192,0.0019811303,689.3
300,18.52483,178176,87,-0.0014970396,0.027685547,178176,0.030235350131988525,2.146821,566.2020447254181,664.14438448,0.0031617798,706.61
299,10.884234,180224,88,-0.0015300219,0.036230467,180224,0.936138778924942,2.1492429,573.0218143463135,680.51678344,0.0031023175,724.11
296,11.927749,182272,89,-0.0032740314,0.028759766,182272,0.9117810949683189,2.1535354,579.8599293231964,696.4355793999999,0.002753483,740.87
300,17.013998,184320,90,-0.004663673,0.037890624,184320,0.02887094020843506,2.1712108,586.776246547699,712.1841193800001,0.0031507649,757.58
298,10.181237,186368,91,-0.0024072623,0.03388672,186368,0.9468876719474792,2.177861,593.5835335254669,730.61071392,0.0030773473,777.06
294,11.067508,188416,92,-0.004186756,0.041992188,188416,0.8886751979589462,2.1758153,600.4453673362732,745.71177118,0.0037531867,792.99
303,7.533183,190464,93,-0.0022349136,0.021728516,190464,0.9529269933700562,2.1855507,607.3900928497314,761.0158367800001,0.0022518095,809.6
300,7.876686,192512,94,-0.0005858225,0.034765624,192512,0.9499221555888653,2.1943781,614.1396279335022,768.5764587500001,0.0032595925,818.01
303,13.8669405,194560,95,-0.00047262706,0.018847656,194560,0.6085945963859558,2.2085116,620.9515807628632,783.8778052299999,0.002137326,834.55
307,12.9008,196608,96,-0.0019065186,0.028564453,196608,0.8642822057008743,2.2056086,627.7088718414307,802.6563971300001,0.0026869203,854.08
302,8.8568735,198656,97,-0.0019199349,0.016210938,198656,0.9559982754290104,2.1892295,634.3760349750519,815.7859288200001,0.0021121027,867.97
301,8.227583,200704,98,0.00017382062,0.0086425785,200704,0.9179734960198402,2.1729302,641.1498286724091,823.3128790000001,0.0011772731,875.73
302,20.877323,202752,99,-0.00015985456,0.016455078,202752,0.4086461663246155,2.1845212,647.9425330162048,849.76461231,0.0017083272,903.9
305,16.587965,204800,100,-0.0021765938,0.02211914,204800,0.7278516888618469,2.1966357,654.7095620632172,865.15464372,0.0022447146,920.16
303,8.637019,206848,101,-0.006869387,0.054101564,206848,0.8397529274225235,2.211371,661.4143352508545,873.12588393,0.0043255948,928.63
300,16.12291,208896,102,-0.0012336414,0.023876954,208896,0.0198897123336792,2.2329717,668.156613111496,889.55781909,0.0023544016,945.83
295,15.044046,210944,103,-0.001549918,0.022802735,210944,-0.002555370330810547,2.2446883,674.9794671535492,905.2154390000001,0.0024106244,962.33
306,7.68396,212992,104,-0.0018551921,0.01977539,212992,0.8523811846971512,2.2523978,681.9018774032593,919.0544397200001,0.0021587838,977.19
304,20.99076,215040,105,-0.001576782,0.014208985,215040,0.4236549735069275,2.2576942,688.5773415565491,942.0221869499999,0.0015243636,1001.39
304,12.429352,217088,106,-0.008178556,0.056103516,217088,0.4000524878501892,2.262836,695.3083057403564,944.96578929,0.004835272,1004.62
304,11.643793,219136,107,-0.0027499828,0.018408203,219136,0.42313486337661743,2.279893,702.0326709747314,959.2746787899999,0.0018652268,1019.68
301,16.643475,221184,108,-0.0024531279,0.027978515,221184,0.7962281852960587,2.3031557,708.7596099376678,975.5053960099999,0.0027076958,1037.0
303,9.357451,223232,109,-0.0029595692,0.023486327,223232,0.6485372483730316,2.3180904,715.5460679531097,989.13666428,0.0025508108,1051.19
300,12.858714,225280,110,-8.866221e-05,0.018994141,225280,0.25133007764816284,2.3377826,722.3011934757233,1000.78712325,0.0018934,1063.48
297,26.11673,227328,111,-0.004234634,0.036376953,227328,0.05000084638595581,2.366717,729.1256477832794,1026.12958902,0.003373742,1090.62
296,13.6925,229376,112,0.00020847931,0.029541016,229376,0.21695822477340698,2.3912754,736.0080378055573,1040.62626616,0.0031136721,1106.25
295,34.722435,231424,113,-0.0016111325,0.028515626,231424,0.49597281217575073,2.404576,742.9057357311249,1047.6749865799998,0.0026488192,1113.73
294,27.182367,233472,114,-0.0042817844,0.028222656,233472,0.4848596453666687,2.418533,749.8350486755371,1054.6435920800002,0.0027246526,1121.54
293,22.722954,235520,115,-0.0016370695,0.027441407,235520,0.6689442694187164,2.431152,756.7833840847015,1065.70008981,0.002764837,1132.85
295,19.599142,237568,116,-0.0032959834,0.01586914,237568,0.7141842842102051,2.438977,763.7517066001892,1070.6451406499998,0.0017326744,1138.08
298,11.59366,239616,117,-0.00057864067,0.013378906,239616,0.7829169481992722,2.4555573,770.6883747577667,1077.3350595900001,0.0018539035,1145.09
298,7.446083,241664,118,-0.0004956463,0.0038085938,241664,0.9295391067862511,2.4637227,777.5605502128601,1079.2678161499998,0.0008336113,1147.19
300,14.252678,243712,119,-0.0037733144,0.034228515,243712,0.9236542657017708,2.4672055,784.4209022521973,1078.76748339,0.0030234433,1147.06
295,25.80927,245760,120,-0.0026835906,0.02578125,245760,0.5923892855644226,2.4691837,791.2396347522736,1076.06787589,0.0024323878,1144.02
294,24.911106,247808,121,-0.0017697494,0.005957031,247808,0.8203567117452621,2.4660764,798.1709113121033,1068.32281772,0.0010492767,1135.41
301,13.564127,249856,122,-0.0026820186,0.024365235,249856,0.8314480930566788,2.456941,805.1238586902618,1058.0258493,0.0025739006,1124.65
305,19.275131,251904,123,-0.0035874743,0.010498047,251904,0.8716631382703781,2.4460516,811.9174628257751,1047.1852456199997,0.0015138166,1113.03
306,18.975565,253952,124,-0.002117737,0.016357422,253952,0.8408467173576355,2.4491048,818.6178579330444,1039.5809702899996,0.001881446,1105.16
305,13.330095,256000,125,-0.0021415567,0.030810546,256000,0.852519303560257,2.4516833,825.3088202476501,1036.9352395199999,0.0029132676,1102.77
303,11.77379,258048,126,-0.0030507713,0.0362793,258048,0.8158349245786667,2.4426277,832.0234384536743,1037.96493086,0.003417397,1104.25
299,23.640547,260096,127,-0.0058898083,0.056640625,260096,0.7705715894699097,2.4383476,838.7719078063965,1011.76962607,0.0046623005,1076.18
304,6.4100013,262144,128,-0.0025865342,0.04145508,262144,0.9312857091426849,2.4450567,845.6189007759094,1005.1036300299999,0.0034606345,1068.98
295,18.219517,264192,129,-0.0029924444,0.03286133,264192,0.5204744338989258,2.443345,852.3571786880493,1014.9622802600002,0.0032860115,1079.31
296,16.026165,266240,130,-0.0014056372,0.054980468,266240,-0.001058816909790039,2.4400396,859.2869691848755,1019.0181685,0.0043147574,1083.93
290,15.593506,268288,131,-0.0043912833,0.04868164,268288,0.10858625173568726,2.4566698,866.201073884964,1028.19474605,0.003818792,1093.46
296,15.829773,270336,132,-0.0009686273,0.043701172,270336,0.01820218563079834,2.4860516,873.2428133487701,1031.46943014,0.0036418047,1096.57
300,16.437681,272384,133,-0.0026954145,0.039404295,272384,-0.016509294509887695,2.490912,880.1550562381744,1041.0546490899999,0.00330368,1106.62
302,16.01839,274432,134,-0.00010991043,0.02109375,274432,0.028395771980285645,2.493165,886.9707338809967,1050.2448885099998,0.002255663,1116.26
294,16.651674,276480,135,5.6084675e-05,0.023779297,276480,-0.008529305458068848,2.4932241,893.7415821552277,1058.98622806,0.002622103,1124.96
297,16.22615,278528,136,-0.002365563,0.06826172,278528,0.03044039011001587,2.5019176,900.6951742172241,1061.19876484,0.005253423,1126.75
299,16.470478,280576,137,-0.0017313944,0.026660156,280576,0.012064039707183838,2.5094352,907.5875945091248,1061.0336097,0.0025457316,1126.75
293,16.86389,282624,138,-0.00045491365,0.020703126,282624,0.03709322214126587,2.5079808,914.4339625835419,1065.4894861,0.0020880138,1131.0
296,9.495022,284672,139,-0.0049412046,0.04526367,284672,0.6923596858978271,2.516637,921.4237270355225,1068.60284098,0.004141709,1134.16
294,11.032552,286720,140,-0.005126447,0.061865233,286720,0.5631212592124939,2.5298214,928.3242681026459,1060.3092812500001,0.004860432,1125.55
297,16.795147,288768,141,-0.0023478735,0.042382814,288768,0.06169724464416504,2.5518396,935.2734022140503,1064.64487941,0.0038337216,1130.21
296,24.974625,290816,142,-0.00045292435,0.011328125,290816,0.4438248872756958,2.572631,942.1643118858337,1059.2191850899999,0.0015881052,1124.95
296,16.499681,292864,143,-0.00038056515,0.010302735,292864,0.1420457363128662,2.5747628,949.0674843788147,1060.82571944,0.0016377732,1126.52
294,17.38759,294912,144,-0.0044553294,0.06743164,294912,0.005625367164611816,2.584647,955.9712057113647,1062.0538063599997,0.0053186323,1127.97
299,17.643808,296960,145,-0.0013125705,0.03515625,296960,-0.015013933181762695,2.6061456,962.9190356731415,1062.07515617,0.0032633147,1127.97
298,17.21362,299008,146,-0.00077470636,0.020214844,299008,0.040200889110565186,2.6106486,969.7688844203949,1065.43299505,0.0023452744,1131.77
295,17.587132,301056,147,-0.0002713097,0.0044433596,301056,0.0069618821144104,2.5981605,976.623298406601,1076.02762951,0.0010152117,1142.47
293,16.410427,303104,148,-7.243273e-05,0.018847656,303104,0.14795398712158203,2.594756,983.5510177612305,1086.2348918199998,0.0021635464,1153.21
294,17.70593,305152,149,-0.0025149959,0.034765624,305152,0.17384803295135498,2.6164227,990.5303821563721,1093.64555945,0.0033332626,1161.28
300,17.786129,307200,150,-0.0014271649,0.019140625,307200,0.007032871246337891,2.6279292,997.4925365447998,1100.31856434,0.0022417628,1167.98
297,17.866802,309248,151,-0.0045435205,0.073632814,309248,0.012227654457092285,2.6376615,1004.3200335502625,1111.79365584,0.0055930624,1179.9
295,17.677656,311296,152,-0.00079001224,0.014990235,311296,0.01417309045791626,2.6564562,1011.2046852111816,1119.14243446,0.0016398461,1187.72
291,16.050041,313344,153,-0.0014147202,0.03251953,313344,0.11488234996795654,2.6546097,1018.1338543891907,1119.62811946,0.0029648102,1187.72
