ep_len_mean,n_updates,fps,ep_reward_mean,serial_timesteps,clipfrac,total_timesteps,time_elapsed,value_loss,approxkl,explained_variance,policy_loss,policy_entropy
2002.73,423,273,1905.629234,866304,0.011083985,866304,2859.8585393428802,18.750849,0.0014864625,0.05420410633087158,-0.0011986021,4.0690165
2002.73,424,283,1905.68458866,868352,0.015820313,868352,2867.356556415558,19.43217,0.0018192421,0.005651295185089111,-0.0008323432,4.078911
2002.73,425,285,1905.94137412,870400,0.025097657,870400,2874.584471464157,17.064386,0.00222561,0.2188439965248108,-0.0044909627,4.0903163
2002.73,426,271,1906.6220956899997,872448,0.0107421875,872448,2881.757002592087,18.969292,0.0015936561,0.014382421970367432,-0.0004349908,4.0934825
2014.36,427,275,1917.66646644,874496,0.040527344,874496,2889.289798974991,19.239874,0.0035554767,0.0017085075378417969,-0.0019730893,4.0815196
2026.14,428,254,1928.94383433,876544,0.013476563,876544,2896.7134988307953,18.047522,0.0014827012,0.1006854772567749,-0.0002525445,4.0813856
2026.14,429,294,1928.9633270699999,878592,0.016259765,878592,2904.7679431438446,19.060818,0.0017786991,0.00559842586517334,-0.00083174167,4.0919003
2026.14,430,287,1929.37586026,880640,0.03491211,880640,2911.7324900627136,18.892012,0.003074941,-0.014168977737426758,-0.0020980122,4.105123
2026.14,431,290,1929.53986291,882688,0.0089355465,882688,2918.864207983017,19.117907,0.0013914545,-0.0474778413772583,-0.00021041799,4.115775
2026.14,432,290,1929.5519141600003,884736,0.046875,884736,2925.9170322418213,18.921171,0.0038211872,0.010706782341003418,-0.0025945061,4.1251435
2026.14,433,293,1929.37497076,886784,0.006591797,886784,2932.969880580902,18.193869,0.0010015188,0.09266358613967896,0.00033645058,4.127719
2026.14,434,296,1929.743456,888832,0.021630859,888832,2939.9434971809387,18.997458,0.002000474,-0.05136847496032715,-0.0009189399,4.132519
2026.14,435,293,1929.86139752,890880,0.038867187,890880,2946.849587202072,19.09511,0.0034708981,-0.01752471923828125,-0.0026151808,4.1369886
2026.14,436,289,1929.8386369200002,892928,0.030029297,892928,2953.837945461273,18.87534,0.002888541,0.00781261920928955,-0.0028218194,4.143875
2026.14,437,292,1930.1461987499997,894976,0.036376953,894976,2960.9059722423553,18.578262,0.003389641,0.01605910062789917,-0.0014824693,4.1463556
2026.14,438,291,1930.01848635,897024,0.031103516,897024,2967.9154188632965,18.409826,0.002915326,0.06374704837799072,-0.00056017295,4.145909
2026.14,439,286,1930.2328045199997,899072,0.05205078,899072,2974.9532623291016,18.853888,0.0040785437,0.013567864894866943,-0.0034565981,4.1497035
2026.14,440,289,1930.26379756,901120,0.04042969,901120,2982.0988879203796,18.92741,0.0034046434,0.007448792457580566,-0.0015759846,4.157198
2026.14,441,293,1930.29147869,903168,0.009667968,903168,2989.1858973503113,18.547714,0.0012869101,0.04396820068359375,-0.0005357863,4.1615715
2026.14,442,291,1930.3776818400002,905216,0.030664062,905216,2996.157552957535,19.025932,0.0026590647,-0.005296111106872559,-0.0011936435,4.165912
2026.14,443,298,1930.2903281700003,907264,0.022216797,907264,3003.1959846019745,18.26128,0.0021242234,0.05622738599777222,-0.0034909179,4.175585
2026.14,444,299,1930.1571341800002,909312,0.01225586,909312,3010.0535819530487,19.005545,0.0014924256,-0.01654982566833496,-0.001075056,4.1902194
2026.14,445,295,1930.18359602,911360,0.005566406,911360,3016.8992052078247,18.176685,0.0010774115,0.07331323623657227,-2.1690666e-05,4.19542
2026.14,446,295,1930.09783743,913408,0.030957032,913408,3023.834089279175,18.804298,0.0029423076,0.02798151969909668,-0.0018924295,4.1973405
2026.14,447,298,1930.00353305,915456,0.036376953,915456,3030.772204399109,18.594267,0.0033374063,0.020228862762451172,-0.002980799,4.1988482
2026.14,448,291,1930.03291052,917504,0.019970704,917504,3037.634336233139,18.42278,0.002151359,0.03962916135787964,-0.0011926215,4.193985
2026.14,449,289,1930.07057939,919552,0.036816407,919552,3044.6584119796753,18.934114,0.0028756105,-0.0290297269821167,-0.0041900305,4.201009
2026.14,450,290,1930.06475095,921600,0.0146484375,921600,3051.7274124622345,17.843872,0.0016744018,0.11197471618652344,-4.473276e-06,4.223906
