policy_loss,total_timesteps,n_updates,serial_timesteps,explained_variance,fps,ep_reward_mean,clipfrac,policy_entropy,value_loss,approxkl,ep_len_mean,time_elapsed
-0.0016675268,90112,44,90112,0.0807955265045166,255,496.2720666799999,0.037744142,1.4565378,56.470917,0.00318636,673.36,499.96386981010437
-0.0046411636,92160,45,92160,0.09171545505523682,197,511.72645405000003,0.03237305,1.4729393,46.610813,0.0031205285,691.56,507.9696924686432
-0.0012787844,94208,46,94208,0.058280229568481445,279,527.2293797,0.026708985,1.476973,46.279278,0.0026542237,710.13,518.3558766841888
-0.00279661,96256,47,96256,0.04077845811843872,341,540.45123331,0.046679687,1.4806715,51.284615,0.003791834,724.39,525.6810450553894
-0.003081594,98304,48,98304,0.002122938632965088,253,557.13413469,0.029248048,1.4848483,54.547657,0.0029443654,742.86,531.6785151958466
-0.0008111947,100352,49,100352,0.024904370307922363,289,572.4805775199999,0.02451172,1.4863218,54.82843,0.0023990548,759.32,539.7730047702789
-0.0040104906,102400,50,102400,0.0121917724609375,362,589.55564975,0.041552734,1.506556,56.25939,0.003644891,777.99,546.8454282283783
-0.0029560633,104448,51,104448,0.010654330253601074,277,606.5508272200001,0.047021486,1.5328516,54.90139,0.003969743,796.72,552.5011088848114
-0.003985909,106496,52,106496,0.007318019866943359,273,624.2303701,0.027392577,1.5434487,60.773804,0.0027941247,815.39,559.8764431476593
-0.0036069409,108544,53,108544,-0.013990044593811035,392,622.67312254,0.036816407,1.5543655,57.725105,0.003258417,812.77,567.3626368045807
-0.0045308033,110592,54,110592,0.0017493367195129395,311,640.35185599,0.04111328,1.5611771,58.854656,0.0039396156,831.36,572.5795125961304
-0.0036048137,112640,55,112640,0.006188750267028809,305,658.12990139,0.025146484,1.5512884,56.273376,0.0029111851,850.0,579.1541693210602
-0.001917427,114688,56,114688,0.0033262968063354492,328,673.63058224,0.01953125,1.5489411,53.117165,0.0022179645,865.7,585.8675181865692
-0.004118939,116736,57,116736,0.003929197788238525,191,690.6480435899998,0.05581055,1.563216,36.371204,0.004796844,884.52,592.0980367660522
-0.0014431812,118784,58,118784,0.059670209884643555,180,706.45312753,0.030908203,1.5754329,35.021347,0.003054413,901.9,602.8010396957397
-0.0048540877,120832,59,120832,0.007586956024169922,282,723.68045613,0.04741211,1.5685588,53.28188,0.0043970696,920.63,614.1706130504608
-0.0025069576,122880,60,122880,-0.008390665054321289,249,740.82217118,0.025,1.5706412,52.364685,0.0026836207,939.28,621.4130847454071
-0.00736043,124928,61,124928,0.07760602235794067,89,699.53207262,0.043701172,1.5886832,19.267157,0.0034525034,889.92,629.6164360046387
-0.0029969027,126976,62,126976,0.2330145239830017,87,583.6255943599999,0.029199218,1.6024615,16.598013,0.0029104054,756.79,652.5330991744995
-0.004461744,129024,63,129024,0.32197433710098267,88,496.97832667,0.040966798,1.6123524,15.702148,0.0035905354,654.84,675.900957107544
-0.0021166694,131072,64,131072,0.4504721164703369,96,472.86941771,0.02236328,1.6285789,13.8814335,0.0019374005,623.36,699.0820739269257
-0.001427641,133120,65,133120,0.5142904222011566,95,466.42278485,0.013330078,1.6379435,12.822881,0.0018832296,612.72,720.3816933631897
-0.0029546283,135168,66,135168,0.2572384476661682,173,460.11550423,0.04243164,1.6386249,36.124573,0.0039339447,602.13,741.9054439067841
-0.0029943339,137216,67,137216,0.36885958909988403,116,422.98548595,0.025341798,1.6325407,27.284262,0.003146282,555.42,753.6804988384247
-0.0016714148,139264,68,139264,0.553804874420166,141,313.95342869,0.012353515,1.6216633,13.369263,0.0018590018,431.02,771.2457067966461
-0.0040134974,141312,69,141312,0.6604669690132141,133,158.12365585999999,0.033447266,1.6253535,10.760615,0.0032178443,261.59,785.770423412323
-0.0032786434,143360,70,143360,0.7043537199497223,91,104.51366214,0.013671875,1.6370175,9.741588,0.0016846731,201.88,801.1195383071899
-0.0014761897,145408,71,145408,0.7605168521404266,100,106.81177729,0.013818359,1.6478516,7.875373,0.0017375026,205.58,823.6009488105774
-0.0016741134,147456,72,147456,0.3095307946205139,357,107.03834909,0.02841797,1.660147,44.026077,0.002837517,205.77,843.8893127441406
-0.00204855,149504,73,149504,0.4289550185203552,173,124.05677875999999,0.0108886715,1.6653786,27.018616,0.0012770627,225.11,849.6206471920013
-0.0023954697,151552,74,151552,-0.07703900337219238,258,141.29688267,0.031445313,1.6662848,49.64924,0.0031608078,244.12,861.3995540142059
-0.0020848785,153600,75,153600,0.3935118317604065,141,159.12781891999998,0.009863282,1.6664566,31.947077,0.0014292705,262.63,869.3134806156158
-0.0022054897,155648,76,155648,0.42478734254837036,197,176.81114723,0.016308594,1.6777165,46.691963,0.001978253,281.89,883.790664434433
-0.0022128555,157696,77,157696,0.6033645570278168,189,176.98489067000003,0.025634766,1.6930075,31.89791,0.0026470195,281.96,894.1599493026733
-0.0053464426,159744,78,159744,0.08033132553100586,321,194.61869138000003,0.035888672,1.6994776,49.57522,0.00313272,300.75,904.9720346927643
-0.0017301899,161792,79,161792,0.6633274555206299,104,212.08022516000005,0.030371094,1.7112583,23.034966,0.002999199,319.3,911.3472318649292
-0.0021367571,163840,80,163840,0.8310175538063049,102,213.29723447,0.021435548,1.7086074,6.5547113,0.0025021085,320.54,931.0108137130737
-0.005307145,165888,81,165888,0.4470135569572449,276,213.31742392999996,0.032421876,1.708016,43.2025,0.0032640423,320.44,951.0069360733032
-0.005288246,167936,82,167936,0.8373201638460159,85,213.14233342,0.038378906,1.7138298,6.867421,0.0036057618,320.12,958.4099206924438
-0.003189768,169984,83,169984,0.8681992441415787,94,212.28887348999993,0.033691406,1.7198254,5.4987316,0.0032595904,318.79,982.3431961536407
-0.00242647,172032,84,172032,0.8510646522045135,127,210.61732198999994,0.021728516,1.7197748,6.0506735,0.0024685634,316.14,1003.9543817043304
-0.0046970043,174080,85,174080,0.23012769222259521,223,227.41159841999996,0.05722656,1.7148727,41.108627,0.0046392055,335.21,1020.0394549369812
-0.0033858486,176128,86,176128,0.5315084159374237,231,243.97499266999995,0.025439452,1.7262882,43.929283,0.0025637317,353.7,1029.207130432129
-0.007652721,178176,87,178176,0.0739583969116211,356,260.68626809999995,0.090429686,1.7285099,41.76835,0.0070199883,372.36,1038.068095445633
-0.004080246,180224,88,180224,0.4606779217720032,276,275.66875631999994,0.03701172,1.7151709,42.120853,0.0033297546,388.63,1043.8061773777008
-0.0029997355,182272,89,182272,0.9561398923397064,74,273.5929893,0.032177735,1.7084478,2.292128,0.003061467,385.13,1051.2126834392548
-0.0026830656,184320,90,184320,0.9624863900244236,75,253.74608003,0.0328125,1.7053192,2.214572,0.0030927467,360.67,1078.6211013793945
-0.0038966998,186368,91,186368,0.5608714818954468,278,236.72679782,0.020654297,1.7062601,38.06482,0.0022736278,341.6,1105.8915333747864
-0.002837578,188416,92,188416,0.9032956585288048,93,217.45783886,0.014453125,1.7018993,7.0072794,0.0016295982,320.76,1113.2457931041718
