total_timesteps,ep_reward_mean,clipfrac,value_loss,explained_variance,fps,ep_len_mean,time_elapsed,policy_entropy,policy_loss,approxkl,n_updates,serial_timesteps
129024,0.0,0.028027344,1.02727e-06,-0.3747025728225708,439,709.7,304.88029408454895,1.1089615,7.811705e-05,0.002891011,63,129024
131072,0.0,0.031542968,2.2862434e-06,-0.29545044898986816,420,710.27,309.5413761138916,1.1035421,-0.0009114784,0.003218665,64,131072
133120,0.0,0.049853515,6.0497305e-06,-0.6817963123321533,433,712.97,314.40991282463074,1.1094077,-0.004946937,0.004115484,65,133120
135168,0.0,0.02241211,6.147811e-07,-0.31395649909973145,435,715.57,319.13037943840027,1.1244776,0.0006830822,0.002329771,66,135168
137216,0.0,0.056347657,8.0280336e-07,-0.34981226921081543,413,718.08,323.8387780189514,1.1261742,-0.0030112849,0.004766525,67,137216
139264,0.0,0.03227539,6.931815e-07,-0.33612799644470215,441,717.4,328.7915713787079,1.1172519,-0.00096245744,0.0032933396,68,139264
141312,0.0,0.07529297,2.7089586e-06,-0.23764073848724365,423,717.45,333.4350664615631,1.1057911,-0.002838819,0.005918919,69,141312
143360,0.0,0.0440918,1.9012947e-05,-0.3108799457550049,424,722.46,338.268107175827,1.1055661,-0.0027421657,0.003863519,70,143360
145408,0.0,0.04501953,1.0552851e-06,-0.22970008850097656,430,722.52,343.0970039367676,1.1076329,-0.002163012,0.0038497648,71,145408
147456,0.0,0.033740234,3.5046382e-06,-0.2683992385864258,441,722.27,347.85207176208496,1.1027486,-0.001080815,0.0032628186,72,147456
149504,0.0,0.061914064,5.2576723e-07,-0.22980403900146484,406,721.4,352.49306631088257,1.1060869,-0.002607158,0.0049435096,73,149504
151552,0.0,0.04111328,9.3480696e-07,-0.31607604026794434,442,725.81,357.53143882751465,1.1029885,-0.0021161202,0.0037677404,74,151552
153600,0.0,0.052783202,2.1928638e-06,-0.8753547668457031,431,726.65,362.1628532409668,1.0980761,-0.0031644113,0.0044690184,75,153600
155648,0.0,0.030566406,2.5884996e-05,-0.6071922779083252,431,726.51,366.9134590625763,1.0899168,0.0007972382,0.0030861867,76,155648
157696,0.0,0.02836914,4.913883e-07,-0.2448887825012207,395,728.68,371.6641318798065,1.0804881,9.250796e-05,0.002886794,77,157696
159744,0.0,0.07451172,4.164625e-06,-0.3021794557571411,418,729.99,376.84993743896484,1.0901544,-0.0073012626,0.0060552233,78,159744
161792,0.0,0.035498045,4.714688e-07,-0.24012327194213867,425,729.92,381.74271178245544,1.098655,-0.0030328021,0.0034452372,79,161792
163840,0.0,0.03251953,7.749022e-06,-0.3628883361816406,404,732.03,386.5622515678406,1.084325,-0.0019401277,0.0034562263,80,163840
165888,0.0,0.03793945,2.7499314e-06,-0.156219482421875,424,729.47,391.6267263889313,1.0562987,-0.0007948747,0.0037959185,81,165888
167936,0.0,0.039697267,1.1438861e-05,-0.24242866039276123,419,727.54,396.45457220077515,1.0462685,-0.0017591293,0.00374313,82,167936
169984,0.0,0.061035156,2.4883982e-06,-0.32882893085479736,416,724.02,401.3355219364166,1.0406314,-0.0039589275,0.0050111115,83,169984
172032,0.0,0.065820314,2.1206909e-06,-0.4162330627441406,439,722.7,406.2577660083771,1.0528047,-0.0037434548,0.005370264,84,172032
174080,0.0,0.04033203,2.1101446e-06,-0.34131014347076416,436,719.31,410.9231095314026,1.0628097,-0.0014508823,0.0038291507,85,174080
176128,0.0,0.033740234,1.7316031e-06,-0.16533708572387695,438,719.93,415.62111043930054,1.0655032,-0.0003267902,0.0032289717,86,176128
178176,0.0,0.031640626,1.5249199e-05,-0.49485206604003906,428,717.74,420.2968182563782,1.0711116,-0.00085781945,0.003072562,87,178176
180224,0.0,0.067675784,1.283882e-07,-0.5244340896606445,450,719.26,425.0775110721588,1.0801162,-0.004822051,0.00525101,88,180224
182272,0.0,0.043701172,2.444248e-07,-0.4737900495529175,415,718.07,429.6279036998749,1.0908086,-0.0017020795,0.0038131154,89,182272
184320,0.0,0.06772461,1.0798531e-06,-0.2413806915283203,413,715.53,434.55630373954773,1.0978885,-0.0037915737,0.005308617,90,184320
186368,0.0,0.039697267,2.201093e-06,-1.2642529010772705,430,712.69,439.5133066177368,1.097039,-0.0018837999,0.0037720627,91,186368
188416,0.0,0.047167968,9.524369e-06,-0.7377067804336548,389,707.15,444.270081281662,1.0738784,-0.003267999,0.0044312333,92,188416
190464,0.0,0.05644531,1.2540509e-06,-0.9255679845809937,416,704.77,449.5280342102051,1.0558832,-0.0012473905,0.004770372,93,190464
192512,0.0,0.036816407,1.2227108e-06,-1.256972312927246,417,705.64,454.4474458694458,1.0546708,-0.0015794266,0.003435035,94,192512
194560,0.0,0.07519531,1.4762014e-05,-0.44384098052978516,396,703.21,459.34939908981323,1.0554266,-0.0037820195,0.005837555,95,194560
196608,0.0,0.045654297,1.7803129e-07,-0.43460261821746826,409,703.78,464.52088952064514,1.050571,-0.0015169128,0.003979503,96,196608
198656,0.0,0.046826173,4.8038123e-07,-0.8106564283370972,442,703.44,469.52195501327515,1.0480545,-0.0015549514,0.0040905084,97,198656
200704,0.0,0.042236328,7.174614e-07,-1.1023180484771729,408,704.07,474.1543164253235,1.0503161,-0.0042515835,0.0036802627,98,200704
202752,0.0,0.03676758,5.8746693e-05,-0.7000854015350342,409,705.39,479.1689839363098,1.0509714,-0.00027579465,0.0033708871,99,202752
204800,0.0,0.042919923,1.0342643e-07,-0.35244524478912354,427,706.37,484.17338490486145,1.0416534,-0.0013016333,0.0039742803,100,204800
206848,0.0,0.043652344,9.979435e-08,-1.0834248065948486,409,706.49,488.9624922275543,1.0316318,-0.0018094421,0.0040036,101,206848
208896,0.0,0.04482422,7.53686e-08,-3.1974568367004395,397,706.15,493.9602220058441,1.0261978,-0.0012055631,0.004264467,102,208896
210944,0.0,0.07929687,9.787237e-08,-2.6024632453918457,429,704.8,499.1138939857483,1.021163,-0.0060202875,0.005954352,103,210944
212992,0.0,0.022705078,9.0281006e-08,-2.733376979827881,437,702.97,503.8870532512665,1.0163475,-0.0011545958,0.0027547225,104,212992
215040,0.0,0.031835936,2.0647315e-07,-0.8156750202178955,441,701.97,508.5655162334442,1.010578,-0.0018411087,0.0030100297,105,215040
217088,0.0,0.057373047,4.08466e-05,-1.6019320487976074,419,698.02,513.2084991931915,1.0119073,-0.0019994266,0.0048289252,106,217088
219136,0.0,0.035058595,8.615809e-08,-0.3637089729309082,425,692.62,518.0879693031311,1.0084177,-0.0006671342,0.003303364,107,219136
221184,0.0,0.046533205,9.577606e-08,-0.5634679794311523,425,686.77,522.9036345481873,1.0032352,-0.00017870034,0.0039261132,108,221184
223232,0.0,0.038476564,6.9639135e-08,-0.9524322748184204,395,683.46,527.7173864841461,1.0040317,-0.0018161688,0.0036402852,109,223232
225280,0.0,0.059375,3.6678816e-07,-1.2784984111785889,421,681.79,532.893928527832,0.9930503,-0.0028690135,0.0049285404,110,225280
227328,0.0,0.025537109,5.6075953e-07,-0.4660911560058594,384,678.14,537.7528185844421,0.98964167,-0.00011179715,0.002632722,111,227328
229376,0.0,0.0574707,2.3712188e-05,-0.2755756378173828,440,676.68,543.0775277614594,1.0083451,-0.003255884,0.004750868,112,229376
231424,0.0,0.055322267,9.606307e-08,-0.4367111921310425,415,672.83,547.7290902137756,1.0227714,-0.0024759748,0.004508664,113,231424
233472,0.0,0.07607422,1.1085632e-07,-0.32901620864868164,419,670.82,552.6543836593628,1.0176041,-0.004118586,0.0062301545,114,233472
235520,0.0,0.036474608,7.048123e-08,-0.2518744468688965,429,670.64,557.5330576896667,1.0175022,-0.0020805993,0.0033772097,115,235520
237568,0.0,0.047851562,1.0349063e-07,-1.1814119815826416,426,673.14,562.3054745197296,1.0131767,-0.0017356381,0.0042930245,116,237568
239616,0.0,0.05205078,1.3696574e-07,-1.0328640937805176,423,674.4,567.1127374172211,1.0023077,-0.0031464032,0.0045149247,117,239616
241664,0.0,0.044970702,1.1235317e-06,-1.0522980690002441,418,674.6,571.9480497837067,1.0057808,-0.0014443297,0.0039027627,118,241664
243712,0.0,0.04873047,4.135101e-06,-0.6723111867904663,423,674.1,576.8476102352142,1.0079715,-0.0018928249,0.0045532435,119,243712
245760,0.0,0.05,1.3911176e-06,-0.37981271743774414,411,674.71,581.6793940067291,1.0079936,-0.0017854696,0.004171676,120,245760
