ep_len_mean,policy_loss,explained_variance,n_updates,time_elapsed,policy_entropy,serial_timesteps,fps,total_timesteps,value_loss,ep_reward_mean,approxkl,clipfrac
208.77,-0.0012647004,0.9549545496702194,107,655.5508060455322,0.7734245,219136,327,219136,5.8912735,50.38,0.003328863,0.037646484
212.46,0.00013539703,0.9638231061398983,108,661.8035473823547,0.7734189,221184,329,221184,6.136314,53.93,0.0044768294,0.051074218
212.55,-0.00047226652,0.9750501234084368,109,668.0154492855072,0.7708908,223232,330,223232,2.2201266,54.91,0.0032372936,0.034521483
212.53,-0.00037752924,0.9555651769042015,110,674.2074992656708,0.77390385,225280,333,225280,1.7923412,54.0,0.0021335776,0.02084961
209.05,-0.0010429827,0.9826609957963228,111,680.3588087558746,0.7680794,227328,332,227328,1.1522673,52.26,0.0034424358,0.036865234
209.6,0.0003057571,0.9614293724298477,112,686.5159621238708,0.7688286,229376,329,229376,5.1304216,54.04,0.002854426,0.031298827
208.98,-0.0003663313,0.9798047430813313,113,692.7301321029663,0.7905726,231424,329,231424,1.8227047,54.57,0.0034215194,0.038623046
208.51,-0.00083555,0.9596884027123451,114,698.9470565319061,0.7975732,233472,335,233472,5.7445254,56.48,0.0037116192,0.03959961
208.44,-0.00053706195,0.9599922336637974,115,705.0585372447968,0.7916186,235520,333,235520,4.0977182,55.54,0.0033730012,0.0328125
209.68,-0.00041692914,0.9589200094342232,116,711.1982297897339,0.7847884,237568,330,237568,2.745669,56.2,0.0012026068,0.008007812
205.88,0.0007447782,0.9766065068542957,117,717.4008011817932,0.78942055,239616,331,239616,2.1969924,54.16,0.0024891782,0.0234375
204.57,-0.0013548199,0.9690217319875956,118,723.585821390152,0.78339964,241664,324,241664,4.374221,53.01,0.0050458894,0.05805664
203.02,-0.00079786207,0.9728972967714071,119,729.8990435600281,0.7624587,243712,331,243712,2.8244472,51.77,0.004082742,0.046875
207.03,-0.0006470365,0.9681631922721863,120,736.0777597427368,0.7492318,245760,327,245760,6.6571035,55.83,0.00654746,0.08134766
207.74,0.00022396116,0.9721738435328007,121,742.3295350074768,0.7411037,247808,331,247808,1.9984258,56.38,0.0041226605,0.047314454
207.3,-0.00049540296,0.9656855873763561,122,748.511890411377,0.73841625,249856,327,249856,3.150795,55.72,0.002856458,0.031347655
208.07,-0.0005751987,0.9847584133967757,123,754.7585735321045,0.73098624,251904,334,251904,1.8420624,56.6,0.0029963644,0.029833984
205.99,-0.0013040359,0.9701710604131222,124,760.8967516422272,0.7264623,253952,342,253952,1.9615599,54.14,0.0038337973,0.04140625
206.99,-0.0004302972,0.9755729157477617,125,766.8786633014679,0.72348076,256000,328,256000,6.168143,56.7,0.0039597587,0.044677734
207.23,7.382332e-05,0.9586735107004642,126,773.1090250015259,0.71923244,258048,331,258048,2.6943958,57.87,0.0020169015,0.017138671
210.14,-0.0022141638,0.9788615014404058,127,779.2939794063568,0.71760434,260096,330,260096,4.2576113,60.36,0.0045374683,0.051611327
209.08,-0.0013070635,0.9804729018360376,128,785.5008614063263,0.7102372,262144,335,262144,2.9454265,59.41,0.003623328,0.038378906
210.29,-0.00017641562,0.9724614452570677,129,791.6152551174164,0.70715916,264192,330,264192,3.8270144,60.79,0.0028470007,0.025683593
211.98,-0.0009196784,0.9802784081548452,130,797.8059184551239,0.7087332,266240,330,266240,2.347051,61.22,0.003966092,0.047802735
211.39,0.00022956179,0.9752507749944925,131,803.9984908103943,0.7016896,268288,328,268288,5.71351,60.16,0.0026792397,0.025
214.96,-0.0001285295,0.9691580794751644,132,810.2287786006927,0.6987229,270336,319,270336,3.9351623,61.73,0.0045196023,0.05332031
218.97,-0.0003640558,0.9755290318280458,133,816.6443829536438,0.6985605,272384,336,272384,4.056622,64.7,0.0029557142,0.032958984
217.12,-0.00055217947,0.9772156029939651,134,822.7327284812927,0.7032599,274432,325,274432,2.759601,62.19,0.004205007,0.048095703
222.92,0.00010447726,0.9772196114063263,135,829.0189855098724,0.704214,276480,320,276480,3.8292224,65.73,0.002149015,0.019140625
220.24,-0.0008392817,0.977169256657362,136,835.4138762950897,0.69449055,278528,325,278528,2.7893605,62.46,0.003671039,0.040527344
221.49,-0.001217496,0.9755745008587837,137,841.7134213447571,0.685897,280576,327,280576,4.2080226,64.58,0.005099793,0.06040039
217.64,-0.0007126037,0.9763561990112066,138,847.9744620323181,0.67289984,282624,331,282624,3.1004534,60.45,0.004505936,0.047949217
219.89,-0.0024795227,0.9873781651258469,139,854.1550350189209,0.66120994,284672,331,284672,1.3353579,62.07,0.005259925,0.06386719
219.86,-0.0015324407,0.9791466873139143,140,860.3259155750275,0.65238553,286720,323,286720,5.670556,62.06,0.004700791,0.051611327
221.91,-0.0017677543,0.9827300477772951,141,866.6630873680115,0.6372155,288768,330,288768,4.3054624,65.08,0.0031959843,0.030566406
222.99,-0.002189468,0.9791624788194895,142,872.8639693260193,0.6227602,290816,328,290816,3.5488255,64.74,0.004020451,0.047509767
223.53,-0.0006082329,0.9882362326607108,143,879.1024928092957,0.6117162,292864,328,292864,2.2284226,66.26,0.0053028204,0.05493164
221.93,-0.0022238758,0.9886272763833404,144,885.332537651062,0.61082536,294912,332,294912,1.1478361,65.73,0.004478333,0.054052733
224.35,-0.004621863,0.9858954381197691,145,891.4953529834747,0.6078598,296960,327,296960,1.604312,67.29,0.006960326,0.08964844
