approxkl,time_elapsed,policy_loss,ep_len_mean,policy_entropy,total_timesteps,serial_timesteps,n_updates,fps,ep_reward_mean,explained_variance,clipfrac,value_loss
0.0048468644,3451.563095808029,-0.0027489553,1306.21,2.414645,987136,987136,482,274,863.0961088599998,0.7951561063528061,0.05644531,13.191607
0.0036038929,3459.0318019390106,-0.004453546,1317.55,2.4278586,989184,989184,483,284,870.9674098599997,0.880097433924675,0.040234376,5.839489
0.0041162074,3466.234987258911,-0.005016092,1315.72,2.4373307,991232,991232,484,289,868.1499276799998,0.877031959593296,0.048779298,4.9271426
0.005309099,3473.322670698166,-0.0018147634,1315.72,2.4370801,993280,993280,485,287,866.6268242699999,0.6748875081539154,0.06274414,11.47047
0.0041341903,3480.436847925186,-0.0022100755,1330.77,2.4311705,995328,995328,486,296,877.53616995,0.7691726833581924,0.047265626,11.651906
0.005350386,3487.3550550937653,-0.0011512168,1345.0,2.42704,997376,997376,487,277,887.21244108,0.6908454596996307,0.06318359,11.973167
0.0043129725,3494.7341635227203,-0.0018492136,1361.69,2.4124327,999424,999424,488,288,899.8463990100001,0.7731041759252548,0.049121093,9.151505
0.003649617,3501.8239068984985,-0.0069674305,1358.19,2.4082842,1001472,1001472,489,292,897.5031788500002,0.8290161937475204,0.04121094,11.878267
0.0049042297,3508.8208055496216,-0.0016507313,1351.4,2.424975,1003520,1003520,490,283,892.9359474800002,0.7939054518938065,0.052685548,15.557028
0.0052030263,3516.0485067367554,-0.0018010739,1351.4,2.4360485,1005568,1005568,491,288,892.8755181,0.5852324962615967,0.06064453,12.008577
0.004429793,3523.16127038002,-0.0023328187,1351.4,2.4390547,1007616,1007616,492,292,892.1537241400001,0.7865750640630722,0.049365234,9.43804
0.0043667806,3530.158011198044,-0.0034180097,1369.2,2.4479651,1009664,1009664,493,276,905.2246510700002,0.7356034219264984,0.051660158,10.692779
0.003949737,3537.5637969970703,-0.0020580166,1385.81,2.4463756,1011712,1011712,494,274,917.35351773,0.710673600435257,0.043652344,11.220235
0.004484116,3545.0351524353027,-0.005544477,1394.6,2.4613557,1013760,1013760,495,296,923.9057694900001,0.8944351077079773,0.05546875,8.625479
0.0053233877,3551.946219444275,-0.003996822,1383.35,2.481405,1015808,1015808,496,289,915.32816511,0.7631564438343048,0.06411133,22.099598
0.0052056266,3559.0276856422424,-0.005641475,1383.35,2.4957526,1017856,1017856,497,283,915.38319116,0.7913656234741211,0.061523438,8.981226
0.0070827864,3566.25652050972,-0.008526454,1383.35,2.4931927,1019904,1019904,498,280,914.8363599099998,0.7699957340955734,0.08598633,9.439901
0.006833151,3573.5551974773407,-0.003629983,1383.35,2.4874191,1021952,1021952,499,296,914.986593,0.7481669783592224,0.08623047,10.463434
0.004468967,3580.464721441269,-0.004300322,1388.93,2.496654,1024000,1024000,500,288,919.45293247,0.7654483616352081,0.053759765,10.510616
0.00545957,3587.561909675598,-0.0052904086,1384.31,2.5138657,1026048,1026048,501,280,916.1369902499999,0.8116779923439026,0.06435547,14.733106
0.0028502322,3594.859053373337,-0.0032347639,1380.9,2.5248709,1028096,1028096,502,289,913.7587144199999,0.7671031057834625,0.030273438,15.318079
0.004832937,3601.9305567741394,-0.000587368,1360.02,2.5438259,1030144,1030144,503,292,898.50997722,0.7195698916912079,0.05644531,26.337109
0.0058544776,3608.9225583076477,-0.0041027316,1360.02,2.5524504,1032192,1032192,504,292,898.63808604,0.645340621471405,0.07626953,14.610605
0.0031738789,3615.92050242424,-0.003528765,1355.66,2.5549715,1034240,1034240,505,288,895.1360599,0.9012806192040443,0.032568358,5.6525245
0.0044175806,3623.024051427841,-0.005396298,1332.59,2.5674784,1036288,1036288,506,288,880.6013006899998,0.7987188249826431,0.046533205,16.813686
0.004712625,3630.1185178756714,-0.003964115,1314.02,2.5786085,1038336,1038336,507,279,867.17883019,0.8055807650089264,0.050830077,13.799393
0.006694837,3637.4420816898346,-0.0049666865,1314.02,2.5851583,1040384,1040384,508,284,867.1448077199999,0.6673470437526703,0.07578125,13.04114
0.003467577,3644.6527881622314,-0.0023182312,1299.0,2.5932362,1042432,1042432,509,284,855.8137912299999,0.7793254554271698,0.03930664,13.479979
0.0024519842,3651.855729818344,-0.0023081654,1290.29,2.5980585,1044480,1044480,510,274,849.24688582,0.8840420097112656,0.024316406,6.145281
0.003591371,3659.322274684906,-0.003401523,1287.24,2.59669,1046528,1046528,511,272,847.0120614599998,0.9034841805696487,0.04091797,5.3303204
0.0032290532,3666.8434126377106,-0.0021491654,1287.24,2.6054826,1048576,1048576,512,275,846.44767217,0.8872037306427956,0.034960937,5.3557615
0.0053024534,3674.2698760032654,-0.0053725466,1283.03,2.612355,1050624,1050624,513,282,843.12718327,0.8042931854724884,0.059667967,13.694441
0.0036672954,3681.5230684280396,-0.0038851309,1283.03,2.6089828,1052672,1052672,514,265,843.971854,0.71907639503479,0.042773437,14.784714
0.0055654347,3689.229626893997,-0.0029027443,1298.58,2.6112232,1054720,1054720,515,271,855.52443193,0.7575466185808182,0.07241211,11.231148
0.006016425,3696.8164472579956,-0.00431125,1298.58,2.6184337,1056768,1056768,516,275,856.24075473,0.7709611505270004,0.07543945,9.6048155
0.0063103414,3704.2403795719147,0.0007066239,1298.58,2.634066,1058816,1058816,517,280,854.54341838,0.6995667517185211,0.068359375,12.524091
0.002771706,3711.5360157489777,-0.001927121,1318.7,2.6340146,1060864,1060864,518,273,870.3840716300001,0.890345886349678,0.026855469,8.642394
0.0065099252,3719.0202202796936,-0.0057040052,1334.7,2.6327577,1062912,1062912,519,283,882.00781956,0.833900585770607,0.076660156,12.946478
0.0040551284,3726.252322435379,-0.0042542773,1302.16,2.6365898,1064960,1064960,520,277,857.9465516000002,0.8522852957248688,0.04711914,16.121265
0.0053029736,3733.640475511551,-0.0054080067,1265.05,2.651307,1067008,1067008,521,284,832.70569429,0.8859246596693993,0.06567383,21.029675
0.0022755847,3740.8487281799316,-0.001615222,1224.02,2.680112,1069056,1069056,522,288,802.3395934499999,0.8980796486139297,0.024951171,11.392562
0.004413615,3747.9545845985413,-0.00852661,1176.78,2.6974597,1071104,1071104,523,263,770.5194323100001,0.8803252130746841,0.051757812,11.151658
0.004636175,3755.7237718105316,-0.004725773,1179.75,2.709339,1073152,1073152,524,286,770.8427082800001,0.7959485054016113,0.04951172,15.061773
0.0058761984,3762.869869709015,-0.0042183325,1193.47,2.7038808,1075200,1075200,525,281,780.3363297600001,0.6891822516918182,0.06757812,10.790278
0.0042200233,3770.15496969223,-0.0015388627,1204.47,2.7026424,1077248,1077248,526,274,787.0192804600001,0.716725617647171,0.0440918,11.766651
0.0032931648,3777.6177818775177,-0.00032975647,1188.5,2.7006414,1079296,1079296,527,276,774.52176795,0.7440552711486816,0.035107423,13.824667
0.00521494,3785.0337886810303,0.00091750745,1188.5,2.6913009,1081344,1081344,528,279,772.5148641999999,0.5903832018375397,0.064453125,10.686843
0.0036206595,3792.352525949478,-0.0019022148,1155.1,2.6810727,1083392,1083392,529,284,747.1094334699999,0.9022131413221359,0.039208986,10.3778105
0.0023147415,3799.5654187202454,-0.0026198328,1164.56,2.682615,1085440,1085440,530,290,754.6348685600001,0.846586599946022,0.026611328,13.59286
0.0049449857,3806.621926307678,-0.0022978452,1180.93,2.6768515,1087488,1087488,531,291,765.64965233,0.9310829564929008,0.05629883,3.0824008
0.0034554738,3813.64288187027,-0.0033606556,1193.96,2.670528,1089536,1089536,532,287,775.7902251999999,0.9560999497771263,0.03793945,2.5382054
0.0047000335,3820.758313894272,-0.0050565726,1210.28,2.6653361,1091584,1091584,533,277,788.6271875,0.921783022582531,0.05654297,5.105884
0.0038450484,3828.142746925354,-0.0035018947,1223.08,2.6709423,1093632,1093632,534,280,798.76648509,0.9228862226009369,0.042626955,7.7831244
0.0034197713,3835.448688030243,-0.0029096317,1241.79,2.6854167,1095680,1095680,535,281,813.85122808,0.7642394751310349,0.0390625,19.754322
0.012205733,3842.7304182052612,-0.005809538,1257.52,2.706291,1097728,1097728,536,277,823.9481065199999,0.5773284137248993,0.13305664,12.209293
0.0045734337,3850.1246259212494,-0.0036045578,1274.26,2.7143223,1099776,1099776,537,288,835.49535044,0.6374891996383667,0.04921875,13.595718
0.0049919225,3857.2347676754,-0.004797217,1268.44,2.7085693,1101824,1101824,538,287,831.57858927,0.9210598543286324,0.058642577,5.4571915
