serial_timesteps,ep_reward_mean,ep_len_mean,policy_loss,approxkl,value_loss,policy_entropy,total_timesteps,clipfrac,n_updates,fps,time_elapsed,explained_variance
133120,455.31221901000004,483.33,-0.0020672178,0.002155256,22.780472,2.0445817,133120,0.019873047,65,306,421.48187923431396,0.8661212921142578
135168,462.76691383,490.88,-0.005178835,0.004094689,23.28805,2.0470254,135168,0.049902342,66,303,428.17640924453735,0.7766493111848831
137216,470.39250415999993,499.54,-0.0045729554,0.0025494655,26.155064,2.0648491,137216,0.027490234,67,306,434.91790103912354,0.6795389950275421
139264,471.67186899,500.96,-8.9132016e-05,0.0014121652,27.428274,2.0862417,139264,0.010791016,68,306,441.6105971336365,0.6385878026485443
141312,476.01810486999995,505.64,-0.0075096553,0.0036226802,28.744503,2.0952675,141312,0.040478516,69,305,448.2964835166931,0.5478774905204773
143360,478.99344834000004,509.04,-0.002084723,0.002336552,25.95469,2.100148,143360,0.02211914,70,308,455.01146721839905,0.39548587799072266
145408,495.9102513500001,527.77,-0.0041113333,0.003526702,23.21984,2.1026185,145408,0.040625,71,308,461.6464321613312,0.6399546563625336
147456,502.74437505000003,535.08,-0.0029137705,0.0012587381,29.296417,2.1113887,147456,0.009375,72,305,468.28651881217957,0.37514859437942505
149504,512.52532336,545.63,-0.0027248422,0.0021737749,27.271206,2.120591,149504,0.01953125,73,305,474.99457693099976,0.42297202348709106
151552,519.7827577400001,553.17,-0.0005318277,0.003109988,29.035522,2.12005,151552,0.03149414,74,304,481.7061846256256,0.41520392894744873
153600,529.89087464,564.15,0.0002123429,0.0014420295,25.878347,2.1144013,153600,0.011230469,75,304,488.4342062473297,0.48323649168014526
155648,539.01269856,573.96,-0.0021448133,0.0037540689,19.570524,2.094905,155648,0.038427733,76,302,495.1577184200287,0.586404025554657
157696,551.53633495,587.97,-0.0038142395,0.002740663,22.110895,2.0897026,157696,0.02993164,77,301,501.9249544143677,0.6708663702011108
159744,559.2226592400001,596.41,-0.00073417125,0.0020600965,21.58926,2.1137555,159744,0.020263672,78,299,508.7222912311554,0.5634179413318634
161792,567.8846865700001,605.91,-0.0033444457,0.003342282,23.02474,2.1160436,161792,0.037597656,79,302,515.569657087326,0.5742545127868652
163840,573.4530364100001,611.74,0.0006069025,0.0024576169,18.27036,2.107227,163840,0.025439452,80,301,522.338029384613,0.5419121384620667
165888,589.12057527,628.34,-0.0044903983,0.004134976,21.307144,2.1228325,165888,0.049804688,81,300,529.1295273303986,0.6846674680709839
167936,593.3914947000001,632.98,-0.0017105641,0.002620134,17.014194,2.1402185,167936,0.026757812,82,300,535.9552586078644,0.7307022511959076
169984,603.63249387,644.36,-0.0023206943,0.0018838325,20.577023,2.1527412,169984,0.017333984,83,309,542.7639112472534,0.6260206699371338
172032,606.82383653,647.69,-0.00015875898,0.001982164,19.685452,2.16002,172032,0.01850586,84,296,549.3746047019958,0.7252596020698547
174080,618.04267171,660.08,-0.002171378,0.0023007547,20.13138,2.1651473,174080,0.02084961,85,296,556.2736179828644,0.6815411448478699
176128,617.3543889900001,660.26,1.2412248e-05,0.0020328965,14.296289,2.1667197,176128,0.017480468,86,298,563.190328836441,0.8117777854204178
178176,626.7365983399999,670.4,-0.0044437693,0.004927946,17.712568,2.1663506,178176,0.05546875,87,299,570.0575821399689,0.7192466855049133
180224,636.2663074,680.48,-0.0031054781,0.0025979814,16.732435,2.1760464,180224,0.021875,88,303,576.8936252593994,0.7109578549861908
182272,642.1805903599999,686.73,-0.0014819821,0.0026909225,14.956429,2.1824577,182272,0.02626953,89,301,583.6370375156403,0.7523135393857956
184320,651.7982918499999,696.49,-0.00047390204,0.001374509,17.905682,2.1864905,184320,0.00834961,90,300,590.4279465675354,0.6486145257949829
186368,661.53656527,707.35,-0.0049586603,0.003961009,13.04674,2.1923265,186368,0.047021486,91,299,597.252500295639,0.8380484730005264
188416,673.3953511300001,720.07,0.00020115174,0.0023938604,17.694387,2.2071712,188416,0.024169922,92,302,604.0822348594666,0.6197555661201477
190464,680.5564060400002,727.57,-0.0024185707,0.0040969388,11.885973,2.213682,190464,0.052685548,93,304,610.8597538471222,0.7346377372741699
192512,692.5456307300001,740.34,0.0005268045,0.0017365345,19.165386,2.218501,192512,0.014404297,94,300,617.5860521793365,0.5662056505680084
194560,706.63548215,755.09,-0.0010017315,0.002249552,15.381853,2.2208698,194560,0.02080078,95,301,624.4009380340576,0.7597315907478333
196608,711.41767083,759.94,-0.0029071574,0.0045246016,8.625221,2.238759,196608,0.057617188,96,297,631.1858727931976,0.8958184942603111
198656,722.8588096,772.36,-0.0011615793,0.0028087199,11.118573,2.25099,198656,0.030419922,97,298,638.0767061710358,0.8390146940946579
200704,734.84212613,785.46,0.00033492915,0.0016880153,14.325676,2.252572,200704,0.0109375,98,296,644.9330625534058,0.05499035120010376
202752,749.5474157799998,800.87,-0.0020984598,0.0039899712,17.065624,2.2560298,202752,0.045654297,99,295,651.8505163192749,0.00012671947479248047
204800,757.19122294,808.98,-0.003121112,0.0052308785,14.205797,2.2592387,204800,0.06572266,100,295,658.7778749465942,0.7246749103069305
206848,771.51623476,824.08,-0.0061266385,0.0033716564,13.568556,2.256021,206848,0.034277342,101,295,665.7061686515808,0.553047239780426
208896,778.5450011299998,831.69,-0.00066652684,0.002637112,11.116363,2.2405167,208896,0.025585938,102,297,672.6468601226807,0.6212761402130127
210944,794.4001420200001,848.3,-0.0017865576,0.0032509032,14.750316,2.2455235,210944,0.036083985,103,302,679.53577876091,0.20662641525268555
212992,809.8275642700002,864.33,-0.0023700034,0.0026076597,14.920843,2.2543218,212992,0.023535157,104,302,686.310617685318,0.0011226534843444824
215040,823.9874448700002,879.47,-0.0010938518,0.0028094521,14.903236,2.2489252,215040,0.029150391,105,298,693.083512544632,0.014228284358978271
217088,833.3729802400001,889.82,-0.003395001,0.0030532721,7.3023252,2.2632606,217088,0.03564453,106,299,699.9526064395905,0.8672043234109879
219136,846.06268605,903.17,0.0007444951,0.0019381127,15.755542,2.2770846,219136,0.017138671,107,293,706.7994074821472,-0.0005629062652587891
221184,858.5949872300001,916.29,-0.003061859,0.0039906185,15.337011,2.2730494,221184,0.046240233,108,298,713.769880771637,0.0006079673767089844
223232,870.5581218400002,928.95,-0.0006920706,0.0018123176,15.597092,2.2874315,223232,0.014990235,109,296,720.638884305954,-0.0036411285400390625
225280,884.1628640600002,943.38,-0.0020441886,0.0029941932,15.674153,2.314029,225280,0.032421876,110,299,727.5491235256195,0.00026285648345947266
227328,896.17231916,956.16,-0.0014276194,0.0020425825,15.506538,2.3337479,227328,0.018164063,111,294,734.394767999649,0.00038379430770874023
229376,911.2245775299999,971.89,-0.000641995,0.0019774311,15.328363,2.3395886,229376,0.01796875,112,300,741.3407182693481,0.0009516477584838867
231424,924.4331498199999,986.04,-0.002276379,0.0032099795,15.858397,2.3606508,231424,0.034277342,113,301,748.1595785617828,0.00524669885635376
233472,945.01100142,1007.39,-0.002944521,0.0034885823,26.922903,2.3792682,233472,0.038671874,114,302,754.9594597816467,0.0064165592193603516
235520,953.7240454299998,1016.46,-0.002459343,0.002773554,23.50321,2.3797874,235520,0.027050782,115,305,761.7393374443054,0.23144882917404175
237568,959.3858119299998,1022.74,-0.0026713968,0.001973613,11.250793,2.4039292,237568,0.017431641,116,303,768.4465172290802,0.39272546768188477
239616,968.4194757199999,1032.17,-0.0011381216,0.002547621,27.65598,2.4175138,239616,0.024267578,117,307,775.1918368339539,0.47368210554122925
241664,971.9384893699998,1035.75,-0.001019378,0.001447902,16.073122,2.4192557,241664,0.013134765,118,304,781.8472957611084,0.6222586929798126
243712,981.7825712799998,1046.45,-0.0074856514,0.002951199,13.660535,2.4361022,243712,0.030664062,119,303,788.5655086040497,0.7194741666316986
245760,987.0777768199997,1052.07,-0.0040222188,0.0030253395,12.278025,2.4499087,245760,0.033154298,120,307,795.3229806423187,0.7729451358318329
247808,998.6896170199999,1064.31,-0.0045702634,0.0036405239,14.2415905,2.4627314,247808,0.040527344,121,295,801.9870419502258,0.7712562084197998
249856,1008.7594756099998,1074.74,-0.00090421736,0.0012229655,9.985962,2.4717426,249856,0.009765625,122,305,808.9136598110199,0.5494739711284637
251904,1022.3809454499999,1088.8,-0.0005872161,0.002461518,15.244176,2.4810526,251904,0.023095703,123,299,815.6270711421967,3.3020973205566406e-05
253952,1016.1208111399997,1081.92,-0.0035644039,0.0025840919,9.366532,2.4812286,253952,0.026708985,124,304,822.4590973854065,0.6161577999591827
256000,1031.3352897899997,1097.54,-0.000755119,0.0015147503,15.44034,2.4830995,256000,0.012011719,125,297,829.190938949585,0.0032367706298828125
258048,1045.0402425799998,1111.76,-0.0012927136,0.0031893286,15.413031,2.485701,258048,0.034082033,126,299,836.086968421936,0.03689754009246826
260096,1059.12441533,1126.34,-0.0025628575,0.0016546367,22.517618,2.4861698,260096,0.01430664,127,297,842.9308264255524,0.7561553716659546
262144,1072.6631163799998,1140.64,-0.00049534923,0.00036813325,9.166535,2.4786336,262144,0.0004394531,128,297,849.8152072429657,0.9100623205304146
264192,1082.46459865,1151.26,-0.0020115557,0.0019736527,4.0815787,2.4758353,264192,0.017089844,129,298,856.6993317604065,0.9785941950976849
266240,1097.6317169400002,1167.14,-0.00032223086,0.00074825494,8.660342,2.469264,266240,0.0024414062,130,296,863.5730028152466,0.7610669136047363
268288,1111.9712324299999,1182.08,-0.00082048745,0.0008426023,7.88397,2.4720554,268288,0.0051757814,131,295,870.4809195995331,0.9454419761896133
270336,1123.5792845199999,1195.64,-0.0010591494,0.0013540668,10.61246,2.4670067,270336,0.010205078,132,295,877.414178609848,0.9735000301152468
272384,1128.89286958,1201.42,-0.0014371984,0.0019459806,6.885006,2.456756,272384,0.018554688,133,295,884.335099697113,0.9767014291137457
274432,1133.4144206600001,1206.03,-0.0016877118,0.0021038023,2.6210065,2.4434984,274432,0.018554688,134,296,891.2672498226166,0.9894127687439322
276480,1154.72168036,1228.37,-0.0017521795,0.003832496,20.405954,2.4431968,276480,0.043847658,135,297,898.1824686527252,0.8726247698068619
278528,1161.4854961099998,1235.54,-0.0015986897,0.0034398783,12.042532,2.449368,278528,0.0362793,136,304,905.0732996463776,0.4812548756599426
280576,1171.6064544499998,1245.94,-0.003255789,0.0047166464,6.0531273,2.4393215,280576,0.055517577,137,300,911.7976303100586,0.9360748305916786
282624,1186.1115691599998,1261.43,-0.0021667646,0.0013127561,7.196147,2.433914,282624,0.007373047,138,297,918.6198272705078,0.9140045270323753
284672,1194.32045337,1270.02,-0.0018353239,0.002418051,5.1043553,2.432803,284672,0.017871093,139,295,925.5048170089722,0.9190395176410675
286720,1200.31388986,1276.5,-0.0029376626,0.0043644113,4.2897673,2.4365532,286720,0.05332031,140,293,932.441831111908,0.9455272443592548
288768,1213.41931427,1289.69,-0.0018330194,0.0027414286,16.312115,2.4409208,288768,0.027197266,141,292,939.4326324462891,0.05104869604110718
290816,1225.2305964599998,1301.56,-0.0008297198,0.0022349895,17.17107,2.455975,290816,0.024609376,142,293,946.433069229126,-0.0001232624053955078
292864,1235.70263635,1312.16,-0.002014746,0.0037577495,16.42895,2.4667997,292864,0.041894533,143,296,953.4017210006714,0.06177389621734619
294912,1249.46312402,1326.56,-0.0036419965,0.003884511,15.777141,2.4774332,294912,0.04897461,144,297,960.3195757865906,0.18679940700531006
296960,1262.98668463,1340.5,-0.002051458,0.0038472123,16.995241,2.4870677,296960,0.042822264,145,298,967.2020809650421,0.05851966142654419
299008,1271.2868390099998,1350.01,-0.00634695,0.005560207,14.83465,2.4989102,299008,0.07006836,146,298,974.0596132278442,0.2868427634239197
301056,1278.30802054,1356.93,-0.00078738853,0.0024851332,17.763477,2.5330644,301056,0.025976563,147,292,980.9200196266174,-0.006940603256225586
303104,1288.53922472,1367.84,-0.0017110426,0.0024850548,17.369078,2.5493572,303104,0.019824218,148,294,987.9166059494019,0.02885568141937256
305152,1299.48952612,1379.19,-0.00031872687,0.0029429267,17.410894,2.5539615,305152,0.028564453,149,293,994.8785057067871,0.004301607608795166
307200,1309.36240864,1389.51,-0.0009176377,0.002616614,16.166828,2.5546224,307200,0.021484375,150,296,1001.8468821048737,0.1506606936454773
309248,1326.0997603600001,1406.94,-0.0030150623,0.002819497,17.741854,2.5522916,309248,0.027148437,151,296,1008.7491915225983,0.030282199382781982
311296,1329.4283438300001,1410.38,-0.0014138517,0.0020120728,17.846125,2.5532122,311296,0.014355469,152,293,1015.6589395999908,-0.03164935111999512
313344,1344.2845904600001,1426.09,-0.0024442975,0.0040459684,17.716389,2.5677445,313344,0.048876952,153,294,1022.626627445221,0.06184285879135132
