time_elapsed,explained_variance,clipfrac,total_timesteps,approxkl,policy_loss,n_updates,policy_entropy,fps,serial_timesteps,ep_reward_mean,value_loss,ep_len_mean
14706.300983667374,0.9744933005422354,0.15268555,3835904,0.02120668,-0.009192808,1873,0.5302018,264,3835904,135.44014969999998,2.7421708,292.39
14714.058291435242,0.9064386710524559,0.14482422,3837952,0.013821517,-0.00947304,1874,0.5336579,258,3837952,140.80054284000005,7.928239,302.37
14721.993670225143,0.964838445186615,0.15927735,3840000,0.017271236,-0.0104757855,1875,0.53643405,268,3840000,144.15868001,3.869131,308.1
14729.653796195984,0.9585253857076168,0.1421875,3842048,0.014801027,-0.0052086622,1876,0.54341114,265,3842048,139.79555489,6.157234,297.73
14737.37692117691,0.9351906552910805,0.13764648,3844096,0.014153823,-0.0055312705,1877,0.5457438,267,3844096,135.49644576,8.054485,288.98
14745.021389961243,0.8994170501828194,0.109033205,3846144,0.010336097,-0.005253667,1878,0.5565777,273,3846144,137.32294381999998,10.236626,291.8
14752.522317886353,0.966403566300869,0.19291992,3848192,0.021132644,-0.009336273,1879,0.5649745,271,3848192,140.43477796000002,3.2764122,295.21
14760.079183578491,0.9497741349041462,0.13408203,3850240,0.01359825,-0.0057577603,1880,0.57441175,272,3850240,143.55830228,4.819921,300.77
14767.584894895554,0.9572292789816856,0.16191407,3852288,0.020206219,-0.007543698,1881,0.58039445,275,3852288,146.38837456,4.2310953,305.4
14775.01418542862,0.8973508551716805,0.15395507,3854336,0.01787512,-0.004313782,1882,0.57254165,274,3854336,158.52296908,5.792929,325.18
14782.478923559189,0.9524266421794891,0.15854493,3856384,0.020948142,-0.011200751,1883,0.5722594,273,3856384,156.95707633,6.015546,319.89
14789.97994351387,0.8644759207963943,0.13378906,3858432,0.013825662,-0.0076284604,1884,0.5650156,269,3858432,162.16891394,8.624129,327.88
14797.59346461296,0.9725637547671795,0.12114258,3860480,0.013094572,-0.0044113607,1885,0.54896057,269,3860480,164.000527,3.1137998,330.67
14805.191618442535,0.9494226239621639,0.17548828,3862528,0.036436193,-0.008221889,1886,0.54255927,273,3862528,161.75402057,7.87677,326.42
14812.685066223145,0.9538074880838394,0.14711913,3864576,0.018124646,-0.004190271,1887,0.54018676,265,3864576,159.48672091,5.6283007,323.02
14820.393139839172,0.9821001067757607,0.14052734,3866624,0.01407443,-0.0051423176,1888,0.5459383,265,3866624,161.19159866,1.6960037,327.79
14828.112983465195,0.8497783541679382,0.153125,3868672,0.015542835,-0.006417626,1889,0.54318726,273,3868672,164.67575981,8.163443,333.97
14835.592909097672,0.9212374910712242,0.16552734,3870720,0.017739328,-0.0020122118,1890,0.52126014,271,3870720,176.79834071999997,6.8801856,351.9
14843.149652719498,0.9730342999100685,0.1571289,3872768,0.014993152,-0.009637007,1891,0.51279444,268,3872768,170.14275102,4.216134,340.7
14850.788750886917,0.9764336049556732,0.16621093,3874816,0.022499451,-0.009110932,1892,0.5221359,272,3874816,180.63512518,1.5687563,358.59
14858.306223154068,0.9018730744719505,0.20664063,3876864,0.023343772,0.0056290175,1893,0.52410996,272,3876864,180.63512518,1.6473284,358.59
14865.818448781967,0.9195227473974228,0.17583008,3878912,0.018705608,0.002801817,1894,0.5207276,263,3878912,180.63512518,0.99798125,358.59
14873.580448150635,0.9503400735557079,0.16274413,3880960,0.016909491,0.0046540755,1895,0.52470964,267,3880960,180.63512518,0.75240403,358.59
14881.247219085693,0.9651465304195881,0.15961914,3883008,0.015734755,0.0024164626,1896,0.5220695,264,3883008,180.63512518,0.59546435,358.59
14888.983108997345,0.9667242206633091,0.18486328,3885056,0.018972132,0.0004248654,1897,0.52456146,265,3885056,180.63512518,0.52103466,358.59
14896.686973333359,0.9766142442822456,0.15507813,3887104,0.014589762,0.00065939885,1898,0.5247353,272,3887104,180.63512518,0.46072048,358.59
14904.215612649918,0.9723257012665272,0.15698242,3889152,0.017866794,0.0023419918,1899,0.521186,264,3889152,180.63512518,0.35728192,358.59
14911.954950809479,0.9829977117478848,0.14960937,3891200,0.014344908,0.0019522,1900,0.51937395,268,3891200,180.63512518,0.3000199,358.59
14919.602227210999,0.9848986081779003,0.14609376,3893248,0.012766687,0.001564463,1901,0.5185822,270,3893248,180.63512518,0.25516886,358.59
14927.179892778397,0.9895167574286461,0.1552246,3895296,0.014432806,0.00078941183,1902,0.5181161,274,3895296,180.63512518,0.2640319,358.59
14934.645571947098,0.9923646575771272,0.16298828,3897344,0.015899863,0.00087901345,1903,0.52108717,271,3897344,180.63512518,0.18464649,358.59
14942.18055677414,0.9930518632754683,0.14926758,3899392,0.016008021,0.0014902925,1904,0.51758707,273,3899392,180.63512518,0.13253176,358.59
14949.67358136177,0.9953247350640595,0.15107422,3901440,0.013875455,0.00091480993,1905,0.5141779,279,3901440,180.63512518,0.14413093,358.59
14957.002183675766,0.9928940082900226,0.15795898,3903488,0.014942169,-0.0012123409,1906,0.51874554,281,3903488,180.63512518,0.1763508,358.59
14964.287944078445,0.9950658543966711,0.15019532,3905536,0.013338625,-0.00025026174,1907,0.51800686,284,3905536,180.63512518,0.16982263,358.59
14971.486708641052,0.9969510447699577,0.14262696,3907584,0.014081961,-0.00019143338,1908,0.5143148,281,3907584,180.63512518,0.08169354,358.59
14978.775919437408,0.9943299167789519,0.13994141,3909632,0.013542329,0.0013520437,1909,0.515959,280,3909632,180.63512518,0.14360851,358.59
14986.067229270935,0.9966788741294295,0.1796875,3911680,0.01697049,-0.008078335,1910,0.510826,280,3911680,180.63512518,0.09014204,358.59
14993.375245571136,0.9956989390775561,0.17524414,3913728,0.018819043,-0.0032578446,1911,0.5028895,283,3913728,180.63512518,0.12449912,358.59
15000.61256146431,0.987989054992795,0.17553711,3915776,0.015963987,-0.00052094035,1912,0.505749,283,3915776,180.63512518,0.201924,358.59
