ep_reward_mean,time_elapsed,explained_variance,serial_timesteps,ep_len_mean,n_updates,fps,policy_loss,value_loss,clipfrac,policy_entropy,approxkl,total_timesteps
66.09,886.6081397533417,0.9953104215674102,337920,215.56,165,414,-0.0011414739,0.44507414,0.074560545,0.72826177,0.005717838,337920
65.89,891.5461266040802,0.9959068899042904,339968,216.83,166,377,-0.00052937,0.43024358,0.07128906,0.72147137,0.0059283623,339968
64.7,896.9766635894775,0.9930071788839996,342016,217.23,167,373,-0.0019823662,1.4478089,0.09067383,0.7137968,0.0072926087,342016
67.68,902.4628615379333,0.9934812295250595,344064,221.47,168,357,0.0010191025,2.1746953,0.035498045,0.70809853,0.0034346464,344064
66.61,908.1903975009918,0.9958656444214284,346112,221.86,169,388,8.150858e-05,0.5228451,0.066748045,0.7096391,0.0055532027,346112
62.68,913.460880279541,0.9897745018824935,348160,217.97,170,421,-0.0044572493,0.6618794,0.07861328,0.7173177,0.00645966,348160
60.67,918.3165798187256,0.9958740202710032,350208,217.35,171,354,-0.0008911743,0.3534025,0.061279297,0.71894336,0.0052743475,350208
60.93,924.090413570404,0.9972750956658274,352256,214.9,172,394,-0.0023705573,0.34920067,0.06538086,0.7121055,0.0056551085,352256
64.27,929.2771902084351,0.9939127177931368,354304,216.2,173,375,6.892832e-06,1.9374135,0.049853515,0.7024401,0.0045238445,354304
66.55,934.7354850769043,0.9931629402562976,356352,216.36,174,412,0.00013649391,1.3660403,0.038330078,0.7016303,0.0038410458,356352
65.31,939.6983218193054,0.9946636967360973,358400,212.06,175,402,-0.00047949344,0.8902105,0.07739258,0.69789445,0.006585541,358400
67.31,944.795024394989,0.994675025343895,360448,211.23,176,392,-0.0005019256,1.0083437,0.03984375,0.68404156,0.0040107453,360448
65.06,950.0194180011749,0.9969305654522032,362496,209.28,177,409,0.00042352668,0.28867155,0.055371094,0.6847855,0.0047390787,362496
61.96,955.0279438495636,0.9952704799361527,364544,205.98,178,423,-0.00029501988,0.9585186,0.06870117,0.6804449,0.006103209,364544
61.81,959.866245508194,0.9953984627500176,366592,205.25,179,413,6.0225197e-05,0.6168098,0.08115234,0.67029274,0.00652799,366592
63.31,964.8197576999664,0.9970398345030844,368640,206.98,180,367,0.00081760343,0.39965364,0.04711914,0.6688386,0.0040388084,368640
67.37,970.3929336071014,0.9943400700576603,370688,211.28,181,390,-0.0007557036,1.7955368,0.060498048,0.66038305,0.0051127253,370688
70.18,975.6362099647522,0.9972683617379516,372736,216.48,182,366,-0.0003535423,0.414536,0.04838867,0.65653807,0.0041163536,372736
65.45,981.2256906032562,0.9943982264958322,374784,214.0,183,412,-0.0015584623,0.36352986,0.083740234,0.65760416,0.006769755,374784
62.71,986.1920490264893,0.9960601343773305,376832,213.3,184,401,0.0010371119,0.4139653,0.10048828,0.65754205,0.0077288346,376832
63.79,991.2973256111145,0.9943768274970353,378880,217.12,185,363,0.0005192707,0.5891921,0.07470703,0.6557871,0.0059974813,378880
63.03,996.9400153160095,0.9960701428353786,380928,218.52,186,375,-0.0014588598,0.75965303,0.07514648,0.6523422,0.0060770856,380928
61.0,1002.400577545166,0.9978503817692399,382976,217.56,187,409,7.122935e-05,0.23512313,0.0703125,0.6413425,0.005799698,382976
63.78,1007.4063105583191,0.995430015027523,385024,220.63,188,410,-0.003068915,1.2640406,0.06337891,0.64220965,0.005296186,385024
68.19,1012.3939995765686,0.9952137670479715,387072,224.94,189,381,-0.0023081289,1.4444939,0.08325195,0.6412777,0.007910923,387072
69.18,1017.7678310871124,0.9971014820039272,389120,225.32,190,361,-0.001640484,0.43445045,0.074560545,0.627489,0.006064335,389120
67.98,1023.4311110973358,0.9939389722421765,391168,226.59,191,413,0.0015018076,0.55752504,0.057861328,0.61564344,0.0051105176,391168
62.27,1028.3876328468323,0.9961641065310687,393216,221.98,192,370,-0.0005339564,0.51483333,0.0746582,0.5971122,0.006331423,393216
61.47,1033.9098353385925,0.994128399528563,395264,223.04,193,388,-0.0004860976,0.9136176,0.06035156,0.5859318,0.0050504706,395264
65.63,1039.1867763996124,0.9980067694559693,397312,228.4,194,403,0.0003978444,0.48356944,0.043798827,0.5880532,0.0038767126,397312
65.27,1044.262862920761,0.9972385775763541,399360,229.44,195,406,8.58095e-05,0.27632952,0.08666992,0.57945055,0.007899255,399360
