fps,value_loss,explained_variance,total_timesteps,policy_loss,serial_timesteps,time_elapsed,n_updates,ep_len_mean,ep_reward_mean,approxkl,policy_entropy,clipfrac
252,32.630577,0.18405646085739136,151552,-0.0030750716,151552,537.6449580192566,74,480.84,460.21860453999994,0.0041000703,2.2810185,0.046826173
275,32.045486,0.37246251106262207,153600,-0.0020718332,153600,545.7530188560486,75,490.21,469.17534993000004,0.003133266,2.291156,0.030664062
261,30.225658,0.27830690145492554,155648,-0.0012431298,155648,553.1891679763794,76,498.96,477.6503778,0.0016032171,2.2916346,0.0147949215
267,27.73705,0.39169496297836304,157696,-0.006076393,157696,561.0206201076508,77,509.36,487.58134386000006,0.003678073,2.3158553,0.043896485
278,35.605995,0.4059663414955139,159744,-0.003204294,159744,568.6889259815216,78,518.37,496.17642858,0.0016747599,2.340259,0.01508789
258,26.485514,0.66423499584198,161792,-0.0039507044,161792,576.0460169315338,79,522.99,500.47780258,0.0020035903,2.3601027,0.017578125
271,34.011494,0.3396698236465454,163840,-0.00032637597,163840,583.9649770259857,80,530.42,507.67727833000004,0.0031025123,2.3682919,0.02993164
277,26.912409,0.5764981210231781,165888,-0.0052053947,165888,591.5202660560608,81,540.46,517.4111415199999,0.0027985717,2.3890102,0.030517578
273,27.556107,0.39492952823638916,167936,-0.0014525336,167936,598.8959760665894,82,548.57,525.2128068799999,0.0029114233,2.4168875,0.032666016
279,21.677921,0.6864144206047058,169984,-0.002189891,169984,606.3970928192139,83,555.52,531.98770564,0.0017757034,2.4257808,0.01796875
292,26.851934,0.5955402553081512,172032,-0.0022137305,172032,613.7158637046814,84,565.27,541.47378107,0.0019801788,2.4277387,0.0140625
280,22.433836,0.4312235713005066,174080,-0.00059485214,174080,620.7258660793304,85,579.74,555.5664038,0.0014732536,2.426056,0.011865234
280,15.450383,0.7572735399007797,176128,0.00010486772,176128,628.0364639759064,86,588.49,563.9001825099999,0.0016455911,2.4241412,0.009765625
281,23.557783,0.5736115574836731,178176,-0.000412639,178176,635.3377659320831,87,596.29,571.5240745400001,0.001572035,2.4268622,0.014013672
300,20.734095,0.6890988647937775,180224,-0.0018779319,180224,642.6210880279541,88,604.95,579.82028134,0.0029604859,2.4380896,0.02758789
295,17.074749,0.6838103532791138,182272,-0.003158128,182272,649.4433867931366,89,617.71,592.16013758,0.003355187,2.4311893,0.03100586
314,14.367483,0.8187543302774429,184320,-0.0012033017,184320,656.3820910453796,90,634.11,608.0655575599999,0.001510352,2.4233851,0.008447265
276,19.197899,0.03083491325378418,186368,-0.00023711848,186368,662.8893439769745,91,650.84,624.57270012,0.0029305513,2.418703,0.025585938
290,11.24301,0.9784520585089922,188416,-0.0006791099,188416,670.310173034668,92,662.47,635.7717074899999,0.0009310081,2.4151936,0.0060546873
294,12.642899,0.9747237134724855,190464,-0.0024724319,190464,677.3510978221893,93,674.57,647.4233634,0.003125246,2.4112852,0.032324217
288,9.975714,0.9962488007731736,192512,-0.0020815344,192512,684.3182427883148,94,690.41,662.72283145,0.004763961,2.407663,0.051660158
