fps,explained_variance,policy_loss,n_updates,ep_reward_mean,serial_timesteps,value_loss,policy_entropy,approxkl,total_timesteps,time_elapsed,clipfrac,ep_len_mean
327,0.8745242059230804,-0.0013305655,61,62.87,124928,5.6291437,1.082557,0.003928053,124928,342.20370602607727,0.042626955,219.58
322,0.8542369157075882,-0.0024734365,62,62.01,126976,11.370521,1.0803372,0.0034417782,126976,348.4523320198059,0.034423828,219.59
321,0.867841362953186,-0.003048904,63,61.53,129024,6.217573,1.0779015,0.0031634066,129024,354.8146548271179,0.035107423,218.06
323,0.8811618983745575,-0.0034676907,64,59.8,131072,5.7209845,1.0704615,0.004145603,131072,361.1924271583557,0.042529296,215.45
323,0.8864587023854256,-0.0018586259,65,57.72,133120,7.7686067,1.0617249,0.0038939044,133120,367.522745847702,0.039160155,214.12
321,0.8808104395866394,-0.0011045614,66,59.36,135168,10.116616,1.058455,0.0038265698,135168,373.8512668609619,0.039355468,216.13
322,0.8921297416090965,-0.0010233336,67,57.25,137216,5.2420387,1.0564668,0.00354478,137216,380.2222969532013,0.039453126,216.48
321,0.8939998596906662,-0.00074827333,68,54.38,139264,6.5059114,1.0573977,0.0047627976,139264,386.568457365036,0.05581055,215.63
324,0.8783021420240402,0.00018106941,69,57.38,141312,9.740419,1.0534223,0.002171306,141312,392.9350061416626,0.01640625,220.98
329,0.8856363967061043,-0.0044525354,70,59.75,143360,10.563964,1.0461239,0.0041731317,143360,399.25227069854736,0.047460936,223.62
326,0.9085425138473511,-0.000391683,71,54.61,145408,5.437314,1.038911,0.0041999416,145408,405.46681094169617,0.046777345,220.26
326,0.9201656505465508,-0.0014010888,72,55.59,147456,5.631137,1.0308588,0.004710111,147456,411.73789739608765,0.053710938,222.91
326,0.9027126356959343,-0.00046890095,73,52.92,149504,6.008498,1.0251589,0.0027022832,149504,418.0216567516327,0.02265625,218.42
326,0.920399472117424,-0.0017823061,74,54.99,151552,6.879162,1.0198944,0.0034533557,151552,424.2890405654907,0.03725586,221.26
325,0.9183847978711128,-0.0017864148,75,56.08,153600,7.163254,0.99587905,0.0039763637,153600,430.57099771499634,0.04033203,222.86
324,0.9104283377528191,-0.00016709765,76,56.58,155648,6.9211197,0.98741066,0.0022615728,155648,436.8773727416992,0.020019531,222.61
323,0.9277667328715324,-0.00088340126,77,56.98,157696,7.9010916,0.9947454,0.0038245418,157696,443.1885199546814,0.041748047,221.4
303,0.9171949848532677,-0.004242376,78,57.11,159744,9.701182,0.98668575,0.00411482,159744,449.519061088562,0.0453125,218.75
303,0.9461040496826172,-0.0021039937,79,58.26,161792,3.9932752,0.97832173,0.0036106803,161792,456.26595973968506,0.03378906,216.65
301,0.9230194315314293,-0.0023174926,80,55.67,163840,6.0028863,0.97578955,0.0040982803,163840,463.00683665275574,0.044628907,211.88
