explained_variance,serial_timesteps,approxkl,value_loss,ep_reward_mean,n_updates,fps,time_elapsed,policy_entropy,total_timesteps,clipfrac,policy_loss,ep_len_mean
0.9954218552447855,323584,0.0069860914,0.7809954,63.08,158,409,787.8082084655762,0.687477,323584,0.087402344,-0.0006829693,143.76
0.9932404546998441,325632,0.0042556194,1.8617569,65.26,159,409,792.8116457462311,0.6828798,325632,0.050048828,0.0015376648,146.15
0.9974248600192368,327680,0.0066275476,0.4499115,65.89,160,407,797.8152794837952,0.6875608,327680,0.082617186,-0.0008080406,147.03
0.9944779020734131,329728,0.0070146443,1.4758745,68.66,161,390,802.83948802948,0.6824426,329728,0.07675781,0.00048263773,150.05
0.9940456193871796,331776,0.005854361,1.5458257,69.39,162,408,808.0921258926392,0.6762374,331776,0.07290039,0.0020272227,150.89
0.9937400221824646,333824,0.0042087073,1.8984387,73.06,163,407,813.1080551147461,0.6737758,333824,0.049121093,0.0019854628,154.77
0.997294866014272,335872,0.005418935,0.62027824,76.39,164,410,818.1402704715729,0.67712533,335872,0.066308595,-0.000725397,157.46
0.9973188880831003,337920,0.004663312,0.45116115,73.86,165,412,823.134354352951,0.6791754,337920,0.055273436,0.0008202479,154.99
0.9965395799372345,339968,0.009529829,0.37149122,71.59,166,417,828.0993971824646,0.68156683,339968,0.12016602,-0.0018511508,152.29
0.9939654688350856,342016,0.0046812873,1.7621323,71.4,167,395,833.0020473003387,0.6924976,342016,0.053955078,0.0012338439,151.86
0.9986800650367513,344064,0.007622782,0.24323332,69.56,168,407,838.1804306507111,0.68334574,344064,0.095947266,0.00080609025,149.98
0.997097127372399,346112,0.004741539,0.68010914,69.59,169,407,843.2054336071014,0.67314965,346112,0.05654297,0.0019083753,149.92
0.9957668450661004,348160,0.00550595,1.1370358,69.06,170,411,848.2316401004791,0.6620404,348160,0.061035156,0.0008349091,149.09
0.9968204533215612,350208,0.0050989278,0.9687675,70.33,171,408,853.2145993709564,0.6468621,350208,0.0625,-9.6595366e-05,150.21
0.9967327965423465,352256,0.006446699,0.6208264,69.02,172,410,858.2321283817291,0.64287657,352256,0.08120117,0.0019915192,148.78
0.9962615766562521,354304,0.005049657,0.6397768,68.27,173,412,863.2275023460388,0.6385082,354304,0.06381836,0.0016085502,147.52
0.9979803359601647,356352,0.007024034,0.4091664,70.98,174,393,868.1974377632141,0.6244901,356352,0.079638675,-0.004954064,149.98
0.9963218146003783,358400,0.007208383,0.56775665,67.23,175,416,873.4005711078644,0.59955853,358400,0.08623047,0.0011947034,146.06
0.99742301995866,360448,0.005136046,0.51484233,66.8,176,413,878.3281800746918,0.5966301,360448,0.06328125,0.0015411637,146.01
0.9960651835426688,362496,0.0080477055,1.092222,67.97,177,414,883.2890913486481,0.6015405,362496,0.09995117,-0.0028622397,147.15
0.9964494276791811,364544,0.0078070164,0.9663951,64.3,178,415,888.234486579895,0.59307563,364544,0.088330075,0.0001990594,143.19
0.9991282881819643,366592,0.009700077,0.13794006,64.78,179,414,893.168105840683,0.5896885,366592,0.12592773,-0.0019639882,143.61
0.9988087349338457,368640,0.0063917846,0.20561247,67.1,180,417,898.1157763004303,0.5908916,368640,0.07626953,0.0019918766,145.68
0.9985392993548885,370688,0.007590039,0.24460106,67.16,181,414,903.0195229053497,0.58304894,370688,0.09418945,3.8371778e-05,146.29
0.9951386069878936,372736,0.007551037,0.76642025,66.3,182,416,907.9665622711182,0.5842403,372736,0.09262695,0.0018318056,146.27
0.9982430011732504,374784,0.00828415,0.21485607,65.01,183,399,912.8826851844788,0.58316785,374784,0.10678711,0.0019229029,143.75
0.997309852624312,376832,0.007938297,0.5588621,64.12,184,420,918.0099849700928,0.5750557,376832,0.10224609,-0.0015670003,142.85
0.9976184412371367,378880,0.008339575,0.47465092,62.73,185,409,922.8874475955963,0.5731672,378880,0.10942383,-0.0041506914,141.7
0.9983919067308307,380928,0.006806674,0.28968614,63.08,186,415,927.891047000885,0.57745904,380928,0.085351564,0.001670721,141.71
0.998255762620829,382976,0.007262173,0.43134847,64.56,187,410,932.8171072006226,0.5816707,382976,0.09375,0.00054695684,143.39
0.9962256038561463,385024,0.005710048,1.5683978,69.66,188,411,937.8110620975494,0.573752,385024,0.059912108,0.00061661145,147.52
0.9953984599560499,387072,0.006919329,1.7460737,70.46,189,414,942.7873091697693,0.5692862,387072,0.082177736,0.0008623555,147.68
0.9980845632962883,389120,0.0067598037,0.24687858,73.25,190,413,947.7316818237305,0.57315767,389120,0.08359375,0.0009859705,150.64
0.9986878281924874,391168,0.007420448,0.18864867,73.65,191,396,952.6858503818512,0.5749049,391168,0.090625,0.0006275433,150.96
0.9966440813150257,393216,0.0053248974,1.1224351,75.55,192,412,957.8586058616638,0.57242197,393216,0.06357422,0.0019672979,152.43
0.998147893929854,395264,0.010640269,0.31216854,74.71,193,408,962.8264155387878,0.5771665,395264,0.13320312,-0.0017178468,151.61
0.9977138843387365,397312,0.0107799675,0.34682706,74.16,194,411,967.8413920402527,0.5817464,397312,0.13569336,0.00246583,150.59
