total_timesteps,value_loss,clipfrac,fps,policy_entropy,serial_timesteps,approxkl,n_updates,explained_variance,ep_reward_mean,policy_loss,ep_len_mean,time_elapsed
145408,6.965776,0.024853516,323,1.0187976,145408,0.002487725,71,0.9178617149591446,58.72,0.0002756604,212.09,445.59131050109863
147456,6.485171,0.024609376,318,1.0200818,147456,0.0028507942,72,0.9237567484378815,59.78,-0.0027153997,212.79,451.9265797138214
149504,8.868633,0.023291016,314,1.0171134,149504,0.002430882,73,0.9121025949716568,63.6,-0.001706416,218.45,458.3630301952362
151552,9.175731,0.038867187,321,1.0120586,151552,0.0035796687,74,0.9125532954931259,62.52,-0.004203572,218.62,464.8734781742096
153600,7.4933176,0.040625,322,1.0076249,153600,0.003726057,75,0.9140470325946808,63.04,-0.0026283017,220.78,471.24905824661255
155648,9.766761,0.04584961,321,1.0022458,155648,0.0038727962,76,0.9131187126040459,59.7,-0.0014136985,218.15,477.61157989501953
157696,5.9799895,0.021289062,321,0.99890864,157696,0.0023824512,77,0.8702079057693481,60.39,-0.0016591589,220.18,483.992050409317
159744,3.1797092,0.013085937,324,0.9960786,159744,0.0019619213,78,0.9391046948730946,59.73,-0.00038526434,219.33,490.37309217453003
161792,15.277151,0.023730468,321,0.9916543,161792,0.0023758186,79,0.907002218067646,61.56,-0.0009545774,222.14,496.695996761322
163840,9.751736,0.02446289,318,0.9832634,163840,0.0028009708,80,0.9216954410076141,62.49,-0.00044495048,222.06,503.06332540512085
165888,8.2401,0.047607422,322,0.9770112,165888,0.0042697703,81,0.9367555603384972,64.42,-0.0014450599,223.77,509.49863600730896
167936,7.218541,0.03173828,321,0.973091,167936,0.003516142,82,0.9243575781583786,63.96,-0.0013890185,222.32,515.8575210571289
169984,7.973799,0.023291016,322,0.97112685,169984,0.002558307,83,0.9117435589432716,62.96,-0.0015908994,219.59,522.2347137928009
172032,5.5500793,0.040039062,318,0.969535,172032,0.0037829722,84,0.9334699735045433,60.93,-0.0012194824,217.84,528.57852435112
174080,4.0260096,0.056103516,322,0.9558487,174080,0.004905415,85,0.9502392001450062,60.09,-0.0028944262,215.04,535.0116362571716
176128,7.207143,0.033691406,319,0.95149887,176128,0.0029364068,86,0.9222433716058731,60.15,-0.0015777402,214.85,541.3649744987488
178176,2.4702811,0.046142578,322,0.9449436,178176,0.004202593,87,0.9538311138749123,58.06,-0.004621267,213.1,547.780112028122
180224,2.4844651,0.016552735,322,0.93498963,180224,0.001996732,88,0.9399787336587906,57.98,-8.081975e-05,214.28,554.1271061897278
182272,6.3421574,0.049609374,319,0.93169415,182272,0.004175933,89,0.9437573663890362,58.69,-0.000231633,215.67,560.4780011177063
184320,1.8851881,0.019335937,322,0.9270493,184320,0.0023047798,90,0.968614973127842,55.59,7.866908e-05,212.8,566.8846871852875
186368,9.532452,0.053515624,319,0.92526835,186368,0.004585779,91,0.9399092942476273,56.03,-0.0024893754,215.85,573.2461912631989
188416,7.9670806,0.05234375,326,0.92860574,188416,0.0043631024,92,0.936118520796299,57.11,-0.0029871475,218.74,579.657219171524
190464,7.3108635,0.027978515,318,0.9246825,190464,0.0030004308,93,0.9445447288453579,57.8,-0.00033515552,221.01,585.9269573688507
192512,3.6894474,0.025292968,318,0.9102248,192512,0.0028593093,94,0.9639402478933334,58.65,-0.00041259738,223.59,592.3522329330444
194560,2.9047475,0.025244141,321,0.89264214,194560,0.0026955819,95,0.9522799700498581,57.19,0.00019662389,222.95,598.7772417068481
196608,2.4299989,0.047558594,319,0.8876028,196608,0.00416837,96,0.9609844982624054,56.49,-0.0028036165,226.15,605.1430766582489
198656,5.567313,0.04501953,321,0.87469035,198656,0.004419313,97,0.9460010565817356,55.37,-0.0044153994,222.77,611.5479023456573
200704,3.9651318,0.04736328,321,0.86345404,200704,0.004334367,98,0.95773970708251,56.46,-0.0024462366,223.95,617.9151725769043
202752,6.474814,0.049609374,323,0.84928626,202752,0.004385679,99,0.9404914565384388,58.95,-0.0029968503,227.13,624.29270362854
204800,1.7506502,0.06035156,324,0.83338547,204800,0.0050245533,100,0.9656601324677467,58.38,-0.00417973,227.3,630.6256814002991
206848,12.170458,0.02446289,321,0.8385625,206848,0.0025056265,101,0.9479968920350075,62.94,-0.00016440466,232.51,636.941018819809
