n_updates,fps,ep_len_mean,explained_variance,time_elapsed,serial_timesteps,policy_loss,ep_reward_mean,clipfrac,total_timesteps,value_loss,policy_entropy,approxkl
57,292,278.45,0.8975496515631676,379.7731430530548,116736,-0.0030416532,266.74903991,0.021582032,116736,23.925724,2.0139036,0.0022768131
58,290,281.56,0.9420668855309486,386.77607583999634,118784,-0.004426281,269.60329988999996,0.041894533,118784,19.789635,2.0291212,0.0034735135
59,290,283.39,0.9320599064230919,393.8271369934082,120832,-0.0007737844,271.24772325000004,0.016113281,120832,20.49873,2.0354934,0.0018377781
60,292,281.79,0.9285062700510025,400.8677921295166,122880,-0.00096868083,269.67649159000007,0.007470703,122880,19.515453,2.0256364,0.0013816323
61,292,281.37,0.9150247052311897,407.8830440044403,124928,-0.0014802438,269.13495005,0.008154297,124928,19.513655,2.0142903,0.001367393
62,297,275.94,0.91887316852808,414.89232206344604,126976,-0.0053677615,263.76235605999995,0.04506836,126976,20.064032,2.0210526,0.004072049
63,298,276.56,0.8945256769657135,421.7757589817047,129024,-0.0037358992,264.15746658,0.028466797,129024,22.831991,2.0288372,0.002841282
64,293,285.0,0.8807610869407654,428.6303777694702,131072,-0.0037242877,272.37499527,0.034814455,131072,22.526875,2.0469017,0.0032545174
65,297,294.17,0.7850272208452225,435.6097500324249,133120,-0.0036622162,281.20359453000003,0.04526367,133120,27.821308,2.0717835,0.0038915686
66,292,305.14,0.8240208774805069,442.5028519630432,135168,-0.0023886103,291.7477047,0.023339843,135168,24.609222,2.0923715,0.0023479327
67,300,314.06,0.6786725521087646,449.4979109764099,137216,-0.00078805286,300.43187435999994,0.019921875,137216,29.397614,2.1075156,0.0019228725
68,297,317.78,0.7195786833763123,456.32110571861267,139264,-0.007671792,304.3647553299999,0.039257813,139264,27.890692,2.131311,0.0033082596
69,297,328.67,0.855172336101532,463.20027208328247,141312,-0.0005369495,314.80576872,0.0035644532,141312,23.324425,2.1349308,0.0007335319
70,301,340.22,0.7332408726215363,470.0863049030304,143360,-0.004812909,326.00699634,0.033251952,143360,26.10854,2.144139,0.0029590786
71,241,346.58,0.6373557448387146,476.8918528556824,145408,-0.0010966784,332.18208070000003,0.026708985,145408,28.053177,2.1727886,0.0024450505
72,256,362.0,0.7475986778736115,485.386244058609,147456,-0.00083318056,347.30397932,0.04033203,147456,23.552937,2.19336,0.0033410068
73,249,379.28,0.8870443031191826,493.3848969936371,149504,-0.0024597489,364.09662409,0.011621093,149504,22.052372,2.1934228,0.0017429267
74,261,388.69,0.7830740064382553,501.6064097881317,151552,-0.00096441014,373.25040378,0.013671875,151552,21.07816,2.2038743,0.0014787226
75,232,400.29,0.9094620123505592,509.45500206947327,153600,-0.0016410496,384.60948714,0.02446289,153600,18.793247,2.2188375,0.0029557915
76,265,414.59,0.7174000144004822,518.2604668140411,155648,-0.00056697754,398.52747235999993,0.011279297,155648,24.353466,2.217724,0.0015397893
77,231,424.99,0.7983925193548203,525.9658889770508,157696,-0.0014774201,408.64640804999993,0.027783204,157696,20.58633,2.2271752,0.002626338
78,185,431.34,0.7235055863857269,534.7997679710388,159744,0.0003980272,414.7348054200001,0.009423828,159744,22.741457,2.2446952,0.0011801824
79,194,439.68,0.8069470822811127,545.856095790863,161792,7.1042836e-05,422.77948662000017,0.0069335937,161792,19.568867,2.2577312,0.0012235653
80,201,446.41,0.7635972797870636,556.3798110485077,163840,-0.00129817,429.3096751099999,0.014892578,163840,22.798517,2.2628822,0.001872183
81,198,453.88,0.796442374587059,566.5572829246521,165888,-0.0016713195,436.45193073999997,0.011230469,165888,19.846794,2.269074,0.001530851
