ep_reward_mean,policy_loss,total_timesteps,policy_entropy,explained_variance,n_updates,approxkl,ep_len_mean,serial_timesteps,time_elapsed,clipfrac,value_loss,fps
56.95,-0.00035951397,247808,0.66249144,0.9623139128088951,121,0.003868157,249.87,247808,751.8306670188904,0.04477539,6.846873,323
59.88,0.0007483646,249856,0.656029,0.9610047750174999,122,0.0033096403,253.34,249856,758.1545050144196,0.035791017,6.3648305,325
61.58,-0.00022333399,251904,0.64697796,0.978748269379139,123,0.0032335748,256.94,251904,764.4423985481262,0.02631836,2.279921,328
60.32,-0.0022669197,253952,0.643073,0.9575852751731873,124,0.0038478714,254.21,253952,770.6799125671387,0.04506836,1.9963942,330
61.55,-0.0009249969,256000,0.63251495,0.9833808410912752,125,0.003109749,257.29,256000,776.8785376548767,0.029345702,1.8860699,324
61.71,-0.0010048137,258048,0.6231833,0.9744659941643476,126,0.0041006715,258.52,258048,783.193216085434,0.04926758,2.6835475,330
62.65,0.00051222835,260096,0.6252271,0.9739141128957272,127,0.003257487,260.4,260096,789.4004371166229,0.038232423,3.4781806,332
62.59,-0.0024725583,262144,0.6288946,0.9720755517482758,128,0.0058241985,260.54,262144,795.5642373561859,0.07128906,2.871358,330
66.02,-0.00039932685,264192,0.63051045,0.9703479018062353,129,0.002518686,266.01,264192,801.7711567878723,0.025634766,4.1257353,323
67.5,-0.0013426201,266240,0.6324465,0.9712424222379923,130,0.00507943,269.69,266240,808.1022849082947,0.06274414,5.2147436,322
67.07,-0.0013234193,268288,0.63655233,0.9743641763925552,131,0.004773358,268.58,268288,814.4528703689575,0.060058594,2.8758168,325
67.07,-0.0022386257,270336,0.6395684,0.9679617285728455,132,0.0028935247,268.6,270336,820.7547407150269,0.027929688,3.6226501,325
66.73,-0.0026634815,272384,0.6309366,0.9757219720631838,133,0.0045583327,267.94,272384,827.0404269695282,0.04873047,3.665987,328
62.46,-0.001865883,274432,0.6228044,0.9786918926984072,134,0.005586591,261.41,274432,833.2857766151428,0.068310544,0.99407417,330
61.08,-0.0015640762,276480,0.6192485,0.9905430311337113,135,0.0046728645,259.57,276480,839.4803824424744,0.056005858,0.8433431,324
60.19,-0.00056172756,278528,0.6210996,0.9797032661736012,136,0.0057285917,258.62,278528,845.7924914360046,0.06982422,1.7538977,329
61.42,0.00011401558,280576,0.62789327,0.9778923206031322,137,0.0029257825,258.56,280576,852.0049273967743,0.02836914,2.4328628,337
61.2,-0.001050961,282624,0.6299795,0.9815254174172878,138,0.004428679,255.68,282624,858.0817697048187,0.05239258,1.9688146,331
57.78,-0.0016085574,284672,0.64187586,0.9760688915848732,139,0.006185028,251.52,284672,864.2542941570282,0.07426758,1.6123178,326
62.91,-0.0016122705,286720,0.6471984,0.9759062230587006,140,0.0037584652,256.28,286720,870.5339946746826,0.044140626,8.081397,320
60.15,-0.0027977559,288768,0.6436218,0.9768556281924248,141,0.005869504,253.0,288768,876.9219377040863,0.068554685,2.2733634,325
58.69,6.3550506e-05,290816,0.6321135,0.9832356125116348,142,0.0025228388,251.67,290816,883.216171503067,0.02084961,1.6846403,327
56.68,-0.0016329184,292864,0.62457544,0.9798871111124754,143,0.004899585,251.09,292864,889.4800596237183,0.057177734,2.9817004,326
56.3,-0.00069780846,294912,0.62280107,0.9863533200696111,144,0.0031661657,250.01,294912,895.7647621631622,0.03330078,1.3569518,325
55.01,-0.0016885509,296960,0.6227755,0.9809444956481457,145,0.00388079,248.03,296960,902.0588979721069,0.045458984,1.902147,327
59.77,-0.0024689455,299008,0.6300521,0.9779866058379412,146,0.005020934,252.4,299008,908.3108959197998,0.06064453,4.581579,329
60.8,-0.0029934016,301056,0.63443625,0.9738637283444405,147,0.004381812,253.5,301056,914.5209941864014,0.05356445,2.901391,325
61.64,-0.0020127476,303104,0.6403658,0.984507018700242,148,0.006735686,253.36,303104,920.8228085041046,0.08544922,2.1373062,323
61.04,-0.0007504954,305152,0.62802035,0.983929356560111,149,0.0041121906,254.71,305152,927.1525554656982,0.043017577,2.2482328,328
62.27,0.0002324252,307200,0.6083827,0.9850834952667356,150,0.0036541452,257.64,307200,933.3906755447388,0.039355468,0.9803481,333
63.4,0.00033731986,309248,0.60139376,0.9836386516690254,151,0.003696544,260.15,309248,939.5454571247101,0.041796874,2.5512645,329
67.0,-0.002383682,311296,0.59595406,0.9824726656079292,152,0.005091532,262.74,311296,945.7625653743744,0.057763673,4.09301,324
64.66,-0.000605651,313344,0.59465635,0.9878772860392928,153,0.0033195843,261.15,313344,952.0722842216492,0.034521483,2.335136,321
66.31,-0.002587045,315392,0.59677565,0.9818302523344755,154,0.0074634156,261.94,315392,958.4381237030029,0.10229492,1.270788,329
66.66,-0.0027037822,317440,0.6021493,0.9747407138347626,155,0.0043473276,264.03,317440,964.6468770503998,0.04941406,3.021008,330
65.89,-0.00024242322,319488,0.5950925,0.9841221012175083,156,0.002663807,263.38,319488,970.8439016342163,0.025341798,1.217491,329
67.53,-0.0011200419,321536,0.5859699,0.9879448572173715,157,0.003400316,264.67,321536,977.0618376731873,0.03540039,2.3522565,330
69.27,-0.001258894,323584,0.57773685,0.9895639512687922,158,0.0031763394,267.91,323584,983.2695362567902,0.03017578,1.7795146,328
66.13,0.000110573754,325632,0.56678057,0.9907879969105124,159,0.0035106998,266.06,325632,989.5143423080444,0.03652344,0.53616345,332
67.35,-0.00376582,327680,0.5657854,0.9761649556457996,160,0.00409571,269.4,327680,995.6781504154205,0.047558594,1.5997125,327
67.38,-0.004365011,329728,0.56183624,0.9877899801358581,161,0.0066837557,270.18,329728,1001.9339764118195,0.08164062,1.9837558,327
65.76,-0.001813449,331776,0.5443203,0.9849632708355784,162,0.004545128,266.46,331776,1008.1833791732788,0.050585937,2.0027006,328
65.96,-0.0010369278,333824,0.53042126,0.9809283912181854,163,0.0042263744,266.71,333824,1014.4186177253723,0.04550781,1.2507042,332
67.86,-0.0001244382,335872,0.51451606,0.9800623096525669,164,0.004283405,270.92,335872,1020.5849068164825,0.04638672,6.3381147,323
64.38,-0.00022051655,337920,0.50732815,0.9906630432233214,165,0.0042488556,269.67,337920,1026.910185098648,0.04814453,0.6571173,331
60.13,-0.00029447832,339968,0.51179135,0.9590822570025921,166,0.0039970414,267.78,339968,1033.0812485218048,0.045996092,2.4194226,329
60.63,-0.00227766,342016,0.5087674,0.982954716309905,167,0.004455079,267.84,342016,1039.2928705215454,0.05214844,2.2516026,332
58.81,-0.002793729,344064,0.49782658,0.9877946227788925,168,0.006697747,264.78,344064,1045.4530913829803,0.085839845,1.0218384,329
61.35,-0.0009899038,346112,0.488027,0.9853158835321665,169,0.0043616435,268.14,346112,1051.6791281700134,0.05263672,3.0656302,336
61.81,-0.001676528,348160,0.48100042,0.9923796374350786,170,0.004100373,269.77,348160,1057.7672278881073,0.042871095,0.92703325,332
62.43,-9.496558e-05,350208,0.47650152,0.9933812972158194,171,0.002240149,271.7,350208,1063.9268295764923,0.020996094,1.0083594,328
63.79,-0.0024091601,352256,0.47757038,0.9904425935819745,172,0.0046557216,273.32,352256,1070.1624431610107,0.05620117,1.4667892,327
65.46,0.00078341423,354304,0.47937074,0.9904740871861577,173,0.004280216,274.7,354304,1076.4170815944672,0.05126953,1.370496,328
66.57,-0.0005426112,356352,0.45843458,0.9911196967586875,174,0.0045569013,276.45,356352,1082.6512188911438,0.04902344,1.3324699,330
66.51,0.00076602766,358400,0.45131874,0.9891807278618217,175,0.0020772559,278.91,358400,1088.8566527366638,0.017822266,1.1499908,330
65.31,-0.003192701,360448,0.46090347,0.9857981521636248,176,0.0044958973,279.79,360448,1095.0566203594208,0.053271484,1.1457541,331
67.48,-0.00048782452,362496,0.45308375,0.9847749387845397,177,0.00655689,282.82,362496,1101.2302992343903,0.079882815,3.1151793,327
62.08,0.00066204375,364544,0.44465286,0.9909048518165946,178,0.00448813,274.2,364544,1107.4942071437836,0.051367186,1.028743,338
66.51,-0.0028183027,366592,0.4350204,0.9877807917073369,179,0.005091467,277.56,366592,1113.545865535736,0.059179686,2.8045547,332
