n_updates,fps,policy_entropy,ep_len_mean,policy_loss,explained_variance,time_elapsed,serial_timesteps,clipfrac,value_loss,total_timesteps,ep_reward_mean,approxkl
169,394,1.3469994,536.73,-0.0037970897,0.8661791980266571,877.6230051517487,346112,0.052441407,10.334274,346112,259.08594016,0.004933697
170,401,1.3528507,534.23,-0.007451892,0.9390992373228073,882.8124234676361,348160,0.06943359,4.829814,348160,258.44864536,0.00584747
171,412,1.3685869,526.59,-0.008482253,0.8636893630027771,887.9200420379639,350208,0.057958983,10.188028,350208,254.44180171000005,0.005061085
172,372,1.379028,525.03,-0.0062816837,0.9380603358149529,892.8845131397247,352256,0.0597168,5.032546,352256,254.24993671000004,0.0047745085
173,449,1.3790613,520.87,-0.0020565288,0.8841513469815254,898.3780155181885,354304,0.02998047,9.6415415,354304,252.62653891,0.0028164375
174,403,1.3841499,517.47,-0.003876438,0.9004116803407669,902.9342441558838,356352,0.03745117,7.892385,356352,251.25782496000002,0.003414731
175,348,1.3841774,514.85,-0.0023573535,0.921491727232933,908.011545419693,358400,0.03725586,6.466465,358400,250.14606394999998,0.003452776
176,394,1.3845273,515.67,-0.004128748,0.9453398697078228,913.8987083435059,360448,0.04453125,5.0460315,360448,251.27406793000003,0.003974705
177,417,1.3935575,515.78,-0.004615034,0.9595701135694981,919.0872113704681,362496,0.04135742,3.8924968,362496,251.79163648000002,0.0036859647
178,416,1.3912581,516.9,-0.0037535788,0.9637029618024826,923.9949114322662,364544,0.0734375,2.4334722,364544,252.69399165,0.005825909
179,432,1.3875551,518.91,-0.00611584,0.9492264203727245,928.9162502288818,366592,0.059521485,4.3350096,366592,254.45878533000004,0.004825872
180,392,1.3815078,518.16,-0.004768334,0.9525941796600819,933.6506311893463,368640,0.07875977,3.602693,368640,253.81538908000002,0.0066306842
181,400,1.377899,517.77,-0.0027572406,0.9125717058777809,938.8683495521545,370688,0.04160156,7.600431,370688,254.10993761999998,0.0038562187
182,416,1.3772742,516.96,-0.0032547195,0.9178711101412773,943.9799778461456,372736,0.04458008,7.403769,372736,254.23116738999997,0.0038017973
183,402,1.3768071,516.66,-0.0024463092,0.8927773088216782,948.9040706157684,374784,0.052490234,8.843477,374784,254.22139610999994,0.0048588016
184,411,1.3771064,517.14,-0.0041352087,0.9663847722113132,953.9958317279816,376832,0.05053711,2.8534114,376832,254.66399717000002,0.0043723513
185,354,1.3837272,519.19,-0.0021049045,0.968857092782855,958.9763135910034,378880,0.024414062,2.7869537,378880,256.19178166999995,0.0027366593
186,425,1.379644,516.01,-0.0038183196,0.792428195476532,964.7604739665985,380928,0.059375,15.22433,380928,254.32787239,0.004990393
187,418,1.3784362,517.96,-0.0044967136,0.9366461411118507,969.5712602138519,382976,0.045947265,5.629481,382976,256.0937386,0.005138251
