ep_reward_mean,ep_len_mean,total_timesteps,fps,approxkl,value_loss,policy_entropy,policy_loss,clipfrac,explained_variance,n_updates,time_elapsed,serial_timesteps
0.0,105.06,145408,59,0.003398399,3.513797e-07,1.2286296,-0.0030937833,0.03754883,-1.4284141063690186,71,1142.4328799247742,145408
0.0,106.68,147456,68,0.006347501,5.2447615e-07,1.2302673,-0.008351333,0.08647461,0.2532803416252136,72,1176.7059769630432,147456
0.0,107.32,149504,55,0.0037216046,4.3710025e-07,1.2292826,-0.005176096,0.043603517,-0.03853142261505127,73,1206.7355470657349,149504
0.0,108.69,151552,66,0.0070575336,4.969031e-07,1.2147019,-0.009635289,0.09287109,-0.20144152641296387,74,1243.5151619911194,151552
0.0,110.25,153600,68,0.0063200393,4.5316065e-07,1.2039905,-0.0077274935,0.080517575,-0.7364894151687622,75,1274.3645820617676,153600
0.0,111.27,155648,54,0.0060843937,1.1099407e-05,1.2017229,-0.0044999872,0.07558594,-1.2880048751831055,76,1304.4186186790466,155648
0.0,111.52,157696,64,0.005436071,6.380378e-06,1.2012566,-0.0016308868,0.06323242,0.46704959869384766,77,1342.063368320465,157696
0.0,110.95,159744,77,0.0047852634,1.1314894e-06,1.2071264,-0.003373156,0.056933593,0.5580772757530212,78,1373.6178843975067,159744
0.0,109.98,161792,55,0.0061674677,5.9533e-05,1.209254,-0.0029786152,0.07885742,0.7725739479064941,79,1400.069180727005,161792
0.0,109.29,163840,66,0.0055286675,4.7686575e-07,1.2064576,-0.0018890569,0.06850586,0.42099589109420776,80,1436.8973076343536,163840
0.0,109.46,165888,61,0.0066272095,2.226268e-07,1.2049105,-0.0047475705,0.093652345,0.5754997432231903,81,1467.5651972293854,165888
0.0,113.73,167936,71,0.005857207,2.934167e-07,1.1972764,-0.003528942,0.074560545,0.030029654502868652,82,1501.0889544487,167936
0.0,116.1,169984,59,0.00358636,2.9246797e-07,1.198561,-0.0010117313,0.038916014,-0.19667434692382812,83,1529.82261800766,169984
0.0,118.51,172032,89,0.004717022,3.3278207e-06,1.1947466,-0.0033108399,0.053515624,-4.041903495788574,84,1564.3925249576569,172032
0.0,121.98,174080,83,0.0050906534,1.9639887e-07,1.1944511,-0.0023223092,0.058154296,-0.10669612884521484,85,1587.2272591590881,174080
0.0,124.02,176128,59,0.0057012076,3.7939924e-06,1.1951358,-0.004813806,0.067675784,0.44057947397232056,86,1611.691640138626,176128
0.0,125.3,178176,58,0.0056402395,2.5813285e-06,1.1888425,-0.0046255956,0.070898436,-0.8170541524887085,87,1646.0185329914093,178176
0.0,124.42,180224,68,0.0036925513,3.690672e-05,1.1838465,-0.0018953437,0.039794922,-0.89467453956604,88,1681.1527791023254,180224
0.0,125.8,182272,70,0.004066092,4.0962004e-07,1.1705215,-0.0037951437,0.044433594,0.573551595211029,89,1710.8650870323181,182272
0.0,127.13,184320,69,0.0050355485,5.6401575e-07,1.1664654,-0.0043629627,0.05908203,0.5617896616458893,90,1739.8337252140045,184320
0.0,126.03,186368,58,0.0054642824,1.862646e-07,1.1723927,-0.0067733983,0.07128906,0.37308579683303833,91,1769.1179583072662,186368
0.0,125.4,188416,85,0.005162115,4.365338e-07,1.1747719,-0.0042511486,0.068798825,0.2457951307296753,92,1803.989037513733,188416
0.0,123.66,190464,67,0.0068932846,1.6299355e-06,1.1791388,-0.009028849,0.09667969,0.2242528796195984,93,1827.9422771930695,190464
0.0,118.84,192512,58,0.008088267,0.00011316825,1.1726735,-0.0076592593,0.109228514,-2.582716703414917,94,1858.1594257354736,192512
0.0,111.3,194560,51,0.0029678638,2.5625502e-07,1.1577556,-0.0016398991,0.031396486,-6.755680561065674,95,1892.9993150234222,194560
0.0,106.19,196608,52,0.0070870174,1.4209775e-07,1.1487719,-0.007957963,0.0921875,-7.433551788330078,96,1933.0399751663208,196608
0.0,100.82,198656,48,0.0035819437,2.2549882e-07,1.1446381,-0.0032789768,0.03671875,-4.343754291534424,97,1971.8406536579132,198656
0.0,96.33,200704,65,0.0041957074,2.135447e-07,1.1420003,-0.0038987678,0.04868164,-4.763534069061279,98,2014.0130591392517,200704
0.0,93.47,202752,45,0.0040135277,1.7448735e-07,1.1448396,-0.0016396841,0.04736328,-6.269565105438232,99,2045.3138020038605,202752
0.0,91.89,204800,44,0.004711238,2.17254e-07,1.1468194,-0.0035219355,0.05366211,-4.47357177734375,100,2090.388589143753,204800
0.0,90.8,206848,51,0.004627209,1.359276e-06,1.1355479,-0.0036194003,0.05253906,-2.832853078842163,101,2136.687675476074,206848
0.0,91.3,208896,54,0.0055654757,3.6335775e-06,1.130473,-0.0053631337,0.06796875,0.10269135236740112,102,2176.280675172806,208896
0.0,90.98,210944,53,0.0041369544,4.441607e-07,1.1298354,-0.002268064,0.04848633,-0.2586207389831543,103,2213.593934774399,210944
0.0,89.8,212992,51,0.0072307414,2.062929e-06,1.1074715,-0.0059061726,0.087451175,-1.8073241710662842,104,2251.9382874965668,212992
0.0,88.6,215040,52,0.002979185,1.1532544e-05,1.0925786,0.00032716556,0.031103516,-1.481168270111084,105,2291.6500086784363,215040
0.0,86.45,217088,50,0.003439153,1.4400139e-05,1.0913644,-0.0020091287,0.03540039,0.5409380793571472,106,2330.6489808559418,217088
0.0,85.73,219136,41,0.00625496,2.9575125e-07,1.0923084,-0.003863606,0.079833984,0.6907797753810883,107,2371.5828897953033,219136
0.0,85.0,221184,51,0.004757825,2.4484376e-07,1.0926106,-0.0038288436,0.056396484,0.40865373611450195,108,2420.8166959285736,221184
0.0,84.14,223232,45,0.0047097513,5.7771005e-05,1.0876343,-0.004159308,0.0546875,0.6897681653499603,109,2460.411872148514,223232
0.0,83.4,225280,43,0.0050269957,3.4175608e-07,1.0856252,-0.003573009,0.057958983,-2.71077299118042,110,2505.9250531196594,225280
0.0,82.26,227328,44,0.004919022,1.4777319e-07,1.0770347,-0.0038969785,0.054296874,-5.251892566680908,111,2552.816899061203,227328
0.0,82.2,229376,44,0.0038407326,1.1256661e-07,1.0659487,-0.0029779999,0.042578124,-9.165157318115234,112,2598.782474756241,229376
0.0,82.98,231424,52,0.0039899256,2.2922836e-07,1.062922,-0.004224498,0.046777345,-1.5192854404449463,113,2644.842852830887,231424
