fps,ep_len_mean,serial_timesteps,policy_loss,clipfrac,policy_entropy,total_timesteps,approxkl,value_loss,time_elapsed,explained_variance,n_updates,ep_reward_mean
51,92.11,212992,-0.0008508917,0.076660156,0.94719076,212992,0.0063435817,6.4198446e-08,3315.4906289577484,0.42766469717025757,104,0.0
44,91.78,215040,-0.0011358979,0.078027345,0.93054074,215040,0.0068082325,7.962204e-08,3355.6288180351257,-0.20732629299163818,105,0.0
45,91.59,217088,-0.0011338692,0.084033206,0.9294362,217088,0.0069982586,1.7867157e-07,3401.8523890972137,-1.6711273193359375,106,0.0
53,91.56,219136,-0.00054370443,0.07197265,0.9348137,219136,0.005778897,7.963116e-08,3446.3869802951813,-1.9144268035888672,107,0.0
44,91.62,221184,-0.002653364,0.07905273,0.94337815,221184,0.0062854113,1.7218015e-07,3484.9897649288177,-2.0286266803741455,108,0.0
42,91.79,223232,0.0019443699,0.06538086,0.9394792,223232,0.005589873,9.257864e-06,3530.8585000038147,-3.002213954925537,109,0.0
47,92.0,225280,-0.0015773701,0.086279295,0.9299154,225280,0.0070200777,1.3378715e-07,3579.306757211685,-3.0106635093688965,110,0.0
51,92.11,227328,-0.0013279472,0.07807617,0.9301195,227328,0.0065074833,2.7997608e-06,3622.25350022316,-2.506993055343628,111,0.0
55,92.43,229376,0.0020295219,0.06953125,0.9380838,229376,0.0056170197,1.790042e-07,3661.673848390579,-1.3417212963104248,112,0.0
73,92.93,231424,-0.0006421291,0.07709961,0.94750756,231424,0.006081614,6.790083e-08,3698.618543624878,-0.5762789249420166,113,0.0
50,93.32,233472,-0.00376456,0.09663086,0.9497843,233472,0.0078058667,5.822657e-05,3726.5549142360687,0.47190505266189575,114,0.0
50,93.7,235520,-0.0033667702,0.08295898,0.9514716,235520,0.006605748,5.9740955e-08,3767.2130270004272,0.09492290019989014,115,0.0
52,94.13,237568,-0.0023342562,0.100097656,0.9508036,237568,0.007896073,5.6599454e-08,3807.9596498012543,-0.2994300127029419,116,0.0
67,94.06,239616,-0.0031543572,0.07929687,0.9446724,239616,0.006841895,8.120374e-08,3846.625477552414,-1.3446438312530518,117,0.0
45,94.11,241664,-0.0018102322,0.06782226,0.93392813,241664,0.0057654614,5.5868327e-08,3876.9114196300507,-0.3143996000289917,118,0.0
49,93.93,243712,0.0014673527,0.061865233,0.9169405,243712,0.005459012,3.0440565e-06,3921.652999639511,0.2808787226676941,119,0.0
50,93.53,245760,-0.0015261763,0.09277344,0.90956354,245760,0.007527658,1.0080989e-06,3963.1107444763184,-0.43459808826446533,120,0.0
63,93.23,247808,-0.0004582094,0.05620117,0.9014888,247808,0.0048304764,1.0729675e-06,4003.469875574112,-0.22634649276733398,121,0.0
55,93.12,249856,0.00020726075,0.06381836,0.89107674,249856,0.0053693075,6.2238064e-07,4035.8167049884796,-2.065765619277954,122,0.0
50,93.23,251904,0.0026482577,0.064404294,0.8842988,251904,0.005369099,1.1985612e-05,4072.4346573352814,-3.735215187072754,123,0.0
41,93.39,253952,-0.0011003014,0.07724609,0.876356,253952,0.00623932,1.465215e-07,4113.294917583466,-0.5895901918411255,124,0.0
53,93.59,256000,-3.4763816e-05,0.082128905,0.8678919,256000,0.006610921,9.8785495e-06,4162.669666528702,-0.2654268741607666,125,0.0
48,93.4,258048,-0.0013810315,0.09428711,0.8585804,258048,0.0072583654,1.7392961e-06,4200.877991914749,-1.0061771869659424,126,0.0
47,93.09,260096,0.00047126831,0.0987793,0.85462713,260096,0.007885681,1.2350492e-07,4243.05419921875,-2.16754412651062,127,0.0
52,93.14,262144,-0.00035372557,0.07895508,0.85351074,262144,0.0061786687,1.0694089e-07,4286.31364440918,-3.111938953399658,128,0.0
45,93.26,264192,-0.0010989977,0.066503905,0.8470271,264192,0.005604454,1.907619e-05,4325.594433069229,-1.5368320941925049,129,0.0
55,93.68,266240,0.0001955606,0.0824707,0.84274703,266240,0.0064321933,1.1602789e-06,4370.23778295517,-2.4755029678344727,130,0.0
49,94.07,268288,-0.0021494185,0.08916016,0.8338701,268288,0.00731455,9.023083e-08,4407.233780384064,-0.8458490371704102,131,0.0
48,94.31,270336,-0.000594624,0.08359375,0.8221418,270336,0.006830628,5.613335e-08,4448.546975135803,-2.5475974082946777,132,0.0
56,93.89,272384,-0.00017134825,0.07011719,0.82477874,272384,0.0059738783,8.888393e-07,4490.808568477631,-8.226701736450195,133,0.0
65,93.7,274432,4.028189e-05,0.08798828,0.83237803,274432,0.0071148453,7.811215e-08,4526.983477592468,-3.4143075942993164,134,0.0
54,93.72,276480,-0.001460226,0.073876955,0.83114195,276480,0.0059969802,2.4091963e-07,4558.098262548447,-5.595241546630859,135,0.0
57,93.89,278528,0.0014136663,0.080761716,0.8257561,278528,0.006438856,1.675384e-07,4595.573663473129,-10.333146095275879,136,0.0
62,93.97,280576,-0.002418841,0.094091795,0.8170885,280576,0.0074528074,7.4825425e-06,4631.19705247879,-3.691697120666504,137,0.0
56,94.11,282624,-0.0023612115,0.09741211,0.80201113,282624,0.008197984,4.3205542e-08,4663.8842561244965,-4.294871807098389,138,0.0
54,94.18,284672,0.000717616,0.09379883,0.8050477,284672,0.008390555,3.5566993e-07,4699.981750249863,-7.583647727966309,139,0.0
53,94.43,286720,0.000477303,0.09311523,0.8162385,286720,0.0077368333,4.7161166e-08,4737.320942401886,-9.779333114624023,140,0.0
45,94.64,288768,0.00030959147,0.07734375,0.8207992,288768,0.0062194606,1.247279e-07,4775.589218616486,-2.7315778732299805,141,0.0
56,94.75,290816,-0.00062602,0.08364258,0.8168132,290816,0.0067140907,1.1883465e-05,4821.0337200164795,-0.9445834159851074,142,0.0
59,94.83,292864,0.00052356475,0.07709961,0.80313575,292864,0.0063717687,3.2362067e-07,4857.485704898834,-0.7662628889083862,143,0.0
48,94.71,294912,-0.0003259508,0.071875,0.80199593,294912,0.0058182264,3.2485664e-07,4892.171279668808,0.46247613430023193,144,0.0
56,94.34,296960,-0.0010042621,0.06303711,0.80125725,296960,0.0055299876,1.0941321e-06,4934.811525344849,0.20150244235992432,145,0.0
58,94.14,299008,0.0028611042,0.06435547,0.79826415,299008,0.0053733694,9.314925e-06,4970.833432674408,-4.000458717346191,146,0.0
62,94.16,301056,-0.0010716838,0.06865235,0.8022788,301056,0.0055847876,2.0407136e-07,5005.981394529343,0.21573543548583984,147,0.0
47,94.11,303104,-0.00043584406,0.07011719,0.81247836,303104,0.0059551154,2.2977845e-07,5038.976068735123,0.6953433752059937,148,0.0
45,94.32,305152,0.00028890037,0.078271486,0.8148037,305152,0.0062569985,3.6608562e-06,5082.405391931534,0.45727020502090454,149,0.0
46,94.29,307200,-0.0030954224,0.1149414,0.8152712,307200,0.0085044755,2.0075352e-07,5127.427667379379,0.17592132091522217,150,0.0
50,94.42,309248,0.00073775917,0.08671875,0.8129468,309248,0.0070746206,3.8022452e-05,5171.227809429169,0.803231731057167,151,0.0
64,94.44,311296,-0.0031254925,0.0796875,0.8044423,311296,0.006298696,5.060079e-08,5211.413666009903,0.444649875164032,152,0.0
70,94.41,313344,-0.0015665784,0.09716797,0.7916547,313344,0.007891263,4.4135724e-08,5243.171705722809,0.3181726336479187,153,0.0
58,94.49,315392,0.00028807033,0.07421875,0.7812085,315392,0.0062093777,3.8323407e-08,5272.306707859039,-0.20795834064483643,154,0.0
48,94.38,317440,-0.001548004,0.10048828,0.78864384,317440,0.00828096,6.7015744e-06,5307.206972360611,-2.1585910320281982,155,0.0
60,94.48,319488,0.00045210734,0.07607422,0.80032647,319488,0.006320364,3.958881e-08,5349.804374456406,-3.541212558746338,156,0.0
56,94.48,321536,-0.0003747664,0.0831543,0.8100526,321536,0.0064632045,2.6689727e-06,5383.89710688591,-2.508277654647827,157,0.0
76,94.57,323584,6.454015e-05,0.07563476,0.8158765,323584,0.006130301,5.077363e-05,5420.360125541687,-3.1740307807922363,158,0.0
60,94.92,325632,0.0013117864,0.062109374,0.8095106,325632,0.005445074,7.6899774e-08,5447.085240840912,-2.7834582328796387,159,0.0
48,95.36,327680,-0.00087590946,0.09233399,0.80509627,327680,0.00731486,4.628013e-08,5481.107686519623,-4.17277193069458,160,0.0
57,95.61,329728,0.00016640293,0.07773437,0.7989966,329728,0.006278181,1.0587168e-07,5523.014439582825,-3.7362427711486816,161,0.0
56,95.6,331776,-0.0024694763,0.09462891,0.7951748,331776,0.007702245,4.7995258e-08,5558.9005308151245,-6.495973110198975,162,0.0
56,95.79,333824,0.0012881422,0.090429686,0.7976222,333824,0.0073775747,4.200077e-08,5595.063142776489,-6.971493244171143,163,0.0
53,95.79,335872,-0.0027833758,0.07817383,0.80927277,335872,0.0061446163,1.3381708e-07,5631.169860839844,-8.186859130859375,164,0.0
54,95.8,337920,-0.0012227324,0.072314456,0.8212099,337920,0.0057994495,5.4186994e-08,5669.804122686386,-9.627936363220215,165,0.0
50,95.52,339968,-0.00048788218,0.06875,0.8266385,339968,0.005525614,7.27026e-08,5707.581292152405,-5.023698329925537,166,0.0
56,95.52,342016,-0.002325985,0.08886719,0.82385385,342016,0.0072241873,1.694669e-07,5748.2368903160095,-8.238506317138672,167,0.0
49,95.38,344064,-0.0022505983,0.09682617,0.8052041,344064,0.00800519,6.137817e-07,5784.208405971527,-13.319937705993652,168,0.0
56,95.12,346112,-0.00024278837,0.100097656,0.80373013,346112,0.008156466,1.4737516e-05,5825.714321613312,-6.019633769989014,169,0.0
58,95.1,348160,0.0013018647,0.064453125,0.81162673,348160,0.005243105,6.01349e-08,5862.179699420929,-3.1649317741394043,170,0.0
48,95.11,350208,-0.00096411427,0.08930664,0.81283724,350208,0.0073106773,9.969192e-08,5897.179749011993,-5.989051342010498,171,0.0
67,95.17,352256,0.0019274289,0.077783205,0.80733,352256,0.0064463303,1.8522714e-07,5939.492577791214,-4.395338535308838,172,0.0
55,95.09,354304,0.0019265705,0.05595703,0.79391253,354304,0.00475762,1.705561e-07,5969.775753498077,-4.45402717590332,173,0.0
50,94.9,356352,-0.0010982965,0.072509766,0.7968762,356352,0.006069033,1.635405e-05,6006.850117444992,-6.289724349975586,174,0.0
54,94.88,358400,-0.000969488,0.07280274,0.811741,358400,0.006134464,3.7745615e-08,6047.369684457779,-3.2377781867980957,175,0.0
44,94.6,360448,-0.0025113327,0.091845706,0.8199217,360448,0.007624661,5.4509066e-08,6084.677714109421,-3.3399062156677246,176,0.0
57,94.45,362496,-0.00064332224,0.084667966,0.83290976,362496,0.006635558,5.3336368e-08,6130.80410695076,-3.6721487045288086,177,0.0
52,94.55,364544,-0.0016121995,0.08334961,0.84113675,364544,0.0066443393,8.3545835e-08,6166.511046409607,-9.59942626953125,178,0.0
46,94.45,366592,0.002722853,0.061669923,0.8456613,366592,0.005061657,1.5855672e-06,6205.453062295914,-3.403636932373047,179,0.0
56,94.49,368640,-0.0026767557,0.08774414,0.8390929,368640,0.006995882,2.7096118e-07,6249.793586969376,-1.4502804279327393,180,0.0
59,94.57,370688,0.0003592407,0.0578125,0.8294818,370688,0.0049451683,1.1380961e-06,6286.122164726257,-7.31907844543457,181,0.0
55,94.41,372736,-0.0016380079,0.085351564,0.8248638,372736,0.0069101094,1.3254493e-05,6320.7342364788055,-0.18918859958648682,182,0.0
56,94.41,374784,0.00045225775,0.069726564,0.82733136,374784,0.0056947507,7.198387e-08,6357.906046390533,0.8848594278097153,183,0.0
60,94.4,376832,0.0010003769,0.05522461,0.83407366,376832,0.0048377737,6.380705e-08,6394.010143041611,0.7999813556671143,184,0.0
63,94.32,378880,-0.0024915964,0.10024414,0.8413488,378880,0.009076319,1.1459658e-07,6428.052971601486,0.5800356566905975,185,0.0
56,94.23,380928,0.00044653012,0.07978515,0.8527867,380928,0.006482736,6.3055936e-08,6460.293248653412,0.21733111143112183,186,0.0
54,94.48,382976,-0.0016032059,0.08676758,0.8430559,382976,0.0072331047,1.8470904e-07,6496.284677505493,-0.1218181848526001,187,0.0
53,95.0,385024,0.001211379,0.068310544,0.8277072,385024,0.005621923,5.8538312e-08,6533.576469898224,-0.5306782722473145,188,0.0
58,95.73,387072,-0.0024711953,0.09804688,0.8241172,387072,0.007907554,4.5922476e-05,6571.541988611221,-2.75982403755188,189,0.0
60,95.93,389120,-0.0011330877,0.070898436,0.8142621,389120,0.0058248616,4.2399638e-08,6606.703884601593,-16.324905395507812,190,0.0
48,96.01,391168,-0.00087161735,0.084228516,0.81193084,391168,0.0067688352,3.058556e-08,6640.773636817932,-10.743063926696777,191,0.0
49,95.97,393216,-0.00031379954,0.084667966,0.8073085,393216,0.006790366,3.6502094e-08,6683.121308088303,-8.082679748535156,192,0.0
54,95.88,395264,-0.0017551726,0.08344726,0.7968439,395264,0.0066672317,3.1167325e-08,6724.853312015533,-2.3610339164733887,193,0.0
50,95.7,397312,0.0016305463,0.08505859,0.7945746,397312,0.006623076,2.9351193e-08,6762.724822282791,-0.8972686529159546,194,0.0
