time_elapsed,n_updates,ep_len_mean,value_loss,fps,policy_entropy,clipfrac,ep_reward_mean,serial_timesteps,policy_loss,approxkl,total_timesteps,explained_variance
277.12193512916565,53,465.25,29.055689,360,1.8493503,0.012646484,431.88075619999995,108544,-0.0013534384,0.0015806423,108544,0.8794949427247047
282.7967121601105,54,475.94,29.53212,375,1.8538218,0.03564453,441.90694763999994,110592,-0.0030692376,0.0035564438,110592,0.8979695215821266
288.25359559059143,55,484.76,29.778957,379,1.8710874,0.05253906,449.7561668099999,112640,-0.0042558,0.004260334,112640,0.86818428337574
293.6449635028839,56,491.92,23.827316,329,1.893956,0.012646484,456.73225356,114688,-0.0005339438,0.0017170053,114688,0.932477667927742
299.8588445186615,57,493.99,25.762934,351,1.8893744,0.024902344,458.79503408000005,116736,-0.002580922,0.0027396458,116736,0.8832873702049255
305.69104266166687,58,490.67,21.536694,318,1.8898315,0.007861328,455.74640793,118784,-0.0004634521,0.001309527,118784,0.9418086558580399
312.1200850009918,59,490.27,25.535252,307,1.8927501,0.026953125,455.82214444000005,120832,-0.0015675824,0.00259195,120832,0.9235416650772095
318.7793855667114,60,473.23,19.039629,303,1.8956814,0.018603515,440.0956666,122880,-0.0025893846,0.0021719902,122880,0.9359996542334557
325.5188162326813,61,450.27,18.822615,306,1.8912245,0.047558594,417.9710225899999,124928,-0.003614577,0.004065129,124928,0.8888185322284698
332.20893025398254,62,450.12,21.629404,304,1.9031866,0.052685548,417.6418472800001,126976,-0.0038430556,0.0043036984,126976,0.9160201698541641
338.92856764793396,63,444.29,26.817017,306,1.9184797,0.023095703,412.4084306100001,129024,-0.0055573173,0.0023168172,129024,0.7253960967063904
345.6126136779785,64,428.83,22.501019,300,1.919081,0.018603515,398.42676631999996,131072,-0.0013377524,0.0022268645,131072,0.9047985300421715
352.4285612106323,65,415.58,16.576862,309,1.918525,0.057666015,386.06923213999994,133120,-0.0057577314,0.004902992,133120,0.9285291433334351
359.0450110435486,66,413.89,18.086697,308,1.9242691,0.01845703,384.40611209,135168,-0.00078229076,0.0021685841,135168,0.9286824390292168
365.69105863571167,67,416.18,24.853588,305,1.9260664,0.026367188,386.59229987,137216,0.00032719754,0.002589187,137216,0.7027375102043152
372.39078283309937,68,425.73,17.819494,311,1.9259456,0.02368164,395.65863036999997,139264,-0.0021111104,0.0025518867,139264,0.939426951110363
378.96317863464355,69,429.33,17.858318,308,1.9371767,0.039404295,398.7743236400001,141312,-0.0025799938,0.003423335,141312,0.966163843870163
385.61133217811584,70,431.25,17.741405,311,1.9463478,0.05317383,400.32272821,143360,-0.0048003565,0.0042526517,143360,0.927724115550518
392.1952545642853,71,436.59,21.609003,310,1.956855,0.02607422,406.05898353,145408,-0.0015879184,0.0025399337,145408,0.8628489971160889
