serial_timesteps,policy_entropy,total_timesteps,ep_reward_mean,ep_len_mean,policy_loss,clipfrac,fps,approxkl,n_updates,explained_variance,value_loss,time_elapsed
131072,2.1276572,131072,751.0750897700001,800.89,-0.0055859527,0.030957032,308,0.0028213505,64,0.47100329399108887,30.789825,409.66558837890625
133120,2.1471722,133120,750.9320343199998,801.06,-0.0035050951,0.02055664,308,0.002224699,65,0.8921374008059502,21.117897,416.3034677505493
135168,2.1515813,135168,742.4679276999999,792.19,-0.0020335817,0.020019531,307,0.0019232811,66,0.9365598633885384,19.72844,422.93740701675415
137216,2.1611247,137216,741.6186199199999,791.47,-0.00521104,0.03652344,313,0.0032264676,67,0.8864473104476929,21.093622,429.59779930114746
139264,2.177999,139264,741.6302281000001,791.52,-0.0017780343,0.019091796,308,0.0020206922,68,0.8959155902266502,21.874784,436.13964557647705
141312,2.1867085,141312,742.77867398,792.78,-0.0006379682,0.018359374,314,0.0020883812,69,0.6578509509563446,24.264124,442.7890408039093
143360,2.1919389,143360,750.0554198,799.93,-0.0024984605,0.018945312,310,0.0020457818,70,0.8088492304086685,23.553583,449.3020565509796
145408,2.2078278,145408,751.69998336,801.49,-0.0021642903,0.038769532,309,0.003348387,71,0.43972015380859375,25.625187,455.89060044288635
147456,2.2244232,147456,749.4619590899998,799.33,-0.0007447677,0.02319336,310,0.0023482821,72,0.5427774488925934,23.77944,462.51601219177246
149504,2.2423487,149504,748.69858398,798.51,-0.0015778237,0.02861328,317,0.0025998978,73,0.1386396288871765,26.51022,469.11165833473206
151552,2.257377,151552,751.20701573,801.06,-0.0039210278,0.029882813,309,0.002777318,74,0.5074619650840759,24.201588,475.57356786727905
153600,2.259975,153600,738.9927279700001,787.81,-3.762513e-05,0.0040527345,309,0.00059233786,75,0.43755990266799927,30.722446,482.18997287750244
155648,2.2654443,155648,737.0196818,785.84,-0.00051377236,0.008007812,304,0.0010901317,76,0.5572403371334076,23.980171,488.812166929245
157696,2.2655315,157696,735.22777726,783.57,0.00015696346,0.009716797,310,0.0011752893,77,0.6021235287189484,21.958637,495.52950954437256
159744,2.2736306,159744,734.6555508299998,783.55,-0.007172639,0.06748047,306,0.0053957747,78,0.7799034267663956,20.04969,502.1272163391113
161792,2.299923,161792,726.60361262,775.24,-2.5599647e-05,0.012207031,303,0.0014109648,79,0.6383681297302246,21.282055,508.81047558784485
163840,2.3176455,163840,719.38312051,767.98,-0.0027740714,0.024121094,303,0.0022014305,80,0.6943306028842926,19.142353,515.5615911483765
165888,2.330902,165888,726.5417648199999,775.3,-0.003015308,0.03730469,306,0.0034152772,81,0.7050338387489319,19.048119,522.32009100914
167936,2.328652,167936,727.9278778,776.79,0.00015278913,0.021972656,308,0.0024251393,82,0.7181757390499115,14.696996,529.0005385875702
169984,2.3377516,169984,740.70835801,790.43,-0.00021285024,0.0125488285,308,0.0018023517,83,0.6613527536392212,15.588488,535.6401722431183
172032,2.3519318,172032,761.7510979599999,812.55,-0.001671673,0.033203125,308,0.0030350164,84,0.6719627380371094,19.683641,542.2831292152405
174080,2.3449552,174080,761.17748637,811.64,-0.003433803,0.02626953,305,0.0027161972,85,0.6692666411399841,17.825598,548.930127620697
176128,2.359342,176128,768.1668591599998,819.28,-0.0073511475,0.044287108,298,0.003931773,86,0.9517621994018555,10.85964,555.6374771595001
178176,2.3879077,178176,758.9054972499999,809.17,-0.0049726097,0.04863281,299,0.0037107575,87,0.8921499103307724,12.422636,562.4982554912567
180224,2.4086106,180224,755.0304513100001,804.86,0.0014921785,0.023974609,304,0.0024699576,88,0.7811900824308395,11.34225,569.3365831375122
182272,2.4168582,182272,762.6485938400001,812.33,-0.0037250668,0.0328125,301,0.0029588318,89,0.7629377245903015,14.753481,576.0671799182892
184320,2.4390004,184320,764.95172932,814.71,-0.002397574,0.032324217,301,0.0031282946,90,0.8279891759157181,10.936517,582.8659613132477
186368,2.4541085,186368,768.5552762899999,819.13,-0.0013215154,0.03125,306,0.0027444218,91,0.8229346126317978,10.932681,589.670695066452
188416,2.4534943,188416,750.9244778299998,800.9,-0.0009060693,0.020996094,306,0.00231166,92,0.9470339752733707,7.1419754,596.3485038280487
190464,2.4599721,190464,752.89481033,803.66,-0.0015927756,0.016992187,304,0.0018586159,93,0.827422022819519,10.938424,603.0322148799896
192512,2.486783,192512,760.7512608600002,812.02,-0.002318978,0.028955078,301,0.002716134,94,0.8098968714475632,8.678209,609.751345872879
194560,2.5008755,194560,775.8643237200002,827.75,-0.0026314084,0.054003906,304,0.0042698598,95,0.20382946729660034,14.576609,616.5544226169586
196608,2.4986596,196608,788.1255411800001,840.6,-0.0021476196,0.01796875,299,0.0021705576,96,0.00141066312789917,16.171597,623.288378238678
198656,2.498852,198656,801.1817885400001,854.26,-0.0008959986,0.01665039,302,0.0018136865,97,-0.0012749433517456055,15.597231,630.119669675827
200704,2.4984117,200704,812.9779597100002,866.49,-0.0051850374,0.04448242,303,0.004131689,98,0.8263137340545654,7.968923,636.8817584514618
202752,2.5001595,202752,831.1321353999999,885.84,-0.0024754566,0.014746094,311,0.001573956,99,0.044244229793548584,25.450687,643.629100561142
204800,2.5048022,204800,837.3438836600003,892.67,-0.0020575793,0.015966797,302,0.001858709,100,0.95674192532897,4.931746,650.1982324123383
206848,2.5085807,206848,851.1164961999999,907.48,-0.0033814337,0.033154298,306,0.003044834,101,0.968277420848608,4.899967,656.9739582538605
208896,2.4932537,208896,859.7083426799999,916.76,-0.0033061516,0.039746094,301,0.0041354336,102,0.8285755962133408,8.26447,663.6550436019897
210944,2.474918,210944,875.3569023599999,933.25,-0.004042198,0.06645508,303,0.005125667,103,0.3053801655769348,14.885457,670.4587035179138
212992,2.4747715,212992,899.43977787,958.67,-0.0019645896,0.014013672,300,0.0019241724,104,0.8180298507213593,13.079219,677.1999168395996
215040,2.4776924,215040,912.35486072,972.35,-0.0013779871,0.023925781,300,0.0024729052,105,-0.002091646194458008,15.198004,684.0220131874084
217088,2.485936,217088,917.90712325,978.44,-0.0026518188,0.03237305,298,0.0028031766,106,0.9713144153356552,3.4551105,690.841525554657
