n_updates,total_timesteps,ep_len_mean,value_loss,fps,policy_entropy,clipfrac,serial_timesteps,time_elapsed,explained_variance,approxkl,policy_loss,ep_reward_mean
101,206848,183.62,5.642971e-06,402,1.2421213,0.034960937,206848,529.6244509220123,0.7445947527885437,0.003160371,-0.000863314,0.0
102,208896,183.06,1.581139e-05,393,1.2451748,0.058300782,208896,534.717693567276,-1.8847310543060303,0.0050110696,-0.0034709908,0.0
103,210944,182.27,4.9805e-06,364,1.2480661,0.038916014,210944,539.9223902225494,0.9168944805860519,0.00349238,-0.0024457804,0.0
104,212992,181.53,1.3652468e-07,373,1.249646,0.041015625,212992,545.5424818992615,0.919139064848423,0.003539025,-0.0016677318,0.0
105,215040,180.85,1.0885326e-07,399,1.2480507,0.02602539,215040,551.031485080719,0.8633971959352493,0.0028775265,0.00049623905,0.0
106,217088,180.2,1.9023715e-06,365,1.2473382,0.018945312,217088,556.163257598877,0.7241299450397491,0.002293704,6.777512e-05,0.0
107,219136,179.61,2.593029e-06,385,1.2498596,0.043066405,219136,561.7645473480225,-0.31807875633239746,0.0038201816,-0.0016098369,0.0
108,221184,179.25,5.377074e-06,359,1.2488915,0.05415039,221184,567.0775072574615,-0.09322893619537354,0.004753332,-0.0029795344,0.0
109,223232,178.26,2.704939e-07,377,1.2434198,0.06044922,223232,572.7716772556305,-0.43173718452453613,0.004815676,-0.003363349,0.0
110,225280,177.23,5.1174843e-06,366,1.2488757,0.051367186,225280,578.1973083019257,-1.5383129119873047,0.0042629605,-0.0019735652,0.0
111,227328,175.88,2.5475592e-05,369,1.243688,0.017822266,227328,583.7840628623962,-1.4436395168304443,0.002708134,-0.00055508723,0.0
112,229376,174.68,3.2405651e-07,387,1.2376096,0.031982422,229376,589.3276472091675,0.9624848626554012,0.0030046538,-0.000586071,0.0
113,231424,173.51,6.8582412e-06,377,1.234705,0.036230467,231424,594.6086015701294,0.9496117867529392,0.0032444615,-0.00072600023,0.0
114,233472,172.92,1.02735484e-07,358,1.2448225,0.023291016,233472,600.0401899814606,0.9354640543460846,0.0023804328,-0.0009838787,0.0
115,235520,172.01,6.255326e-07,390,1.2505549,0.03466797,235520,605.7468144893646,0.9088559523224831,0.0033673323,0.00019973703,0.0
116,237568,171.07,1.5927766e-06,387,1.2726698,0.038720705,237568,610.9973685741425,0.7438255548477173,0.0032947976,-0.005159258,0.0
117,239616,170.64,8.272161e-06,374,1.2997714,0.03828125,239616,616.2875180244446,0.8385139852762222,0.0035821386,-0.0032636602,0.0
118,241664,169.97,1.3633321e-07,397,1.3068123,0.046240233,241664,621.7530779838562,0.6870026588439941,0.0041489783,-0.0009935733,0.0
119,243712,169.79,3.1801122e-07,373,1.3109291,0.050146483,243712,626.9042954444885,0.6758607923984528,0.004379404,-0.0035558548,0.0
120,245760,168.47,1.0699495e-06,385,1.3014327,0.034960937,245760,632.3893489837646,0.4920216202735901,0.00328267,-0.0019320541,0.0
121,247808,167.18,1.0114128e-05,366,1.3078722,0.04433594,247808,637.7080008983612,0.26884132623672485,0.003938795,-0.002330076,0.0
122,249856,166.45,1.562049e-07,378,1.3214138,0.059472658,249856,643.2965075969696,-2.6470839977264404,0.0049894555,-0.008511583,0.0
123,251904,165.91,6.257958e-08,367,1.3051242,0.02993164,251904,648.7057056427002,-0.6960322856903076,0.003124665,-0.0010818973,0.0
124,253952,166.18,2.7618264e-06,392,1.2955539,0.0418457,253952,654.2736780643463,-0.12204921245574951,0.0039006688,-0.0017864332,0.0
125,256000,165.69,7.686378e-06,391,1.2927694,0.025341798,256000,659.4886517524719,-0.865265965461731,0.0028072903,-0.00034624222,0.0
126,258048,165.47,1.0802784e-06,402,1.2998811,0.053466797,258048,664.7287158966064,-1.2325422763824463,0.0044756513,-0.0045555336,0.0
127,260096,165.68,4.8687355e-07,376,1.3087313,0.025488282,260096,669.8174664974213,0.8007907271385193,0.0026874093,0.00037188083,0.0
128,262144,166.09,1.1463412e-06,396,1.3168523,0.066748045,262144,675.25514960289,0.8317109197378159,0.0054617603,-0.004975273,0.0
129,264192,167.13,1.817111e-06,376,1.3267052,0.0362793,264192,680.4176375865936,0.8425916433334351,0.0034033891,-0.0016607458,0.0
130,266240,167.34,1.7626246e-05,398,1.3365679,0.07006836,266240,685.8623096942902,-0.0005851984024047852,0.005636074,-0.0041167466,0.0
131,268288,168.25,5.3220436e-08,342,1.3437525,0.023535157,268288,691.0019536018372,0.4416276216506958,0.0027196791,0.000110845336,0.0
132,270336,168.14,2.8051678e-08,366,1.3313179,0.02602539,270336,696.9816401004791,0.15523725748062134,0.0026996082,0.00022931599,0.0
133,272384,168.72,2.1119449e-07,388,1.3312633,0.039453126,272384,702.5743222236633,-0.43127870559692383,0.003709708,-0.0012568228,0.0
134,274432,169.64,3.298403e-07,371,1.3425342,0.042822264,274432,707.8484179973602,-1.792888879776001,0.003761952,-0.0026877713,0.0
135,276480,169.38,5.1042616e-06,394,1.3419186,0.028710937,276480,713.3562092781067,-0.2680753469467163,0.0030063419,-0.0030961118,0.0
136,278528,169.09,2.9354162e-05,394,1.3381891,0.05571289,278528,718.5514369010925,-0.5000250339508057,0.004837154,-0.0028604441,0.0
137,280576,169.51,7.548203e-08,393,1.3354135,0.058398437,280576,723.7455370426178,0.28639429807662964,0.005022726,-0.004432841,0.0
138,282624,169.39,5.7509766e-08,368,1.3256078,0.024169922,282624,728.9549157619476,0.6111197471618652,0.002867319,-4.749662e-05,0.0
139,284672,168.91,1.1186252e-07,379,1.3150465,0.025585938,284672,734.5071544647217,0.5362582504749298,0.0029337886,0.0013668991,0.0
140,286720,169.18,3.2295898e-07,390,1.3177993,0.029052734,286720,739.9037134647369,0.13924282789230347,0.0028984887,-0.001404928,0.0
141,288768,169.21,1.865989e-06,397,1.3216274,0.03857422,288768,745.1535158157349,-0.04272341728210449,0.0035148058,-1.976905e-05,0.0
142,290816,168.96,6.614293e-07,397,1.3298402,0.048583984,290816,750.3011219501495,-0.8220216035842896,0.004125268,-0.004227502,0.0
143,292864,169.2,9.071451e-06,385,1.329215,0.039746094,292864,755.4539444446564,0.6496212780475616,0.0036724824,-0.0004381176,0.0
144,294912,170.11,4.1862964e-07,371,1.3430219,0.033740234,294912,760.7679815292358,-0.36249756813049316,0.002915747,-0.0008802211,0.0
145,296960,170.31,6.815971e-07,385,1.3526933,0.046972655,296960,766.2839052677155,0.811834841966629,0.004228855,-0.0038426877,0.0
146,299008,170.55,1.4649822e-07,365,1.3410269,0.018896485,299008,771.5959260463715,0.9092218205332756,0.002187488,-0.00024558412,0.0
147,301056,170.37,1.5258947e-05,374,1.3246362,0.04140625,301056,777.2076773643494,0.8859122395515442,0.0037508837,-0.0017620698,0.0
148,303104,169.78,7.4872375e-08,364,1.3205361,0.05415039,303104,782.6822440624237,0.8708364814519882,0.0045848815,-0.001425714,0.0
149,305152,170.17,5.349856e-08,399,1.3208368,0.021289062,305152,788.3049881458282,0.787454143166542,0.0023964285,-0.00053609564,0.0
150,307200,170.51,8.614886e-08,379,1.3156631,0.031835936,307200,793.4278898239136,0.5953100919723511,0.003225021,-0.0012597727,0.0
151,309248,170.94,2.455654e-06,362,1.311359,0.040380858,309248,798.8251175880432,0.03146541118621826,0.003508394,-0.0031162943,0.0
152,311296,170.89,1.2820734e-06,381,1.3211501,0.027929688,311296,804.4726641178131,-0.7827379703521729,0.0028937124,-0.00036819713,0.0
153,313344,171.47,1.1528148e-05,396,1.3322065,0.04501953,313344,809.842474937439,0.023383140563964844,0.0038380674,-0.0018200934,0.0
154,315392,172.53,2.8270762e-07,386,1.3450592,0.057421874,315392,815.0111165046692,0.7817975282669067,0.0045615705,-0.0026047982,0.0
155,317440,173.77,9.963319e-08,369,1.3649118,0.03022461,317440,820.3138480186462,0.8108601868152618,0.002926656,-0.00081058184,0.0
156,319488,175.41,2.5461003e-07,377,1.3791654,0.067919925,319488,825.8557870388031,0.7727919816970825,0.005450714,-0.0029437346,0.0
157,321536,176.98,3.6610768e-06,387,1.3801672,0.034326173,321536,831.2783572673798,-2.700979471206665,0.003306267,-0.0013448286,0.0
158,323584,178.2,2.5714914e-07,395,1.3556197,0.054248046,323584,836.5697119235992,-3.1900858879089355,0.0052276547,-0.004378398,0.0
159,325632,179.54,1.4791642e-05,374,1.3447716,0.047851562,325632,841.7475516796112,-4.5221476554870605,0.003990275,-0.0028963513,0.0
160,327680,180.58,6.361743e-06,397,1.3442504,0.028515626,327680,847.2225756645203,-0.13357186317443848,0.0029509927,0.0006359547,0.0
161,329728,181.36,9.61489e-08,396,1.3323379,0.03569336,329728,852.3765199184418,0.3488149642944336,0.0033797822,-0.0019147443,0.0
162,331776,181.53,7.049095e-08,399,1.3258911,0.026904296,331776,857.539386510849,0.4644286036491394,0.0028267629,8.245873e-05,0.0
163,333824,181.32,1.2876859e-07,390,1.3244137,0.06123047,333824,862.6668593883514,0.5383117198944092,0.0049013407,-0.0028143446,0.0
164,335872,181.46,1.1556674e-06,378,1.3326288,0.043701172,335872,867.9140381813049,0.5495686829090118,0.00371044,-0.0020689364,0.0
165,337920,181.2,1.45877075e-05,392,1.3409226,0.035253905,337920,873.3206140995026,0.45805835723876953,0.0034630653,-0.002678246,0.0
166,339968,180.7,6.185536e-07,382,1.3365949,0.026855469,339968,878.5379114151001,0.45326417684555054,0.0028096754,-0.0010549288,0.0
167,342016,180.13,1.0022961e-07,365,1.3357444,0.05,342016,883.8898978233337,0.4765246510505676,0.004281962,-0.0016598382,0.0
168,344064,179.31,4.5875104e-06,383,1.344301,0.038671874,344064,889.4890294075012,0.2971992492675781,0.00356722,-0.00190747,0.0
169,346112,178.63,2.9118135e-07,396,1.326614,0.01640625,346112,894.8337807655334,0.040585458278656006,0.002203885,-0.0009605149,0.0
170,348160,178.53,6.3797486e-08,381,1.3186367,0.03671875,348160,900.0049588680267,-0.2415398359298706,0.0035036497,-0.0018071819,0.0
171,350208,178.23,4.46206e-06,377,1.3208401,0.042138673,350208,905.3685460090637,-0.06230199337005615,0.0037192055,-0.0032552183,0.0
172,352256,177.45,7.845187e-08,382,1.3308764,0.048583984,352256,910.790774345398,0.3860759735107422,0.0041980227,-0.0015007559,0.0
173,354304,176.91,7.5407934e-07,359,1.344757,0.056689452,354304,916.1447062492371,-0.5014979839324951,0.004532003,-0.002738211,0.0
174,356352,176.62,1.6754238e-05,398,1.3504679,0.0128417965,356352,921.847366809845,0.184856116771698,0.0018077698,-0.00026167047,0.0
175,358400,176.02,1.0305176e-06,380,1.3423735,0.03779297,358400,926.9912021160126,0.08612573146820068,0.0034932804,-0.001441071,0.0
176,360448,175.43,7.1642525e-08,356,1.3347929,0.043017577,360448,932.3791892528534,0.7640200704336166,0.0037530276,-0.0013257957,0.0
177,362496,174.52,1.00668285e-05,385,1.3343278,0.056347657,362496,938.1261858940125,0.6692140996456146,0.0046932558,-0.003968906,0.0
178,364544,174.17,6.9816835e-08,362,1.3304254,0.050585937,364544,943.4342782497406,0.5142449736595154,0.0045061503,-0.0017441718,0.0
179,366592,174.34,1.6579572e-05,383,1.3211046,0.06318359,366592,949.0852541923523,0.7693161070346832,0.0051567303,-0.003982217,0.0
180,368640,174.41,3.2784833e-06,387,1.3068445,0.058642577,368640,954.4237399101257,-0.19655930995941162,0.0050584464,-0.0034814354,0.0
181,370688,174.37,7.3876066e-08,358,1.2954975,0.056005858,370688,959.7039303779602,0.7543611377477646,0.0047710505,-0.00250919,0.0
182,372736,175.03,6.9913696e-08,376,1.2884374,0.04194336,372736,965.4105792045593,0.8501342087984085,0.0037108008,-0.00040214072,0.0
183,374784,176.19,3.773146e-08,381,1.2941649,0.07475586,374784,970.8582632541656,0.8276588916778564,0.0058716275,-0.003482509,0.0
184,376832,177.97,8.9148635e-08,372,1.2914261,0.03959961,376832,976.2252342700958,0.7147520780563354,0.003757938,-0.0024919398,0.0
185,378880,181.11,6.934063e-08,368,1.2819241,0.07368164,378880,981.7266347408295,0.6514236330986023,0.0060197297,-0.0021405327,0.0
186,380928,183.62,1.2516515e-05,390,1.2745539,0.026953125,380928,987.2786288261414,0.6992063522338867,0.0029548237,-0.002276385,0.0
187,382976,185.56,4.5275937e-07,371,1.2710642,0.019091796,382976,992.5208823680878,-2.315537452697754,0.0024138982,-0.002841836,0.0
188,385024,187.29,3.0216345e-08,363,1.2724577,0.04296875,385024,998.0364170074463,-0.36125993728637695,0.0037640831,-0.0010697145,0.0
189,387072,189.03,1.02547254e-07,390,1.2633051,0.046923827,387072,1003.673104763031,-0.11932480335235596,0.0040332647,-0.0029127677,0.0
190,389120,191.17,1.0913176e-05,398,1.2506043,0.055371094,389120,1008.9140911102295,0.2895796298980713,0.0049456516,-0.003625644,0.0
191,391168,191.81,9.288307e-07,379,1.2507325,0.037109375,391168,1014.055260181427,-4.038998126983643,0.0035289477,-0.0013317531,0.0
192,393216,192.68,2.0643685e-07,375,1.2509965,0.05263672,393216,1019.4488151073456,0.7083723843097687,0.004423622,-0.0046323603,0.0
193,395264,192.63,3.4306136e-06,394,1.2631462,0.056005858,395264,1024.899530172348,0.8854690119624138,0.0046976376,-0.0038287726,0.0
194,397312,191.47,2.108561e-06,384,1.2701046,0.045947265,397312,1030.0896322727203,0.9139750152826309,0.0041049137,-0.0024709865,0.0
195,399360,191.12,5.3932083e-05,371,1.2780168,0.03334961,399360,1035.4120099544525,-4.733952522277832,0.0032448329,-0.00063844305,0.0
