serial_timesteps,ep_reward_mean,fps,value_loss,time_elapsed,n_updates,policy_loss,clipfrac,policy_entropy,ep_len_mean,total_timesteps,explained_variance,approxkl
268288,362.07615515,355,19.819544,1960.6956956386566,131,-0.0043314947,0.059326172,1.5337288,497.54,268288,0.13483428955078125,0.0050783367
270336,378.20298375999994,333,19.609724,1966.4588856697083,132,-0.003662226,0.042675782,1.5443199,516.44,270336,0.11989301443099976,0.003813944
272384,394.31043675999996,253,19.68353,1972.6029136180878,133,-0.004057828,0.036083985,1.5559442,535.28,272384,0.13232821226119995,0.0035754754
274432,410.64686475,335,20.061085,1980.6828112602234,134,-0.0017293717,0.050146483,1.5623966,554.53,274432,0.13087433576583862,0.0043629403
276480,437.36766934999997,227,23.826769,1986.7924809455872,135,-0.0024154182,0.03730469,1.5659282,585.67,276480,0.1127173900604248,0.0033655502
278528,450.3803369,239,21.661314,1995.8122169971466,136,-0.0092847,0.08286133,1.5715625,600.84,278528,0.06660211086273193,0.007932234
280576,466.90999896,383,19.018827,2004.3726034164429,137,-0.003705455,0.043164063,1.5855238,619.83,280576,0.21056127548217773,0.003831897
282624,483.48190648,368,19.7467,2009.7105493545532,138,-0.0025310116,0.04135742,1.5921408,638.74,282624,0.19297903776168823,0.003723511
284672,500.22199818000007,371,20.155828,2015.2767605781555,139,-0.002803733,0.04169922,1.5936692,658.1,284672,0.14435487985610962,0.0035544462
286720,516.84887855,406,19.83565,2020.7890329360962,140,-0.0036713735,0.041503906,1.6002706,676.9,286720,0.13881009817123413,0.0036198546
288768,532.6711466200001,357,19.711527,2025.8290758132935,141,-0.0050210715,0.05678711,1.6038036,694.87,288768,0.09434640407562256,0.0050064805
290816,547.78720281,285,22.263035,2031.5544171333313,142,-0.0038754127,0.046191406,1.611496,712.16,290816,0.1268213391304016,0.0038829886
292864,564.5218628,270,19.010464,2038.72310256958,143,-0.0030906724,0.050048828,1.6143898,731.14,292864,0.23793190717697144,0.0045332005
