policy_entropy,time_elapsed,serial_timesteps,approxkl,clipfrac,explained_variance,fps,value_loss,policy_loss,ep_reward_mean,n_updates,total_timesteps,ep_len_mean
1.2728691,1114.5637028217316,438272,0.0051655318,0.06074219,0.768475130200386,370,13.212413,-0.00312971,230.77941949,214,438272,509.18
1.2876219,1120.0893034934998,440320,0.0075007104,0.079394534,0.6942444443702698,415,20.548944,-0.0010886813,227.10166643,215,440320,500.62
1.3020933,1125.0150747299194,442368,0.0059737964,0.07001953,0.8840874284505844,391,8.2867155,-0.004189819,222.4957891,216,442368,490.89
1.3169965,1130.2501718997955,444416,0.005049201,0.06040039,0.8830869942903519,395,7.9151297,-0.00066142704,221.02217144999997,217,444416,487.34
1.326393,1135.4313876628876,446464,0.0045816945,0.05415039,0.8732915222644806,387,9.282763,-0.0034864533,218.44271046999998,218,446464,481.69
1.3260437,1140.7242214679718,448512,0.005174918,0.06137695,0.9457310698926449,424,4.340316,-0.005609234,219.39274439000002,219,448512,481.8
1.3367394,1145.5531222820282,450560,0.005680807,0.06782226,0.7684332132339478,363,15.496405,-0.0038489215,216.41683368999995,220,450560,474.92
1.349587,1151.1847851276398,452608,0.005769467,0.068310544,0.8683452606201172,386,10.29277,-0.0033090294,215.14028131999999,221,452608,470.76
1.3503488,1156.4799363613129,454656,0.0067988313,0.080029294,0.8829859644174576,383,10.026487,-0.0013060984,215.52460336000001,222,454656,469.85
1.348768,1161.8205075263977,456704,0.0067773433,0.07475586,0.8206938356161118,361,14.414888,0.0023587511,217.22179481,223,456704,471.25
1.3576514,1167.4825868606567,458752,0.008852979,0.093896486,0.8193536400794983,370,13.267578,-0.00069681054,216.03231949000002,224,458752,468.8
1.3700194,1173.0059020519257,460800,0.0056226044,0.06601562,0.8692053109407425,393,10.389445,-0.005459207,216.23516903,225,460800,468.3
1.3782736,1178.2196583747864,462848,0.0061070174,0.074072264,0.8443832397460938,400,12.126627,-0.0025944547,217.11318493000002,226,462848,468.95
1.3933909,1183.3337125778198,464896,0.0050102184,0.06020508,0.9338088631629944,403,5.690616,0.00052536355,219.91013169,227,464896,472.72
1.3997018,1188.4087629318237,466944,0.005717627,0.06938477,0.9292980805039406,386,6.284385,-0.001803004,223.13202732,228,466944,476.9
1.3985511,1193.7061669826508,468992,0.0029724,0.030273438,0.9420161657035351,410,4.2120147,-0.0017164465,224.62690628000001,229,468992,479.0
1.4023666,1198.6985259056091,471040,0.0046109357,0.05292969,0.8989105075597763,412,7.2936525,-0.0020903014,225.70275543000002,230,471040,480.53
1.4095602,1203.667992591858,473088,0.0052804546,0.055908203,0.8566937148571014,381,11.094423,-0.00020865184,226.37911828999998,231,473088,480.47
1.4099815,1209.0402822494507,475136,0.0077471742,0.09331055,0.8608880937099457,395,11.611521,-0.0046957936,227.44928971,232,475136,481.81
1.4204834,1214.2206542491913,477184,0.0055991644,0.05913086,0.8951900452375412,375,8.65285,-0.0045374897,229.25877749000003,233,477184,483.91
1.4392507,1219.6800758838654,479232,0.004403026,0.048876952,0.9246057420969009,402,5.853184,-0.0007353246,230.21420345,234,479232,486.01
1.4448458,1224.7633831501007,481280,0.004232328,0.050390624,0.9434790425002575,405,4.232699,-0.004065926,231.07434700000002,235,481280,487.77
1.448107,1229.8113362789154,483328,0.007303276,0.079394534,0.9477235451340675,346,4.8541307,-0.0033303816,231.69177267999999,236,483328,488.76
1.4486878,1235.720759153366,485376,0.006012072,0.070654295,0.8705156147480011,334,9.504679,-0.0017129105,231.17700280999998,237,485376,487.63
1.451586,1241.8424339294434,487424,0.0053680195,0.057373047,0.9375980086624622,406,4.551917,-0.0022194798,231.79587780000003,238,487424,488.07
1.454598,1246.8772180080414,489472,0.0062362743,0.06977539,0.8628085106611252,379,11.075508,-0.0016988537,233.59392749000006,239,489472,490.41
1.4656752,1252.2760808467865,491520,0.0055844216,0.05859375,0.8532570600509644,415,12.272833,-0.0057054814,233.55573011,240,491520,489.74
1.4806799,1257.2034504413605,493568,0.006160763,0.07070313,0.8965936675667763,388,8.856749,-0.004064665,234.39603823000002,241,493568,490.27
1.4957753,1262.4775943756104,495616,0.008309734,0.08945312,0.8532349467277527,405,11.433759,0.0011944169,235.69308508999998,242,495616,491.67
1.4965847,1267.5264682769775,497664,0.0046119294,0.050439455,0.7880363613367081,412,13.862294,-0.0012238309,237.03068957999997,243,497664,493.78
1.4954703,1272.4967334270477,499712,0.005662215,0.06796875,0.9348372295498848,410,4.445957,-0.0037268554,240.86864399,244,499712,501.14
1.4994142,1277.4867675304413,501760,0.009210001,0.11142578,0.9382557384669781,421,3.810445,-0.0032315745,241.98582074,245,501760,503.09
1.5167145,1282.3507688045502,503808,0.008048552,0.08725586,0.8944262787699699,409,10.066713,-0.0040236088,244.11568969,246,503808,506.46
1.529924,1287.3476305007935,505856,0.0053001167,0.059814453,0.8637351244688034,386,9.358634,-0.005509055,244.47665948999997,247,505856,506.5
1.5421308,1292.6535067558289,507904,0.0037976373,0.04082031,0.6907933354377747,368,17.789925,-0.0027158041,245.75691289,248,507904,509.08
1.5404055,1298.2116072177887,509952,0.00862093,0.09448242,0.9616562537848949,378,3.329034,-0.00512904,247.69406357,249,509952,511.36
1.5345638,1303.6273367404938,512000,0.007827403,0.10112305,0.8971839621663094,428,8.569165,-0.0032894579,252.62518343,250,512000,519.27
1.5433618,1308.4080629348755,514048,0.0061668754,0.06777344,0.8320613652467728,349,11.391447,-0.00049072516,254.01843141,251,514048,522.24
1.5520165,1314.2695140838623,516096,0.0047492897,0.053125,0.8429580479860306,360,10.59363,-0.0027257006,256.8248084300001,252,516096,526.94
1.5682068,1319.9542863368988,518144,0.0068198876,0.083300784,0.9516804777085781,391,3.655038,-0.0040714107,259.3619104,253,518144,530.99
1.5811478,1325.1811685562134,520192,0.0060901344,0.0637207,0.8945069313049316,403,8.606958,-0.0062204483,258.67678911,254,520192,529.94
1.5855052,1330.255068063736,522240,0.0064498456,0.07314453,0.8976031318306923,414,8.841226,-0.0037667197,257.06807327999996,255,522240,526.12
1.5770242,1335.203144788742,524288,0.004034042,0.046435546,0.9466977976262569,400,4.755343,-0.0015370797,256.05618143,256,524288,523.95
1.5662119,1340.3243806362152,526336,0.0046224506,0.05307617,0.9174893274903297,354,7.9343596,-0.003569826,257.99181259999995,257,526336,526.27
1.5649617,1346.0964934825897,528384,0.005060483,0.058251955,0.9562520906329155,388,3.902558,-0.0013771002,260.62382347,258,528384,530.18
1.5671833,1351.3694984912872,530432,0.0041707326,0.047607422,0.9441926702857018,400,4.4394517,-0.0010036214,262.46467884000003,259,530432,533.8
1.5722269,1356.485359430313,532480,0.006089676,0.06386719,0.8766420930624008,377,10.659929,-0.0024941172,266.59716209,260,532480,540.91
1.572398,1361.913737297058,534528,0.007989045,0.09033203,0.8807381987571716,398,10.5060835,-0.0061526685,269.83715922999994,261,534528,545.67
1.5662949,1367.0596659183502,536576,0.0060335947,0.05620117,0.8937553614377975,367,7.9245367,-0.00085771456,273.97570616999997,262,536576,552.5
1.5636967,1372.6367528438568,538624,0.005348797,0.05698242,0.8947914689779282,404,8.99112,-0.002533797,278.79472017999996,263,538624,560.57
1.559934,1377.7018547058105,540672,0.0044064196,0.050195314,0.8628581017255783,346,9.317957,-0.003023372,283.42883866,264,540672,568.68
1.5503888,1383.608721256256,542720,0.009566141,0.10449219,0.9516266137361526,356,3.5002427,-0.0038092043,285.90389268,265,542720,572.28
1.5446228,1389.358444929123,544768,0.0062445877,0.075488284,0.9272831603884697,424,5.2561903,0.0009320869,292.90838315,266,544768,584.17
1.5468732,1394.1793558597565,546816,0.007473252,0.0836914,0.8504163771867752,377,12.41208,-0.0008155995,299.04655966999997,267,546816,593.87
1.5489299,1399.6124413013458,548864,0.0037406702,0.041259766,0.9163230955600739,353,4.045173,-0.001984288,303.76922443,268,548864,602.38
1.5335689,1405.4025511741638,550912,0.00580489,0.065820314,0.6819899082183838,391,19.270788,-0.00027458472,311.50926643,269,550912,616.07
1.5277917,1410.6309037208557,552960,0.005141609,0.06113281,0.7887956947088242,360,8.314341,-0.0041163377,311.50926643,270,552960,616.07
1.5311425,1416.3084545135498,555008,0.004758871,0.053613283,0.8595165610313416,402,5.920079,-0.0029461996,332.70500218999996,271,555008,650.34
1.5224675,1421.3958401679993,557056,0.006369792,0.06782226,0.779145210981369,398,4.7897315,-0.0021831251,332.70500218999996,272,557056,650.34
1.5125061,1426.5358781814575,559104,0.007205157,0.0737793,0.7777717560529709,383,11.648027,-0.0001931749,349.24675391999995,273,559104,678.03
1.5011379,1431.871838092804,561152,0.0066471025,0.0769043,0.80258409678936,389,12.041636,-0.004169655,353.3139006199999,274,561152,684.66
1.4903166,1437.1356282234192,563200,0.0075103296,0.08867188,0.7800440192222595,407,6.571917,-0.006424769,353.3139006199999,275,563200,684.66
1.4695357,1442.1622993946075,565248,0.0062433463,0.07080078,0.8452369719743729,397,6.9702883,-0.0018164052,380.06298316999994,276,565248,727.04
1.4687737,1447.313137292862,567296,0.005889866,0.06455078,0.8634922355413437,436,5.8336973,-0.0062426897,384.07739069,277,567296,733.59
1.4695812,1452.004674911499,569344,0.009878417,0.056005858,0.8528372347354889,394,8.357447,-0.0059017544,394.3404987900001,278,569344,750.32
1.4684126,1457.1917338371277,571392,0.0067088613,0.0769043,0.8807332664728165,400,5.2113028,-0.0019906932,405.23493556,279,571392,767.46
1.4607885,1462.3035821914673,573440,0.004637745,0.04814453,0.8706631809473038,409,5.2512693,-0.0018948102,411.55800081999996,280,573440,777.5
1.4513667,1467.3096907138824,575488,0.0059703994,0.062841795,0.8597818613052368,439,5.667075,0.0004968283,423.12689684000003,281,575488,796.09
1.4434042,1471.9721829891205,577536,0.0067005744,0.07460938,0.9342280328273773,392,1.8014562,-0.0036329024,423.12689684000003,282,577536,796.09
1.4271107,1477.1893684864044,579584,0.008959439,0.09975586,0.9366859272122383,405,1.0336843,-0.0038624355,423.12689684000003,283,579584,796.09
1.4227786,1482.244791984558,581632,0.008091284,0.07519531,0.8605362325906754,415,8.306624,-0.0022745826,453.7390752,284,581632,844.45
1.4161478,1487.178331375122,583680,0.00613984,0.070214845,0.9429470598697662,422,1.1730115,-0.0043611475,453.7390752,285,583680,844.45
1.4104898,1492.0313324928284,585728,0.007141168,0.08505859,0.8987096473574638,399,4.0606146,-0.0025374726,472.68018896000007,286,585728,874.54
1.4112656,1497.1600999832153,587776,0.0036721725,0.04086914,0.9012766778469086,383,4.990133,-0.0035061263,482.53150451,287,587776,890.46
1.4085941,1502.5002164840698,589824,0.0048651164,0.049121093,0.8992898836731911,404,4.128565,-0.0030063589,492.6839791900001,288,589824,906.8
1.4081061,1507.5685679912567,591872,0.0058237817,0.067675784,0.8806883245706558,423,4.580002,-0.0030324296,502.88934769,289,591872,922.89
1.3891108,1512.4080574512482,593920,0.009405175,0.09702148,0.9259901568293571,413,1.5229156,-0.0012971868,502.88934769,290,593920,922.89
1.3689345,1517.3602044582367,595968,0.0046799136,0.051464844,0.8748197108507156,372,5.4561176,-0.0030196323,522.3298694900001,291,595968,952.89
1.3674147,1522.8582150936127,598016,0.0049000583,0.054101564,0.8496378064155579,397,5.8730855,-0.0023725692,530.4562659500001,292,598016,965.61
1.3491163,1528.0082569122314,600064,0.01041722,0.10551758,0.9267215207219124,397,1.4059635,-0.0041525224,530.4562659500001,293,600064,965.61
1.3436271,1533.1602284908295,602112,0.010103717,0.11616211,0.8433946073055267,366,9.740374,-0.0067399843,555.09283765,294,602112,1004.06
1.3465765,1538.7439289093018,604160,0.0066507077,0.081884764,0.8268944323062897,376,6.5994215,-0.0018314889,566.8191832800001,295,604160,1022.41
1.3375037,1544.1775856018066,606208,0.0063215224,0.07119141,0.9499196782708168,354,1.2078364,-0.0029288542,566.8191832800001,296,606208,1022.41
1.3359684,1549.95343875885,608256,0.0069457656,0.080273435,0.9685246050357819,376,0.69014776,-0.0031481585,566.8191832800001,297,608256,1022.41
1.3337591,1555.3976531028748,610304,0.008382503,0.09853516,0.9539264068007469,372,0.7689389,-0.0050562797,566.8191832800001,298,610304,1022.41
1.3271103,1560.89044880867,612352,0.0061599826,0.07373047,0.9621565155684948,391,0.6152306,-0.0035777055,566.8191832800001,299,612352,1022.41
1.3156183,1566.1250536441803,614400,0.0069978535,0.07758789,0.9624247252941132,392,0.4518558,-0.0049672634,566.8191832800001,300,614400,1022.41
1.3038625,1571.3461289405823,616448,0.008038369,0.087890625,0.9797921366989613,361,0.53283113,-0.0043481966,566.8191832800001,301,616448,1022.41
1.2963159,1577.0193474292755,618496,0.0061797667,0.069970705,0.9691863879561424,366,0.31386563,-0.0067410716,566.8191832800001,302,618496,1022.41
1.294877,1582.60897564888,620544,0.0063363113,0.076220706,0.9773012083023787,362,0.3402387,-0.005369869,566.8191832800001,303,620544,1022.41
1.2895114,1588.2556641101837,622592,0.006578654,0.07993164,0.9647405296564102,383,0.41875935,-0.0068157027,566.8191832800001,304,622592,1022.41
1.2791245,1593.60267496109,624640,0.005603553,0.066992186,0.9802441373467445,401,0.21114583,-0.0007728125,566.8191832800001,305,624640,1022.41
