ep_len_mean,total_timesteps,approxkl,ep_reward_mean,policy_loss,fps,policy_entropy,n_updates,explained_variance,time_elapsed,clipfrac,value_loss,serial_timesteps
998.72,2398208,0.0033871115,753.06622049,-0.004092427,364,4.101205,1171,0.879542388021946,6405.936795473099,0.03540039,29.963123,2398208
1018.61,2400256,0.0042693336,770.7899283700001,-0.0038817362,351,4.1290503,1172,0.8673890233039856,6411.56126999855,0.046533205,15.067156,2400256
1022.77,2402304,0.0026264004,773.2220660600001,-0.0045979973,377,4.1497097,1173,0.9325222074985504,6417.396296739578,0.027050782,13.864412,2402304
1042.7,2404352,0.0045531904,790.6866425900001,-0.0035955284,371,4.170476,1174,0.8216245621442795,6422.82351064682,0.058886718,18.769545,2404352
1062.63,2406400,0.006004631,808.5584574600001,-0.006382785,383,4.1802945,1175,0.8650102317333221,6428.344839811325,0.07563476,19.117954,2406400
1089.92,2408448,0.0019558105,829.2924049700002,-0.003361342,396,4.179336,1176,0.8920875117182732,6433.694828271866,0.017138671,27.462666,2408448
1104.67,2410496,0.0029311753,843.5654944199999,-0.0034096395,362,4.183947,1177,0.8349824547767639,6438.862502813339,0.032958984,19.633007,2410496
1107.75,2412544,0.0025099055,845.4624529299998,-0.0022097018,372,4.1818175,1178,0.9022692739963531,6444.518334388733,0.024951171,10.846176,2412544
1122.81,2414592,0.0018627988,857.7321634099998,-0.002445047,384,4.1870914,1179,0.8252503573894501,6450.016379594803,0.019433593,33.69536,2414592
1133.29,2416640,0.0028625932,862.7730873799998,-0.0039584665,414,4.1882224,1180,0.9044084399938583,6455.347102642059,0.030712891,26.039557,2416640
1150.94,2418688,0.0040760874,878.58054132,-0.0029137167,368,4.1860948,1181,0.8480135053396225,6460.287738084793,0.048828125,19.681072,2418688
1154.04,2420736,0.0018047293,877.1625206499999,-0.0034968853,390,4.1733503,1182,0.6548917293548584,6465.847816228867,0.015332031,20.309679,2420736
1158.85,2422784,0.004130953,881.32399065,-0.003786908,380,4.1706347,1183,0.8506578058004379,6471.098552465439,0.046923827,18.620895,2422784
1169.27,2424832,0.004565931,892.2612212599998,-0.0035005775,355,4.1723075,1184,0.846794068813324,6476.4832928180695,0.05546875,18.03722,2424832
1171.05,2426880,0.0026084513,893.7394672099998,-0.003217437,398,4.1691904,1185,0.8647864311933517,6482.252738952637,0.026611328,31.490421,2426880
1190.89,2428928,0.0029013967,909.88758817,-0.0020192252,366,4.173085,1186,0.8409615904092789,6487.399803638458,0.032080077,19.415188,2428928
1196.02,2430976,0.003044653,914.19592967,-0.0042606127,390,4.1744857,1187,0.8319377303123474,6492.99104309082,0.033203125,18.741388,2430976
1201.72,2433024,0.0037510018,920.6579254600001,-0.0020609417,341,4.1733885,1188,0.8228254467248917,6498.24135684967,0.042089842,19.259806,2433024
1211.85,2435072,0.0026719314,928.6488815300003,-0.004365827,388,4.1734667,1189,0.8361382484436035,6504.246910333633,0.028515626,18.20232,2435072
1223.3,2437120,0.004606937,939.8090023800002,-0.004171661,372,4.178803,1190,0.8470870852470398,6509.519902944565,0.056005858,18.785297,2437120
1186.3,2439168,0.0016595556,908.6102018400001,-0.0037554547,404,4.182914,1191,0.7512349188327789,6515.01641535759,0.016357422,25.962727,2439168
1201.98,2441216,0.0031825125,923.41890177,-0.002370501,360,4.1843147,1192,0.8605255335569382,6520.077527999878,0.039404295,17.753191,2441216
