time_elapsed,serial_timesteps,ep_len_mean,ep_reward_mean,policy_loss,value_loss,clipfrac,n_updates,fps,policy_entropy,approxkl,explained_variance,total_timesteps
1151.6232419013977,481280,151.98,71.14,-0.0015724499,0.35978645,0.10874023,235,427,0.54498607,0.008436962,0.9977189034689218,481280
1156.4107148647308,483328,151.61,70.73,-0.0010692119,0.2053133,0.07260742,236,431,0.5423977,0.0058614286,0.998782834620215,483328
1161.1633670330048,485376,153.22,72.07,-0.00030744693,0.33341035,0.05732422,237,428,0.53405505,0.0047091246,0.998405785067007,485376
1165.9440367221832,487424,155.21,73.01,0.0005508211,1.2689817,0.06303711,238,431,0.5375871,0.0052450825,0.9950940180569887,487424
1170.6889901161194,489472,157.71,75.57,-0.0014305586,0.7289867,0.07470703,239,426,0.5388437,0.006031898,0.9975715090986341,489472
1175.4900312423706,491520,155.58,73.51,0.0009037565,0.3269984,0.06938477,240,430,0.5319423,0.005786548,0.9981483641313389,491520
1180.2478682994843,493568,153.78,71.59,-0.0018625238,0.892142,0.09423828,241,429,0.523229,0.0075717345,0.9955498990602791,493568
1185.0156972408295,495616,151.13,69.04,2.9233639e-05,0.25701398,0.0803711,242,434,0.51099473,0.006545295,0.9985830520745367,495616
1189.735735654831,497664,150.8,68.85,-0.0014174016,0.41854113,0.065625,243,432,0.49861884,0.00512769,0.9977078973315656,497664
1194.4726157188416,499712,150.77,68.48,-0.010145038,0.7676089,0.12612304,244,428,0.5041301,0.009504064,0.9960761093534529,499712
1199.2513377666473,501760,153.76,72.03,-0.0004199287,0.41926974,0.08779297,245,432,0.5079998,0.007280556,0.9983991562621668,501760
1203.989593744278,503808,151.91,71.0,-0.0081421295,0.5752815,0.10336914,246,432,0.49352422,0.008254511,0.9974548656027764,503808
1208.7244565486908,505856,151.6,71.31,-0.00083468936,1.0228167,0.05859375,247,431,0.47001117,0.0049809813,0.9964598543010652,505856
1213.47660446167,507904,151.49,71.49,-0.00019525774,0.8302835,0.09794922,248,432,0.45785776,0.0075512878,0.9964168993756175,507904
1218.212896347046,509952,150.79,70.86,0.0019829143,0.73764354,0.0809082,249,430,0.45597824,0.0065972074,0.9952910104766488,509952
1222.970309495926,512000,154.2,74.03,-0.0005062815,0.7489803,0.06147461,250,410,0.45894474,0.005050567,0.9973947959952056,512000
1227.9637734889984,514048,152.31,73.19,-0.0062470464,0.44414878,0.12011719,251,434,0.45360008,0.009104712,0.9975969530642033,514048
1232.6773657798767,516096,151.43,71.89,-0.00018873878,0.5030291,0.10102539,252,435,0.45076045,0.0082262345,0.9976411324460059,516096
1237.3821196556091,518144,151.02,71.39,-0.0002759861,0.9243385,0.055322267,253,429,0.45312124,0.004762615,0.9973880001343787,518144
1242.149126291275,520192,150.62,71.03,0.0019267052,0.24534614,0.09677734,254,437,0.44264793,0.008239082,0.9984440754633397,520192
1246.8362555503845,522240,149.0,69.52,-0.0013287266,0.634211,0.075732425,255,438,0.43784493,0.0059096636,0.9968247588258237,522240
1251.5062775611877,524288,148.37,68.45,0.0010811895,0.6523027,0.067675784,256,433,0.43969125,0.005710247,0.997169450391084,524288
1256.2318511009216,526336,147.16,68.4,-0.0012187139,0.7604302,0.13735351,257,437,0.43111295,0.011708956,0.9955813512206078,526336
1260.9185092449188,528384,150.01,70.96,-0.0003616637,1.4610327,0.08427735,258,434,0.42788023,0.007071709,0.995652396697551,528384
1265.6390645503998,530432,154.0,74.91,-0.002199722,0.4517576,0.060839843,259,432,0.42963868,0.005250745,0.9982861509779468,530432
1270.3722009658813,532480,154.9,75.65,0.001533496,1.0254526,0.080322266,260,434,0.43352333,0.0062865214,0.9964159158989787,532480
1275.083076953888,534528,157.49,77.23,-0.0012885893,1.371035,0.051855467,261,430,0.42728177,0.004642189,0.9968481387477368,534528
1279.8443500995636,536576,159.81,79.12,-0.00020386167,0.46894303,0.0909668,262,430,0.4167842,0.0076807016,0.9981390638276935,536576
1284.6048920154572,538624,162.9,82.04,-0.0021290344,0.7062346,0.08637695,263,436,0.40944976,0.0068615293,0.9975454800296575,538624
1289.2968244552612,540672,167.72,87.06,-0.0006597955,1.081581,0.07001953,264,429,0.40260363,0.0057492834,0.9977818029001355,540672
