explained_variance,clipfrac,approxkl,fps,ep_reward_mean,serial_timesteps,policy_loss,policy_entropy,value_loss,ep_len_mean,time_elapsed,n_updates,total_timesteps
0.7993803024291992,0.024267578,0.0026568328,308,547.4111852000001,163840,-0.0026544468,1.9712597,18.97733,580.98,519.0162258148193,80,163840
0.7110908329486847,0.014941406,0.0021099816,310,555.66553629,165888,-0.0018849509,1.9703951,27.56586,590.23,525.6622371673584,81,165888
0.9464641138911247,0.015478516,0.0017522011,305,560.5878553499999,167936,-0.00093840406,1.974988,14.682268,595.29,532.255925655365,82,167936
0.9665797166526318,0.050683595,0.004353069,306,574.0590084099999,169984,-0.006178421,1.9869823,12.640409,609.82,538.9511985778809,83,169984
0.956407468765974,0.009765625,0.001358645,302,583.12104545,172032,-0.00012897598,1.9961987,13.662816,619.57,545.6441359519958,84,172032
0.9562148936092854,0.015625,0.0017160563,305,589.7964414200001,174080,-0.001105632,1.998263,14.663999,626.62,552.4263732433319,85,174080
0.9805018156766891,0.024023438,0.0024946886,300,602.26686427,176128,-0.0018235318,2.0022206,12.536768,640.15,559.130895614624,86,176128
0.9367776736617088,0.016259765,0.0019632042,298,621.1811769299999,178176,1.4212518e-05,2.008342,12.73871,660.06,565.9463579654694,87,178176
0.9506486766040325,0.022753906,0.0023719878,296,631.8266226,180224,-0.0009667707,2.035162,11.229979,671.41,572.8007075786591,88,180224
0.9568650797009468,0.052197266,0.0044351323,301,644.9998658799999,182272,-0.0036381632,2.045473,11.368854,685.28,579.7135059833527,89,182272
0.0004621148109436035,0.036621094,0.0037360687,297,661.29872714,184320,-0.0015077025,2.0362885,18.280298,702.56,586.5101413726807,90,184320
0.9315763041377068,0.020019531,0.0024027377,296,671.14091544,186368,-0.0037248514,2.0291722,13.022066,713.07,593.3876996040344,91,186368
0.9623705819249153,0.034716796,0.0031929235,303,681.17180744,188416,-0.0052872295,2.0258803,11.788965,723.39,600.2901453971863,92,188416
0.9628350883722305,0.028076172,0.0026640615,303,690.1088150300001,190464,-0.0025863266,2.0255153,11.322184,732.93,607.0497601032257,93,190464
0.9522665292024612,0.024365235,0.002417033,299,700.82979479,192512,-0.0027003638,2.0268557,10.881361,744.49,613.8074080944061,94,192512
0.6985362470149994,0.038330078,0.0032923035,302,709.73933877,194560,-0.006204049,2.0355344,16.237965,753.72,620.6459217071533,95,194560
0.8610274195671082,0.014355469,0.001682285,305,728.6984409800002,196608,0.00051023613,2.0360198,13.9687195,773.63,627.4086701869965,96,196608
0.21697133779525757,0.037060548,0.0033161037,301,740.8833796100001,198656,-0.002559137,2.0582328,16.035015,786.76,634.1260461807251,97,198656
0.9503610841929913,0.029541016,0.0030365891,299,750.26574429,200704,-0.0033682883,2.0740066,10.050833,796.72,640.9249079227448,98,200704
0.9756293930113316,0.021533202,0.0025356212,300,761.8089511399999,202752,-0.0030136644,2.075825,8.313438,809.39,647.7653527259827,99,202752
0.9375674352049828,0.040527344,0.0033933842,307,772.8665960299998,204800,-0.0045731687,2.0779748,10.539122,821.09,654.584627866745,100,204800
0.985694239847362,0.05756836,0.004846882,303,784.9419852599999,206848,-0.0028808105,2.0911489,7.9557724,833.54,661.2504804134369,101,206848
