n_updates,approxkl,time_elapsed,serial_timesteps,explained_variance,policy_entropy,policy_loss,fps,total_timesteps,ep_reward_mean,ep_len_mean,clipfrac,value_loss
55,0.0014244051,354.1151943206787,112640,0.9419441819190979,1.9603059,-0.00083768216,300,112640,705.6905394199999,751.67,0.009667968,24.803375
56,0.003180534,360.9378001689911,114688,0.8388979882001877,1.9638338,-0.0028645985,305,114688,706.33527528,752.17,0.035058595,26.704784
57,0.002732092,367.6385576725006,116736,0.9500757232308388,1.9661833,-0.0015638012,302,116736,703.91332706,749.33,0.0296875,23.196234
58,0.0019973181,374.4006578922272,118784,0.9422322064638138,1.959852,0.0001736225,300,118784,706.9658696100003,752.42,0.0126953125,23.46476
59,0.0060957745,381.2261164188385,120832,0.9470035135746002,1.9611099,-0.006359468,304,120832,698.64610825,743.37,0.07353516,22.305
60,0.0026596626,387.9640076160431,122880,0.9522470980882645,1.9797627,-0.003106049,300,122880,679.55363172,723.0,0.025585938,18.735924
61,0.0012312793,394.7907063961029,124928,0.9537764899432659,1.991737,-0.00017518424,300,124928,667.2403026699999,710.4,0.0072265626,15.0623045
62,0.002949085,401.5968225002289,126976,0.9671492874622345,1.9986073,-0.0030939968,304,126976,659.03381402,700.61,0.029052734,18.246195
63,0.0014388282,408.3141918182373,129024,0.9512779712677002,2.0029886,-0.0014507247,301,129024,640.6401075600002,680.71,0.009960937,17.892612
64,0.0021984573,415.10322666168213,131072,0.9665460549294949,2.0078104,-0.0013539001,302,131072,622.5456054399999,660.85,0.018652344,15.639667
65,0.004023798,421.8671543598175,133120,0.9482244364917278,2.0001264,-0.0027427583,304,133120,607.8838507900001,645.31,0.043310545,16.189266
66,0.0025085341,428.58977031707764,135168,0.9646812044084072,1.9948822,-0.0010416331,302,135168,605.1081339699999,642.54,0.023730468,13.657872
67,0.0018415407,435.3562252521515,137216,0.9733535032719374,1.9929374,-0.002315161,300,137216,603.10400293,640.41,0.015576172,15.09944
68,0.0026494886,442.1743860244751,139264,0.9754787292331457,1.9917551,-0.0032479079,299,139264,596.4683612299999,633.39,0.02631836,12.568948
69,0.0029125153,449.0089280605316,141312,0.9650898799300194,1.9968174,-0.00060724904,302,141312,585.4313781999999,622.58,0.030566406,11.94208
70,0.0016214954,455.7897355556488,143360,0.9737030901014805,2.0028954,-0.00359973,304,143360,585.24934572,621.98,0.015429688,15.58589
71,0.0038516403,462.5212585926056,145408,0.9034975171089172,2.0075572,-0.0057246434,305,145408,582.04410745,618.91,0.044873048,17.230059
72,0.0049626166,469.2202937602997,147456,0.9567381553351879,2.0250082,-0.00536113,304,147456,565.72859172,601.58,0.05913086,12.897514
73,0.0022221208,475.9418044090271,149504,0.9703318048268557,2.0431705,-0.001080738,302,149504,560.87332346,597.06,0.015917968,11.425017
