time_elapsed,clipfrac,explained_variance,value_loss,ep_len_mean,policy_loss,n_updates,fps,policy_entropy,approxkl,serial_timesteps,total_timesteps,ep_reward_mean
1998.2603266239166,0.042138673,0.6381421685218811,11.04302,1609.57,-0.0011967564,396,407,2.2778354,0.0041806838,811008,811008,1034.17648848
2003.2929725646973,0.042138673,0.680483877658844,10.742885,1609.57,-0.0025801775,397,400,2.2712412,0.003851818,813056,813056,1034.90511816
2008.408420085907,0.05444336,0.7187890112400055,10.987719,1609.57,-0.0026694175,398,423,2.270225,0.004535756,815104,815104,1035.99381769
2013.2404730319977,0.055419922,0.7879175990819931,7.303689,1598.03,-0.005635869,399,354,2.2677557,0.0053118067,817152,817152,1028.19712541
2019.0224900245667,0.04916992,0.7674812823534012,9.29653,1598.03,-0.0011883971,400,413,2.2643075,0.0042920336,819200,819200,1027.55663427
2023.9781830310822,0.05288086,0.6388986110687256,13.24193,1598.03,-0.0026680676,401,389,2.262179,0.004424437,821248,821248,1027.9294225800002
2029.2382469177246,0.054296874,0.7328982353210449,11.46125,1598.03,-0.00055558374,402,399,2.2718873,0.0046081375,823296,823296,1027.95242768
2034.3669991493225,0.059570312,0.7938587367534637,9.686244,1598.03,-0.0026402434,403,419,2.2720077,0.0053424514,825344,825344,1028.00021693
2039.2514367103577,0.054736327,0.6682899296283722,11.653224,1598.03,-0.0009646452,404,419,2.2673464,0.0048643453,827392,827392,1028.19660748
2044.1318264007568,0.09462891,0.7292266488075256,10.850314,1598.03,-0.0042635794,405,411,2.2722087,0.0073547466,829440,829440,1028.0245428700002
2049.1111826896667,0.052001953,0.8138302564620972,17.338413,1596.88,-0.0013530297,406,390,2.2678263,0.0054021226,831488,831488,1027.84123571
2054.353086948395,0.04736328,0.7288775146007538,24.298912,1563.39,-0.0044691646,407,411,2.2684832,0.0043644807,833536,833536,1004.7415325799999
2059.334947824478,0.062451173,0.6846800446510315,9.470393,1563.39,-1.9356376e-06,408,411,2.2798047,0.005668798,835584,835584,1003.8510719899999
2064.3076255321503,0.042529296,0.6022763848304749,12.141014,1563.39,-0.000605522,409,410,2.2901568,0.0037623723,837632,837632,1003.85430256
2069.2921328544617,0.07280274,0.5677669644355774,13.08344,1580.34,0.00053754606,410,384,2.2841115,0.0063079866,839680,839680,1015.7757493999999
2074.6155812740326,0.055371094,0.6946131587028503,11.193661,1595.65,-0.00045324117,411,416,2.2793567,0.0051843533,841728,841728,1026.4767270099999
2079.534801721573,0.07138672,0.7557103335857391,11.378778,1610.99,-0.005793919,412,421,2.2785392,0.0055499934,843776,843776,1038.1110201
2084.391012430191,0.064892575,0.6374658346176147,11.810423,1626.36,-0.0023159613,413,384,2.2880306,0.005706654,845824,845824,1048.5995859799998
2089.7213594913483,0.026123047,0.7644321024417877,9.267387,1626.36,-0.0010596637,414,426,2.2931638,0.0025985509,847872,847872,1048.77213597
2094.526350736618,0.038623046,0.730172336101532,11.480762,1644.97,-0.0031730186,415,384,2.282758,0.0035986174,849920,849920,1061.5705747399998
2099.8558559417725,0.04921875,0.8721657246351242,5.6923933,1651.89,-0.0039217933,416,400,2.2771719,0.0043854634,851968,851968,1066.23449246
2104.975497484207,0.048779298,0.7732953280210495,9.899485,1651.89,-0.0033679972,417,390,2.2709289,0.004083528,854016,854016,1067.32023487
2110.2159152030945,0.05732422,0.7456264495849609,16.320192,1648.83,-0.0008679413,418,413,2.2617204,0.004801686,856064,856064,1066.7092545599999
2115.16734290123,0.09213867,0.6840733587741852,10.823817,1664.62,-0.0018219318,419,429,2.2722173,0.008779475,858112,858112,1077.69647266
2119.9322879314423,0.04160156,0.730676144361496,9.33224,1664.62,7.1384435e-05,420,391,2.2843742,0.0037773028,860160,860160,1077.83181401
2125.161071062088,0.059375,0.7504921406507492,9.733638,1664.62,-0.0014448364,421,398,2.2891574,0.004933203,862208,862208,1078.14183571
