policy_entropy,explained_variance,ep_reward_mean,clipfrac,fps,ep_len_mean,time_elapsed,approxkl,n_updates,serial_timesteps,policy_loss,value_loss,total_timesteps
1.6409616,0.4236801862716675,596.1107274000001,0.038427733,328,733.11,1355.905483007431,0.0036364857,109,223232,-0.0044134925,26.055984,223232
1.6565899,0.09383600950241089,613.08297686,0.038476564,255,751.83,1362.1443736553192,0.003415487,110,225280,-0.0019866615,28.299442,225280
1.67816,0.08632898330688477,630.29958443,0.047607422,281,770.67,1370.1759419441223,0.003989487,111,227328,-0.0058126235,27.030376,227328
1.699647,0.12330085039138794,647.19738033,0.039355468,249,789.43,1377.444096326828,0.0034354073,112,229376,-0.0037256894,27.050669,229376
1.7116877,0.5488316416740417,646.9785774200001,0.04091797,92,789.59,1385.6614425182343,0.0033813273,113,231424,-0.0052393,28.632486,231424
1.7375867,0.5594961941242218,647.0530503,0.042529296,343,789.65,1407.7308530807495,0.003910903,114,233472,-0.007520435,25.132603,233472
1.7590002,0.12944823503494263,664.3125085900001,0.037646484,272,808.37,1413.6939833164215,0.0036772725,115,235520,-0.0055856197,25.977047,235520
1.7668178,0.8157974183559418,678.3432940799999,0.047070313,67,822.3,1421.212837934494,0.00388881,116,237568,-0.004394203,24.31744,237568
1.7563012,0.8637388497591019,621.9389011299999,0.04526367,64,756.87,1451.398061990738,0.0042587183,117,239616,-0.0042254506,25.337751,239616
1.755449,0.8827050179243088,496.20378667999995,0.021972656,63,616.05,1482.9867930412292,0.0023508933,118,241664,-0.0011003113,21.988644,241664
1.7666279,0.844609871506691,269.66807446,0.039111327,60,365.48,1515.0342514514923,0.0037567425,119,243712,-0.0023628722,23.073664,243712
1.7656286,0.861038327217102,163.79511587000002,0.051464844,81,248.0,1549.1147253513336,0.004449904,120,245760,-0.005440249,16.982798,245760
1.772487,0.8366328775882721,111.18866727999999,0.02060547,127,189.63,1574.3727669715881,0.002291573,121,247808,-0.0007182111,17.259262,247808
1.7712562,0.4842613935470581,110.63905344000001,0.035009764,265,189.63,1590.4411447048187,0.0034849353,122,249856,-0.0028004062,24.183897,249856
