n_updates,policy_loss,fps,ep_len_mean,approxkl,policy_entropy,explained_variance,value_loss,time_elapsed,clipfrac,total_timesteps,serial_timesteps,ep_reward_mean
164,0.00084150647,295,1725.63,0.0005886891,2.5366352,0.0009927153587341309,18.945423,1085.1561574935913,0.0022949218,335872,335872,1631.3896849000002
165,-0.0013765249,300,1739.68,0.003190272,2.5468326,0.08676338195800781,18.23393,1092.0780003070831,0.033935547,337920,337920,1644.6126076400003
166,-0.00011761746,298,1752.82,0.002563642,2.554244,0.1334245800971985,17.779888,1098.8962020874023,0.027490234,339968,339968,1657.0898735700002
167,-0.0006801143,298,1762.38,0.0019327223,2.5610743,0.03173869848251343,18.80917,1105.7656638622284,0.013623047,342016,342016,1666.4249717800003
168,-0.0007926382,297,1779.16,0.0021237717,2.5514822,0.08901780843734741,17.939768,1112.6205942630768,0.019189453,344064,344064,1682.3747822000005
169,-0.002690854,301,1790.74,0.0034549863,2.5429232,0.02371925115585327,19.358187,1119.5135276317596,0.035205077,346112,346112,1693.1732038600003
170,-0.0013262508,297,1797.26,0.0015486438,2.5503306,0.15701407194137573,18.368013,1126.3015332221985,0.0125488285,348160,348160,1700.0005466300001
171,-0.002335187,299,1808.63,0.0025102873,2.5442414,0.03358250856399536,18.77277,1133.187148809433,0.024853516,350208,350208,1710.7040865800002
172,-0.0028213197,303,1821.88,0.0028371317,2.5430827,0.144334077835083,17.670652,1140.019518852234,0.028808594,352256,352256,1723.2746848700003
173,-0.0024207267,305,1823.5,0.0028267815,2.5558023,0.3399196267127991,15.876944,1146.7708985805511,0.027832031,354304,354304,1724.34144111
174,-0.0017033154,299,1828.92,0.0013272299,2.576465,0.29008984565734863,30.926352,1153.4824414253235,0.014208985,356352,356352,1729.7997196800002
175,-0.0024130454,298,1841.53,0.0044563836,2.5908244,-0.006696581840515137,18.86436,1160.3154730796814,0.057275392,358400,358400,1741.9013220000002
176,-0.0048218914,301,1837.22,0.0031022353,2.5925033,0.7922740578651428,26.593048,1167.1798734664917,0.03359375,360448,360448,1737.9326486500001
177,0.00041464268,300,1837.22,0.0012110017,2.598968,0.04042983055114746,18.649061,1173.9709384441376,0.0076171877,362496,362496,1738.08839826
178,-0.004534119,303,1838.09,0.005353859,2.5977414,0.1686728596687317,17.041122,1180.786271572113,0.06430664,364544,364544,1738.95685853
179,-0.0055042175,302,1835.0,0.0036892383,2.60639,0.8421364277601242,16.87363,1187.5351881980896,0.042333983,366592,366592,1735.7200330299997
