clipfrac,time_elapsed,policy_entropy,value_loss,serial_timesteps,total_timesteps,n_updates,ep_len_mean,fps,approxkl,explained_variance,policy_loss,ep_reward_mean
0.043554686,515.0123822689056,0.9344843,3.4039192,198656,198656,97,185.97,363,0.0036061343,0.9656317159533501,-0.0008206441,60.76
0.038427733,520.6423616409302,0.93389875,5.2672358,200704,200704,98,188.42,412,0.0040090373,0.9510724097490311,-0.0014385923,62.58
0.023486327,525.6062006950378,0.932044,6.6822767,202752,202752,99,188.01,389,0.0025371488,0.9511896781623363,-0.00040649832,61.51
0.02216797,530.8643977642059,0.932699,7.5711923,204800,204800,100,190.09,374,0.002527905,0.9558434337377548,4.579696e-05,63.03
0.045703124,536.3295528888702,0.92843616,6.3378,206848,206848,101,188.61,353,0.0039392663,0.9513353258371353,0.0002923449,61.3
0.072265625,542.131341457367,0.9236261,2.5662537,208896,208896,102,187.0,421,0.006303494,0.9694160930812359,-0.0025665315,59.25
0.03461914,546.9881286621094,0.9111949,5.7012277,210944,210944,103,188.22,375,0.0032100354,0.9620015919208527,-0.00075420877,60.0
0.028955078,552.4484717845917,0.9073399,5.0020304,212992,212992,104,191.1,390,0.0029577338,0.9641928933560848,-7.6722274e-05,62.09
0.045410156,557.6934826374054,0.9109022,4.7342415,215040,215040,105,190.63,378,0.004246586,0.9567027427256107,-0.0017040152,60.52
0.06298828,563.1032238006592,0.9188094,5.6298857,217088,217088,106,191.49,404,0.0052080792,0.9582771174609661,-0.000110704335,59.68
0.019189453,568.1625204086304,0.91253024,1.7830105,219136,219136,107,193.07,394,0.0024445548,0.9796373210847378,0.00081850466,61.02
0.06015625,573.3527977466583,0.89756453,2.296537,221184,221184,108,192.74,362,0.0053623277,0.9772506579756737,-0.0020032744,60.83
0.025097657,578.9990603923798,0.88242567,4.712705,223232,223232,109,193.15,361,0.0028732351,0.9673661440610886,-0.0007071998,61.29
0.03666992,584.6588551998138,0.87780255,2.1846595,225280,225280,110,190.31,373,0.003481337,0.9773002658039331,-0.00020905907,59.28
0.028955078,590.1500134468079,0.8844922,1.6413944,227328,227328,111,187.85,399,0.00316551,0.9771165736019611,-0.0013252326,57.54
0.047705077,595.2841308116913,0.88261014,3.4496188,229376,229376,112,186.46,401,0.004362761,0.9741322305053473,-0.0004689629,56.98
0.06357422,600.3820931911469,0.880455,4.213255,231424,231424,113,184.97,404,0.005283923,0.9710877127945423,-0.0022807,56.79
0.06279297,605.4431686401367,0.88087785,1.7693481,233472,233472,114,181.59,381,0.005198282,0.981958931311965,-0.0011249778,55.67
0.048046876,610.8088264465332,0.87464964,3.2247467,235520,235520,115,181.73,402,0.004229018,0.9824813045561314,-0.001180715,57.87
0.02993164,615.903094291687,0.866646,3.6322684,237568,237568,116,181.32,385,0.00315633,0.9776295851916075,-0.00041767932,59.3
0.03671875,621.2135570049286,0.85160196,6.1379185,239616,239616,117,180.4,414,0.0037495415,0.9715198278427124,-0.000697838,59.54
0.043310545,626.1508135795593,0.8335519,1.2972966,241664,241664,118,180.0,386,0.003973094,0.9868233175948262,-0.0006623055,60.75
0.03569336,631.4462451934814,0.8275325,6.4853544,243712,243712,119,181.47,390,0.0032670505,0.9741428382694721,-0.00023815283,63.48
0.025927734,636.6984057426453,0.82376194,4.950035,245760,245760,120,185.38,388,0.0026948967,0.9766040071845055,-2.0917209e-05,68.44
0.01826172,641.9686954021454,0.8203023,1.5683128,247808,247808,121,184.64,420,0.0024336516,0.9862614860758185,-0.00036493826,67.94
0.03227539,646.8378722667694,0.80729944,2.2158628,249856,249856,122,184.11,376,0.00324015,0.9856970328837633,-0.0019183379,68.05
0.035498045,652.280914068222,0.79723924,1.1554497,251904,251904,123,184.24,383,0.003428004,0.9894956042990088,0.00081913045,69.48
0.056689452,657.6230161190033,0.7876507,4.3576837,253952,253952,124,184.6,397,0.004941135,0.9809067640453577,-0.0015123754,70.33
0.035351563,662.7824327945709,0.7728429,4.3646555,256000,256000,125,186.78,318,0.0035258587,0.9819128140807152,0.0008062835,72.59
0.038916014,669.2142055034637,0.75571066,2.3064253,258048,258048,126,186.3,379,0.0038955328,0.9868234228342772,-0.00075972447,72.19
0.017480468,674.6144366264343,0.7427376,1.9209067,260096,260096,127,187.71,409,0.002174692,0.9880547234788537,0.00081052317,73.14
