fps,time_elapsed,ep_len_mean,value_loss,approxkl,clipfrac,explained_variance,policy_entropy,n_updates,total_timesteps,serial_timesteps,policy_loss,ep_reward_mean
288,2409.7301485538483,1398.69,22.36683,0.00851102,0.08364258,0.714297741651535,1.9287345,345,706560,706560,-0.0061529526,885.8055355000001
287,2416.842195034027,1380.77,4.064807,0.008008656,0.062060546,0.9086369574069977,1.9358562,346,708608,708608,-0.0058726114,874.4880854600001
292,2423.957650899887,1380.77,9.800577,0.007826176,0.09375,0.6655219793319702,1.9350398,347,710656,710656,-0.0003722145,875.8693451200002
289,2430.9618203639984,1395.16,11.266864,0.009819464,0.10688476,0.5840826332569122,1.9320078,348,712704,712704,0.00043067583,886.00837561
280,2438.0438437461853,1395.16,8.874228,0.0061439285,0.06958008,0.6358512341976166,1.9253275,349,714752,714752,0.00091153587,886.6194071099999
292,2445.33549118042,1395.16,9.572297,0.007782226,0.08964844,0.6457325518131256,1.9305956,350,716800,716800,0.0004535132,886.8704337399998
284,2452.3383283615112,1395.16,11.111297,0.0049441806,0.058154296,0.6478205025196075,1.9275434,351,718848,718848,-0.0029509882,886.6873187299998
300,2459.5484852790833,1390.18,13.429339,0.006706737,0.050732423,0.7972014844417572,1.9197325,352,720896,720896,-0.0017320178,883.73941634
292,2466.3590223789215,1390.18,10.80607,0.008458467,0.09375,0.5602123141288757,1.91802,353,722944,722944,-0.0035985908,883.79995384
311,2473.361296892166,1405.03,9.973433,0.005606757,0.06533203,0.7011241912841797,1.914244,354,724992,724992,0.0011960277,894.50418271
295,2479.9386055469513,1424.82,10.517244,0.0063446267,0.07749023,0.5819986462593079,1.9187458,355,727040,727040,-0.0008295375,907.1085123600001
288,2486.874055147171,1424.82,9.211836,0.0076686703,0.09301758,0.6793159246444702,1.9286966,356,729088,729088,-0.00071869674,907.3659172200001
307,2493.9708960056305,1424.82,9.762381,0.008105459,0.097509764,0.7296605408191681,1.9317105,357,731136,731136,0.0021673564,908.3717203
310,2500.634526491165,1439.64,12.427076,0.005792435,0.072460935,0.6645185649394989,1.9289898,358,733184,733184,-0.0018788762,920.0111091500002
304,2507.2315018177032,1439.64,8.966782,0.007891581,0.09301758,0.7821185439825058,1.9392723,359,735232,735232,-0.0009256044,920.73913942
287,2513.9647464752197,1452.25,16.120495,0.00681089,0.06992187,0.7761661261320114,1.9460087,360,737280,737280,0.0007106581,931.1657422799998
298,2521.128673315048,1418.88,8.164173,0.006171984,0.055078126,0.8688813000917435,1.9478916,361,739328,739328,-0.0038929111,908.93063172
303,2528.027848958969,1398.78,23.797937,0.0047402107,0.04916992,0.773228257894516,1.9516535,362,741376,741376,0.00019668513,897.3752040099998
298,2534.777232170105,1398.78,11.3361845,0.00639721,0.07836914,0.6910273730754852,1.9378169,363,743424,743424,-0.00040504718,898.4626281199999
296,2541.6487691402435,1412.53,9.622194,0.005691451,0.06782226,0.7272212207317352,1.929287,364,745472,745472,-0.0004430309,908.7448361799999
305,2548.547034740448,1412.53,12.787175,0.010946576,0.114746094,0.6265102326869965,1.9455025,365,747520,747520,-0.0031401496,909.6676888199999
292,2555.2423906326294,1427.29,9.149682,0.0055398094,0.066503905,0.7172259092330933,1.956453,366,749568,749568,-0.002191326,920.6255625099999
292,2562.2577311992645,1442.31,9.79146,0.00509999,0.056152344,0.7722511291503906,1.9549383,367,751616,751616,-0.0020089427,932.0742864599997
282,2569.2693786621094,1440.88,4.7164173,0.0073426785,0.08178711,0.9169370830059052,1.9510143,368,753664,753664,-0.00014886436,931.68771301
295,2576.530663728714,1440.88,9.48862,0.009409565,0.12216797,0.7067183256149292,1.9395746,369,755712,755712,-0.0034597064,933.0825389399998
289,2583.4619975090027,1455.73,10.0295725,0.008249244,0.096386716,0.6569034159183502,1.9419177,370,757760,757760,-0.002334394,943.7436998600001
291,2590.533022403717,1455.73,11.177121,0.007121927,0.06933594,0.6505407989025116,1.948321,371,759808,759808,-0.003759026,943.9706663999999
288,2597.5707697868347,1455.73,9.932973,0.004974421,0.060595702,0.6575731635093689,1.9502306,372,761856,761856,-0.0008337116,944.3465805299999
300,2604.659255027771,1457.47,22.0064,0.008514518,0.08325195,0.776846170425415,1.9616652,373,763904,763904,-0.0061339764,945.5527836099998
302,2611.472100019455,1414.95,19.617933,0.0077763274,0.06679688,0.8271696716547012,1.9762983,374,765952,765952,-0.0053816224,916.60765816
301,2618.2452335357666,1414.95,8.977963,0.0040406943,0.046923827,0.7387363314628601,1.9800432,375,768000,768000,-0.0017333718,917.06163047
292,2625.041548013687,1427.11,13.604306,0.005170086,0.06386719,0.5172325670719147,1.987228,376,770048,770048,-0.0014435208,925.67588694
288,2632.0560145378113,1414.62,14.703217,0.006659048,0.07441406,0.8584480583667755,2.0023127,377,772096,772096,-0.0035538867,917.7081905899997
289,2639.157021999359,1425.79,10.87403,0.005582438,0.06015625,0.8967209830880165,2.0155697,378,774144,774144,0.0011248706,926.3014024099997
292,2646.2351763248444,1413.35,10.548461,0.0035640995,0.039257813,0.8641174882650375,2.0201302,379,776192,776192,-0.00080381223,917.7428134399998
292,2653.249279022217,1407.28,15.12056,0.004597415,0.053466797,0.753818154335022,2.0249581,380,778240,778240,-0.0019168304,914.2114288999999
292,2660.253376722336,1402.74,4.0920343,0.0034656741,0.039257813,0.9218439906835556,2.0302103,381,780288,780288,-0.0007454091,911.5011420699999
296,2667.2605583667755,1402.74,9.480916,0.0070931674,0.084667966,0.7816756367683411,2.0444121,382,782336,782336,-0.0028771784,912.2383629300001
288,2674.161320209503,1402.74,9.419082,0.005526537,0.06381836,0.7655749171972275,2.0528045,383,784384,784384,-0.0011344003,912.86259179
284,2681.2620799541473,1402.74,13.155228,0.0045579346,0.050976563,0.7471069395542145,2.0511932,384,786432,786432,-0.00027936976,913.4170582
284,2688.458616256714,1402.74,10.001083,0.0076182587,0.07729492,0.7273609936237335,2.042609,385,788480,788480,-0.001216349,913.4152235
293,2695.657994747162,1402.74,9.77455,0.006004871,0.0637207,0.7597927749156952,2.0431242,386,790528,790528,-0.0007575574,913.03563342
300,2702.6488361358643,1391.25,5.23032,0.004553613,0.0484375,0.8946122527122498,2.0516546,387,792576,792576,-0.003370671,904.5595764299998
288,2709.4642837047577,1391.25,12.530155,0.004401723,0.049902342,0.6728441715240479,2.0597944,388,794624,794624,-0.00014552167,904.64040821
281,2716.569291114807,1391.25,12.318485,0.009466433,0.10800781,0.6062252819538116,2.0542145,389,796672,796672,-0.0020662597,905.1036370799999
280,2723.850843191147,1391.25,10.528457,0.008746105,0.1065918,0.6568718254566193,2.059564,390,798720,798720,-0.004321423,902.6467670099998
289,2731.1496617794037,1391.25,11.806468,0.0057064956,0.0647461,0.730879545211792,2.0816004,391,800768,800768,-0.0032515533,901.6281863399998
296,2738.2310140132904,1391.25,11.228104,0.0065636495,0.07900391,0.6043285131454468,2.095427,392,802816,802816,-0.0013805357,901.3358309900001
295,2745.138598680496,1391.25,8.971741,0.008233273,0.093652345,0.6665875911712646,2.1038098,393,804864,804864,-0.0012275694,901.0424768700001
285,2752.0740597248077,1391.25,11.316034,0.0050698374,0.05756836,0.6804780066013336,2.1112924,394,806912,806912,-0.0018249245,900.6301364000001
296,2759.2447488307953,1389.03,4.600164,0.0073913494,0.07446289,0.8834545016288757,2.1170988,395,808960,808960,-0.0017620635,900.4329342
296,2766.1538491249084,1389.03,9.731869,0.00838721,0.09282227,0.7706507593393326,2.12355,396,811008,811008,-0.0025462764,900.1032094100001
297,2773.0675921440125,1394.74,18.55051,0.0053075305,0.056884766,0.786490797996521,2.1102715,397,813056,813056,-0.0013420869,904.8068735400001
292,2779.963743209839,1411.67,11.218586,0.0047524082,0.06020508,0.7056302428245544,2.104952,398,815104,815104,-0.002427589,916.7320765099998
273,2786.9738161563873,1428.69,11.700747,0.0058197035,0.064648435,0.7309962809085846,2.1103053,399,817152,817152,-0.004074729,929.22927605
297,2794.450259447098,1428.31,11.938126,0.0057862396,0.068359375,0.8181174397468567,2.1113768,400,819200,819200,-0.004149716,929.7596179799999
291,2801.3426570892334,1444.19,12.124623,0.0054273875,0.06411133,0.7078060507774353,2.1133733,401,821248,821248,7.570289e-05,942.1379918300001
269,2808.3589839935303,1460.07,12.762318,0.007498541,0.059228517,0.6265780329704285,2.121792,402,823296,823296,-0.0037025325,953.1174996
295,2815.953229665756,1443.28,3.9213398,0.003947775,0.039794922,0.9355175048112869,2.1251292,403,825344,825344,-0.003373393,940.98564048
288,2822.8749108314514,1443.28,13.928923,0.006335672,0.07553711,0.6336390972137451,2.1328576,404,827392,827392,-0.0069409283,941.5082440200001
288,2829.9722578525543,1460.15,11.698286,0.004953875,0.058154296,0.7751841843128204,2.1396713,405,829440,829440,-0.0005765344,953.41301246
292,2837.0627734661102,1458.98,19.393827,0.0064635584,0.07138672,0.7556006610393524,2.1329284,406,831488,831488,-5.7845726e-05,953.6030234300001
293,2844.064782142639,1425.36,17.674053,0.0059804553,0.06274414,0.8094830363988876,2.1268425,407,833536,833536,-0.0023915996,931.5552062900001
289,2851.048310279846,1425.36,11.960129,0.00562414,0.06938477,0.7357031404972076,2.1390014,408,835584,835584,-0.00326845,932.87070366
294,2858.132244825363,1425.36,11.564574,0.006437783,0.08100586,0.677364856004715,2.150777,409,837632,837632,-0.0030491487,932.8446267999998
303,2865.1277844905853,1415.87,5.572782,0.004742718,0.052978516,0.8827121779322624,2.1650953,410,839680,839680,-0.0021259307,926.78725122
285,2871.875589132309,1415.87,10.439388,0.004370795,0.053125,0.7533619254827499,2.1790931,411,841728,841728,-0.003931976,927.6733807100001
281,2879.0617043972015,1416.52,14.623873,0.004507516,0.051367186,0.8173147588968277,2.1878088,412,843776,843776,-0.0007662574,928.3505996400002
287,2886.331823825836,1422.71,18.318655,0.0037760932,0.040966798,0.715609073638916,2.1882925,413,845824,845824,-0.0026281797,932.0473961400002
285,2893.456950187683,1406.73,11.876203,0.0046279817,0.054052733,0.8959987759590149,2.197105,414,847872,847872,-0.0045540333,920.83502228
292,2900.639256000519,1419.27,6.3183293,0.0049572513,0.052197266,0.876198872923851,2.2124577,415,849920,849920,-0.0040505114,929.8188930399999
288,2907.646889448166,1411.97,16.785015,0.0041201813,0.047509767,0.8502430021762848,2.222892,416,851968,851968,-0.00482976,925.4567792400002
292,2914.7422466278076,1364.81,14.603696,0.005408131,0.059326172,0.8404636383056641,2.2272499,417,854016,854016,-0.003397143,894.5647019800002
295,2921.746921300888,1364.81,12.520086,0.00396444,0.045556642,0.6597980260848999,2.2277539,418,856064,856064,-0.0016135836,895.18966878
293,2928.669840335846,1361.61,2.5491142,0.005643579,0.06757812,0.9523380473256111,2.225139,419,858112,858112,-0.006347496,892.9554153400001
295,2935.6425926685333,1355.57,7.970824,0.005887874,0.06679688,0.9145271852612495,2.2325346,420,860160,860160,-0.0026048226,890.2674786500002
290,2942.5763127803802,1323.81,7.8894653,0.0040786695,0.038769532,0.8981336131691933,2.2506955,421,862208,862208,-0.005073514,868.5238662699999
287,2949.6349968910217,1307.34,16.350517,0.0059914077,0.067871094,0.8052774369716644,2.2522435,422,864256,864256,-0.0022614133,856.4425526699998
288,2956.7544419765472,1306.78,3.1559067,0.0033241895,0.03666992,0.9449325203895569,2.2520099,423,866304,866304,-0.0025120517,855.4870126399999
292,2963.86501121521,1306.78,12.058409,0.0040006945,0.042089842,0.6799583733081818,2.254738,424,868352,868352,-0.0007622276,855.23809048
293,2970.8639857769012,1316.21,5.7906713,0.0057657855,0.06669922,0.9384978301823139,2.252496,425,870400,870400,-0.0016027034,861.5654062699998
300,2977.8468792438507,1330.37,4.66673,0.0047806865,0.05288086,0.9105005785822868,2.2604268,426,872448,872448,-0.004991838,871.85408966
294,2984.670501947403,1326.04,3.0232484,0.0050850236,0.053955078,0.9444055818021297,2.268561,427,874496,874496,-0.0040046265,869.61464489
291,2991.63751411438,1341.53,9.560797,0.0029266255,0.032324217,0.733654797077179,2.270499,428,876544,876544,-0.0013962935,880.5347183199999
284,2998.664083003998,1359.3,14.275505,0.005336811,0.06547852,0.7980043888092041,2.2775788,429,878592,878592,-0.0054760245,892.6919958999999
280,3005.865330219269,1359.3,12.330955,0.0045201248,0.049902342,0.6679527759552002,2.286546,430,880640,880640,-0.001402729,892.4242405800001
295,3013.228152990341,1359.3,8.85029,0.006097239,0.07167969,0.8209149092435837,2.2916229,431,882688,882688,-0.0047183326,892.63385632
295,3020.159420967102,1359.3,9.058053,0.0057844343,0.066064455,0.7675778120756149,2.297183,432,884736,884736,-0.0014402174,892.4982890899998
303,3027.126971721649,1359.3,10.93972,0.003421624,0.035986327,0.7192300260066986,2.3016098,433,886784,886784,-0.0026743629,892.6618832799999
293,3033.8758873939514,1359.3,8.981594,0.005640379,0.06328125,0.7730760872364044,2.2968926,434,888832,888832,-0.0020754477,892.4703608299999
292,3040.8612611293793,1359.43,13.393672,0.006054434,0.07504883,0.8224891871213913,2.3068576,435,890880,890880,-0.005188366,891.6422967499999
288,3047.8649599552155,1359.43,11.2172985,0.0041924277,0.05053711,0.6808259189128876,2.3222759,436,892928,892928,-0.00031180764,892.1373582300001
281,3054.9725036621094,1359.43,11.710455,0.0056969314,0.066308595,0.6996592581272125,2.3311505,437,894976,894976,-0.0015179731,892.1924896200002
