serial_timesteps,explained_variance,total_timesteps,approxkl,policy_entropy,clipfrac,fps,policy_loss,n_updates,time_elapsed,value_loss,ep_len_mean,ep_reward_mean
92160,0.10247021913528442,92160,0.003757881,1.3775887,0.042089842,239,-0.0029248318,45,441.0068016052246,13.941851,2560.03125,622.514617875
94208,-0.038263559341430664,94208,0.003800076,1.3947084,0.043896485,238,-0.00457066,46,449.5735604763031,17.82857,2560.03125,622.514617875
96256,-0.34577131271362305,96256,0.0039092065,1.402003,0.044287108,239,-0.0038069438,47,458.16335940361023,17.817772,2560.03125,622.514617875
98304,0.03408569097518921,98304,0.0021301503,1.3982644,0.019677734,177,-0.00037573697,48,466.73268270492554,3.439462,2916.878787878788,819.5618074848484
100352,0.13996082544326782,100352,0.0028501416,1.4024771,0.026904296,182,-0.0049488354,49,478.27829670906067,7.3821077,2892.470588235294,818.4097483529412
102400,0.1823534369468689,102400,0.004089823,1.4108273,0.047070313,238,-0.0028899363,50,489.48404240608215,17.525604,2892.470588235294,818.4097483529412
104448,-0.22875893115997314,104448,0.0028812967,1.4095161,0.0265625,92,-0.0023801946,51,498.0615441799164,7.597795,2941.2285714285713,864.2459821142857
106496,0.15832632780075073,106496,0.0022676869,1.4004776,0.017773438,239,-0.0010766138,52,520.2278954982758,12.788237,2941.2285714285713,864.2459821142857
108544,0.1538754105567932,108544,0.0022422061,1.3972061,0.020166015,238,-0.0010095339,53,528.7953522205353,15.646924,2941.2285714285713,864.2459821142857
110592,0.16670262813568115,110592,0.004236395,1.3948088,0.04663086,176,-0.0012562752,54,537.3849813938141,7.427765,3043.6111111111113,935.8564669722223
112640,0.25068962574005127,112640,0.003056983,1.3915746,0.030615235,238,-0.0027270315,55,548.9865055084229,8.591801,3043.6111111111113,935.8564669722223
114688,0.1563100814819336,114688,0.001873979,1.3870368,0.015380859,182,-0.002835888,56,557.5721561908722,7.562281,3064.4054054054054,957.3583139459461
