ep_len_mean,n_updates,fps,value_loss,total_timesteps,time_elapsed,policy_entropy,approxkl,explained_variance,ep_reward_mean,serial_timesteps,clipfrac,policy_loss
237.78,77,137,1.4545142e-06,157696,1355.7826273441315,1.1931294,0.0042830305,0.49690669775009155,0.0,157696,0.047314454,-0.0038802116
245.14,78,137,1.474466e-06,159744,1370.642939567566,1.185891,0.003620683,0.14201843738555908,0.0,159744,0.041308593,-0.0031549428
252.14,79,169,1.4858269e-05,161792,1385.5019104480743,1.1865275,0.0035828813,-0.1479799747467041,0.0,161792,0.04135742,-0.0029089698
259.03,80,144,2.1535704e-06,163840,1397.5739438533783,1.1919132,0.004507579,0.2842050790786743,0.0,163840,0.05546875,-0.0031587768
267.06,81,162,9.597578e-06,165888,1411.7306652069092,1.1980071,0.0036901578,0.4488718509674072,0.0,165888,0.041796874,-0.0041008154
266.25,82,136,1.1341675e-05,167936,1424.298014163971,1.2039573,0.0038266447,0.6033097207546234,0.0,167936,0.041650392,-0.001898
268.47,83,128,7.227006e-07,169984,1439.315966129303,1.1999973,0.005063869,0.5661188960075378,0.0,169984,0.05732422,-0.0042347815
273.66,84,145,6.4119433e-07,172032,1455.2396564483643,1.1953164,0.005136822,0.4235984683036804,0.0,172032,0.056103516,-0.0034691405
275.35,85,116,1.282729e-06,174080,1469.309537410736,1.1899335,0.0044941595,-0.6904526948928833,0.0,174080,0.049951173,-0.0030825357
278.03,86,117,5.847413e-06,176128,1486.8892786502838,1.193019,0.0059748637,0.49996715784072876,0.0,176128,0.072460935,-0.0043103853
277.67,87,123,6.4726795e-05,178176,1504.3087129592896,1.1927674,0.005120671,0.6100514531135559,0.0,178176,0.06088867,-0.0039740475
280.06,88,164,1.2282884e-06,180224,1520.8612914085388,1.1898718,0.004637215,0.5985014736652374,0.0,180224,0.056005858,-0.0043268497
282.13,89,152,1.0322701e-06,182272,1533.2911994457245,1.193581,0.0047150725,0.5491296350955963,0.0,182272,0.054052733,-0.004302853
284.25,90,109,7.546103e-07,184320,1546.726705789566,1.1872797,0.005607718,0.4226624369621277,0.0,184320,0.06948242,-0.0048024384
286.04,91,132,5.517655e-07,186368,1565.4646813869476,1.1701567,0.00505181,0.16204851865768433,0.0,186368,0.06137695,-0.006099603
286.8,92,118,5.3675257e-07,188416,1580.8726806640625,1.142412,0.0034990497,0.048171818256378174,0.0,188416,0.037988283,-0.0037045826
286.76,93,147,4.524226e-06,190464,1598.1789238452911,1.1250727,0.0040874323,-0.05105900764465332,0.0,190464,0.046826173,-0.0026573418
287.59,94,126,1.3879151e-06,192512,1612.0716354846954,1.1220183,0.004418929,0.04715162515640259,0.0,192512,0.051660158,-0.0022273355
289.07,95,114,4.8023503e-07,194560,1628.22385764122,1.1224067,0.0038801027,0.3609417676925659,0.0,194560,0.042529296,-0.0026304224
291.48,96,134,6.999911e-07,196608,1646.185221195221,1.1293466,0.004066237,0.4947584867477417,0.0,196608,0.043945312,-0.0029164283
295.09,97,125,8.3598104e-07,198656,1661.4400737285614,1.143029,0.0040131644,0.44066476821899414,0.0,198656,0.046484374,-0.004565383
296.5,98,153,2.043977e-05,200704,1677.8180782794952,1.148136,0.0052222223,0.4921577572822571,0.0,200704,0.061914064,-0.0034052401
298.65,99,164,6.980164e-07,202752,1691.1807436943054,1.1455905,0.004583229,0.5502529740333557,0.0,202752,0.053808592,-0.0042115264
304.77,100,142,8.542185e-07,204800,1703.6240212917328,1.1437941,0.0048211566,0.6696914434432983,0.0,204800,0.051171876,-0.0024918227
310.11,101,154,3.3691862e-07,206848,1718.0192046165466,1.1456649,0.0042807185,0.6459850668907166,0.0,206848,0.04926758,-0.001568014
313.69,102,172,9.781266e-06,208896,1731.3032965660095,1.1511713,0.0058326093,0.6807352602481842,0.0,208896,0.072949216,-0.0030982797
318.03,103,124,5.118724e-07,210944,1743.1940462589264,1.1453851,0.0057664146,0.6628459095954895,0.0,210944,0.05581055,-0.00388177
322.15,104,164,1.377415e-06,212992,1759.6183052062988,1.127172,0.0042972052,0.4688335061073303,0.0,212992,0.048779298,-0.0008382591
322.85,105,150,4.796645e-06,215040,1772.0517942905426,1.1281537,0.005391124,0.2800562381744385,0.0,215040,0.066308595,-0.0061477562
324.94,106,101,2.887251e-06,217088,1785.6168348789215,1.1281116,0.007020887,0.25569063425064087,0.0,217088,0.09282227,-0.0049462216
323.72,107,165,1.8726994e-06,219136,1805.7794406414032,1.123574,0.0046208124,0.2716178297996521,0.0,219136,0.051464844,-0.0045950366
320.95,108,130,1.0276232e-05,221184,1818.1400322914124,1.1231313,0.0034550726,0.06991910934448242,0.0,221184,0.035302736,-0.0017781683
318.89,109,154,7.519144e-07,223232,1833.8832278251648,1.1275359,0.004361977,0.22134298086166382,0.0,223232,0.050195314,-0.0026437887
316.53,110,130,4.6411986e-07,225280,1847.1219565868378,1.1286609,0.0032341168,0.22697490453720093,0.0,225280,0.037597656,-0.0023702453
314.98,111,133,3.6466001e-06,227328,1862.8209853172302,1.1266164,0.005126656,-1.0802903175354004,0.0,227328,0.05581055,-0.004577399
313.03,112,125,7.5400385e-07,229376,1878.1366319656372,1.1186715,0.0048424387,-0.48793506622314453,0.0,229376,0.05908203,-0.0037290293
311.84,113,155,2.9599996e-05,231424,1894.4122557640076,1.121381,0.005884125,0.4861069321632385,0.0,231424,0.07373047,-0.004878485
308.62,114,143,1.1265156e-06,233472,1907.5872223377228,1.12852,0.004340372,0.594330906867981,0.0,233472,0.051220704,-0.002516802
304.33,115,106,5.663852e-07,235520,1921.8446683883667,1.133124,0.00502026,0.4726620316505432,0.0,235520,0.061572265,-0.0046240804
299.03,116,92,1.1839943e-06,237568,1941.1393435001373,1.1414647,0.005543337,0.49261194467544556,0.0,237568,0.067871094,-0.0059507405
292.88,117,106,1.1856739e-06,239616,1963.285786151886,1.1355121,0.0054684775,0.4655073881149292,0.0,239616,0.065136716,-0.0051200283
283.13,118,105,3.1341995e-07,241664,1982.4348261356354,1.128436,0.0036295,0.5084021985530853,0.0,241664,0.03725586,-0.0016392425
274.02,119,110,7.016018e-07,243712,2001.7996182441711,1.1194246,0.0036844325,0.3365684151649475,0.0,243712,0.041796874,-0.0017093119
268.95,120,130,2.404883e-06,245760,2020.3584325313568,1.1066068,0.0045595644,0.26308363676071167,0.0,245760,0.05366211,-0.005145844
262.41,121,86,3.049158e-05,247808,2036.0605652332306,1.0962431,0.006690759,-0.5231918096542358,0.0,247808,0.08613281,-0.0063780746
256.25,122,123,2.4848163e-07,249856,2059.872320175171,1.10123,0.0063028126,-0.7244707345962524,0.0,249856,0.08500977,-0.0044189533
251.39,123,108,1.7013207e-07,251904,2076.3966302871704,1.108464,0.004908642,-1.9843688011169434,0.0,251904,0.06201172,-0.0050541637
247.16,124,140,1.0410308e-07,253952,2095.23077583313,1.1030767,0.007245384,-1.1775343418121338,0.0,253952,0.08706055,-0.0057997443
242.35,125,129,9.219408e-08,256000,2109.761482477188,1.094249,0.006097277,-1.1601080894470215,0.0,256000,0.07075195,-0.0048897006
236.88,126,105,4.4246326e-06,258048,2125.569396018982,1.0938691,0.005744204,-3.1310272216796875,0.0,258048,0.07553711,-0.0032392952
233.51,127,97,8.428833e-06,260096,2144.999022245407,1.0961741,0.0053380714,0.6723906099796295,0.0,260096,0.06274414,-0.003429714
229.01,128,106,4.2305523e-06,262144,2165.9883472919464,1.0941613,0.008474645,0.5484576523303986,0.0,262144,0.08657227,-0.0073087523
228.49,129,110,7.091035e-07,264192,2185.2271358966827,1.0830604,0.004518388,0.700081080198288,0.0,264192,0.050878905,-0.0042607463
226.58,130,114,1.0665486e-06,266240,2203.7553753852844,1.0714222,0.0042655794,0.5497854650020599,0.0,266240,0.04921875,-0.0027928166
224.83,131,117,2.5542417e-06,268288,2221.5758018493652,1.0621479,0.004581201,0.7207758724689484,0.0,268288,0.052978516,-0.0031745601
225.31,132,115,5.7460743e-06,270336,2239.0401554107666,1.0516396,0.004407511,0.5323728621006012,0.0,270336,0.045703124,-0.002734289
227.32,133,118,1.6293945e-05,272384,2256.781795978546,1.0214458,0.0051147034,0.5835102796554565,0.0,272384,0.05834961,-0.002518967
228.0,134,121,2.1383903e-06,274432,2274.0326492786407,1.0023808,0.004638508,0.5556176006793976,0.0,274432,0.052001953,-0.0012595783
231.66,135,144,5.6645564e-07,276480,2290.8950097560883,0.98875093,0.0053400225,-0.028221726417541504,0.0,276480,0.046728514,-0.0060871444
234.11,136,128,3.0794394e-07,278528,2305.028740644455,0.97889817,0.0051512695,0.3424508571624756,0.0,278528,0.06352539,-0.002768783
235.34,137,100,3.0474588e-05,280576,2320.962202310562,0.9637929,0.005357233,0.12233924865722656,0.0,280576,0.06430664,-0.003663995
236.87,138,135,7.013166e-05,282624,2341.25807261467,0.9552457,0.0072308877,0.15874630212783813,0.0,282624,0.09663086,-0.0077214004
239.9,139,151,1.6399562e-07,284672,2356.339050769806,0.96034765,0.0060752705,0.5243262946605682,0.0,284672,0.07441406,-0.0055458355
243.99,140,107,9.332107e-08,286720,2369.842872619629,0.95019484,0.005645204,0.8240071684122086,0.0,286720,0.06689453,-0.004258797
245.93,141,161,7.4071124e-08,288768,2388.8379356861115,0.93638724,0.0061566094,0.8373345136642456,0.0,288768,0.077539064,-0.0032763246
247.88,142,108,1.286049e-07,290816,2401.5182690620422,0.92236507,0.0049081193,0.7397297024726868,0.0,290816,0.054052733,-0.0008140666
248.75,143,124,5.7994373e-07,292864,2420.3198771476746,0.90057755,0.0057890066,0.5057626068592072,0.0,292864,0.06977539,-0.0018290082
250.02,144,115,2.3127157e-07,294912,2436.812408685684,0.8993888,0.008064291,0.5358084440231323,0.0,294912,0.10683594,-0.0034536533
249.81,145,100,2.763631e-07,296960,2454.5137469768524,0.89819986,0.005610392,0.2889437675476074,0.0,296960,0.07006836,-0.0031629119
250.92,146,156,2.1153994e-06,299008,2474.9675958156586,0.8898643,0.006243908,-0.07905805110931396,0.0,299008,0.08066406,-0.0037898186
248.09,147,142,4.2460601e-07,301056,2488.065174818039,0.88317806,0.0048388015,0.08759790658950806,0.0,301056,0.05214844,3.768327e-05
243.1,148,98,6.1858e-06,303104,2502.476516008377,0.8713994,0.0050370297,-0.6399348974227905,0.0,303104,0.059228517,-0.0013058229
242.85,149,114,4.119341e-07,305152,2523.332927465439,0.856434,0.0049807164,0.16969990730285645,0.0,305152,0.057958983,-0.0049183113
244.33,150,123,2.690121e-07,307200,2541.2061755657196,0.8455693,0.0056075947,0.0023642778396606445,0.0,307200,0.07070313,-0.0028252113
244.57,151,111,1.4825576e-06,309248,2557.7818336486816,0.84135723,0.0043063452,0.06292718648910522,0.0,309248,0.05126953,-0.0020547775
247.27,152,115,9.767601e-07,311296,2576.225925922394,0.8225757,0.0060743038,-0.4129152297973633,0.0,311296,0.06616211,-0.0038015638
252.94,153,160,6.221979e-07,313344,2594.0101325511932,0.80824757,0.006091614,-0.7766172885894775,0.0,313344,0.07314453,-0.0032565538
257.35,154,184,3.0196944e-07,315392,2606.7887122631073,0.8151,0.008022052,-1.1999351978302002,0.0,315392,0.10751953,-0.004760456
261.77,155,109,4.602565e-06,317440,2617.909355163574,0.8209487,0.008007992,-1.005174160003662,0.0,317440,0.105371095,-0.007170887
267.15,156,174,2.2144957e-06,319488,2636.534285545349,0.8231953,0.005960881,0.35259026288986206,0.0,319488,0.072949216,-0.0047648135
270.63,157,120,1.1319169e-05,321536,2648.2736644744873,0.82310075,0.0060251993,0.5389070510864258,0.0,321536,0.07529297,-0.0019860999
274.96,158,117,2.4173147e-07,323584,2665.310775279999,0.8180583,0.005029601,0.5452066361904144,0.0,323584,0.058740236,-0.002344552
278.26,159,101,2.3568961e-07,325632,2682.706867456436,0.817619,0.006457294,0.4303746819496155,0.0,325632,0.079589844,-0.0014404829
280.92,160,110,4.7776402e-06,327680,2702.9790890216827,0.8210038,0.005858413,0.5043686628341675,0.0,327680,0.07070313,-0.0014151413
285.13,161,136,3.4874296e-07,329728,2721.5072689056396,0.8141614,0.006043677,0.3975730538368225,0.0,329728,0.07192383,-0.0026346268
290.41,162,134,1.3238778e-07,331776,2736.48739528656,0.80644494,0.0066203014,0.009221553802490234,0.0,331776,0.082128905,-0.005753354
293.64,163,128,1.6656846e-07,333824,2751.75918340683,0.79951143,0.0053775767,-0.8980915546417236,0.0,333824,0.06967773,-0.0020745615
296.59,164,163,9.091996e-06,335872,2767.6658687591553,0.7955402,0.006931634,0.3450046181678772,0.0,335872,0.083935544,-0.00047778717
298.61,165,95,2.0228633e-07,337920,2780.2194051742554,0.79105365,0.006992682,-2.7791850566864014,0.0,337920,0.0871582,-0.001303954
298.65,166,178,8.811275e-08,339968,2801.67080450058,0.781205,0.008408691,-1.0270588397979736,0.0,339968,0.09633789,-0.0053787506
298.43,167,125,1.7828391e-07,342016,2813.1585080623627,0.76876956,0.006862896,-1.4996583461761475,0.0,342016,0.08588867,-0.0025140024
294.69,168,104,2.3587302e-07,344064,2829.4223585128784,0.7666646,0.006986332,-3.5816102027893066,0.0,344064,0.08706055,-0.00020510859
292.69,169,114,6.803777e-07,346112,2849.080644607544,0.7601686,0.0071712756,-1.6721909046173096,0.0,346112,0.0871582,-0.0024308157
290.43,170,131,4.751456e-06,348160,2866.98592877388,0.7601838,0.006919908,-0.11312329769134521,0.0,348160,0.088085935,-0.0039255302
288.63,171,143,1.4181231e-07,350208,2882.6023602485657,0.76680243,0.006830326,-0.44567644596099854,0.0,350208,0.08730469,-0.0017987732
287.35,172,140,1.411519e-07,352256,2896.8786175251007,0.7581626,0.0071111144,-0.8150084018707275,0.0,352256,0.08291016,-0.0050293133
286.22,173,140,1.4722319e-06,354304,2911.48970246315,0.75129616,0.006434823,0.3079450726509094,0.0,354304,0.07670899,-0.0015437605
284.42,174,99,4.910867e-07,356352,2926.021692752838,0.748077,0.006014163,0.13788211345672607,0.0,356352,0.07265625,-0.0044104
283.0,175,155,2.2803208e-07,358400,2946.5656394958496,0.740298,0.005791624,0.2977142930030823,0.0,358400,0.066259764,-0.0021063634
282.17,176,119,5.693966e-07,360448,2959.732442140579,0.74121755,0.0074065654,0.4997527599334717,0.0,360448,0.09458008,-0.0034184728
281.6,177,141,2.0852274e-07,362496,2976.920177459717,0.74574906,0.007236389,0.6410703361034393,0.0,362496,0.07998047,-0.0029757149
281.74,178,123,9.384779e-06,364544,2991.419626712799,0.73607504,0.0061003864,0.6466261744499207,0.0,364544,0.068408206,-0.0012875363
281.78,179,118,1.04573985e-07,366592,3008.0441489219666,0.718613,0.006547631,0.5837601721286774,0.0,366592,0.07895508,-0.0020185374
280.09,180,133,2.7526033e-07,368640,3025.314764022827,0.7117158,0.0067062303,0.33692413568496704,0.0,368640,0.083740234,-0.0012657072
