approxkl,time_elapsed,ep_len_mean,total_timesteps,policy_entropy,fps,explained_variance,policy_loss,clipfrac,ep_reward_mean,serial_timesteps,value_loss,n_updates
0.0063198954,3799.838206768036,1443.41,1536000,3.520647,362,0.8090730309486389,-0.009763829,0.07319336,934.7841282200002,1536000,8.994752,750
0.004081499,3805.4885346889496,1442.83,1538048,3.5310566,425,0.8648047298192978,-0.0039857132,0.046289064,933.7111836700002,1538048,5.4246693,751
0.0036706668,3810.2985701560974,1446.68,1540096,3.5370178,359,0.6624256372451782,-0.0031015505,0.038867187,935.33398322,1540096,11.001448,752
0.0035005626,3815.9960556030273,1459.0,1542144,3.5400612,380,0.8708248138427734,-0.0050886516,0.03852539,943.3713410700001,1542144,5.9442577,753
0.004412177,3821.3861413002014,1459.0,1544192,3.5446117,416,0.7781214118003845,-0.0023908324,0.05258789,943.8942750900001,1544192,8.319178,754
0.0045178747,3826.3048276901245,1464.52,1546240,3.5411363,400,0.7136580646038055,-0.0037496302,0.047705077,947.4415493299999,1546240,10.268555,755
0.0029380787,3831.421240568161,1460.34,1548288,3.5471199,413,0.8629763275384903,-0.0063819857,0.034179688,945.44509911,1548288,6.7604103,756
0.005811356,3836.3742969036102,1467.78,1550336,3.5518355,416,0.7904215753078461,-0.007833293,0.0652832,951.08990116,1550336,9.798832,757
0.0033136283,3841.2941694259644,1467.78,1552384,3.5570576,401,0.7897675484418869,-0.002732655,0.037646484,951.03215483,1552384,8.86336,758
0.0065624216,3846.394875764847,1480.17,1554432,3.567281,415,0.7487029731273651,-0.0077070547,0.05996094,959.5652529199999,1554432,8.886363,759
0.0036527254,3851.322727203369,1490.22,1556480,3.5830894,393,0.6996363997459412,-0.000510696,0.03857422,966.9465450499999,1556480,12.096716,760
0.005239143,3856.522449493408,1490.22,1558528,3.5873902,412,0.6951666474342346,-0.0033811755,0.06499024,966.8654360499999,1558528,12.30556,761
0.0044963276,3861.4939732551575,1496.76,1560576,3.5904217,394,0.7544914782047272,-0.0040149405,0.0515625,971.1338576699999,1560576,8.744379,762
0.0035136803,3866.6840069293976,1504.64,1562624,3.5945754,393,0.8514910191297531,-0.0034935784,0.03720703,976.0480231299999,1562624,6.3444214,763
0.004526864,3871.887490272522,1504.64,1564672,3.5991902,411,0.6263516843318939,-0.0047655506,0.056689452,975.5633211299998,1564672,10.692649,764
0.0047149775,3876.8701660633087,1505.46,1566720,3.6078613,370,0.6581957638263702,-0.0050408337,0.052441407,975.45854314,1566720,12.506696,765
0.0047139623,3882.3925454616547,1515.46,1568768,3.5987525,388,0.7484563887119293,-0.0023582182,0.051757812,982.0636487899999,1568768,10.867698,766
0.004417257,3887.6644127368927,1524.55,1570816,3.5836139,430,0.810739666223526,-0.0048762723,0.04916992,988.5053882499997,1570816,10.885736,767
0.003715691,3892.4254915714264,1524.55,1572864,3.5837708,414,0.7264427542686462,-0.003076828,0.043652344,988.71346236,1572864,9.862338,768
0.004460665,3897.369346141815,1524.55,1574912,3.5878372,394,0.7160268723964691,-0.0055740066,0.054785155,989.442021,1574912,12.045721,769
0.0032844886,3902.5562953948975,1531.38,1576960,3.5841446,401,0.7332200706005096,-0.002550841,0.036621094,994.2103029999998,1576960,11.700289,770
0.0037814085,3907.655431509018,1531.38,1579008,3.5779622,392,0.7799130380153656,-0.0030969596,0.04194336,994.91288818,1579008,10.4193,771
0.005538081,3912.87398147583,1548.46,1581056,3.5780168,407,0.7783043682575226,-0.0062123714,0.0703125,1006.6396957500001,1581056,9.230978,772
0.0031945067,3917.8957970142365,1548.46,1583104,3.5817084,395,0.6519666314125061,-0.0051604705,0.03696289,1007.57260652,1583104,13.51712,773
0.0037318952,3923.0755150318146,1531.95,1585152,3.5814457,420,0.6944596767425537,-0.0013381295,0.042675782,995.9674417200002,1585152,19.877193,774
0.0036544148,3927.9469363689423,1540.43,1587200,3.5812771,426,0.7026398777961731,-0.0029441272,0.041064452,1001.9016052799999,1587200,9.610097,775
0.005681389,3932.750806093216,1529.95,1589248,3.5831618,395,0.6977511346340179,-0.005608484,0.068408206,994.26281441,1589248,19.334515,776
0.006279365,3937.9327642917633,1529.95,1591296,3.575966,418,0.6921834647655487,-0.004728879,0.071777344,993.96317171,1591296,9.385061,777
0.004863548,3942.8307695388794,1529.95,1593344,3.5620027,385,0.7971287965774536,-0.0054833423,0.05517578,994.1260298299999,1593344,8.896098,778
0.003307044,3948.1421825885773,1529.95,1595392,3.559586,400,0.7999444901943207,-0.0022644403,0.036230467,994.3766859399999,1595392,9.510433,779
0.004522407,3953.2523036003113,1529.92,1597440,3.5603092,363,0.7754473090171814,-0.0053520733,0.053027343,993.46085787,1597440,7.0091667,780
0.008035464,3958.885560274124,1529.92,1599488,3.5764573,362,0.5358666777610779,-0.0039001233,0.1,992.4419210499999,1599488,11.734617,781
0.0038753923,3964.540239095688,1532.93,1601536,3.5841649,385,0.7318865954875946,-0.00735562,0.043554686,994.9136153,1601536,10.276225,782
0.0036405087,3969.8594386577606,1532.93,1603584,3.5792336,409,0.547677606344223,-0.003465149,0.042382814,993.12536201,1603584,11.957209,783
0.003187497,3974.857424736023,1538.1,1605632,3.5761688,398,0.7284344136714935,-0.0030043828,0.036083985,995.7875636800001,1605632,10.844043,784
0.0030268682,3979.9930758476257,1546.58,1607680,3.5718288,386,0.7939861118793488,-0.0036502045,0.03339844,1001.8682063499999,1607680,8.904689,785
0.0036991197,3985.291124343872,1543.84,1609728,3.5745857,399,0.7023528814315796,-0.0049726414,0.041796874,999.4506231199999,1609728,17.528957,786
0.0037410576,3990.4232132434845,1551.7,1611776,3.586907,392,0.5758039951324463,-0.00032856598,0.04423828,1004.5041206300001,1611776,12.876208,787
